Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	20.9999	0.0000	5.9975	14.1184	0.1435	0.7405	4.0414	7.6684	7.2057	8.6682	8.2617	0.2098	0.8485	5.1073	0.7979	0.0000	0.0000	0.0000	0.0000	0.4751	5.6003
2	-3.0144	-2.8888	24.4867	0.0000	6.6987	16.4881	0.3423	0.9576	3.7722	9.4303	7.0997	10.1568	8.0396	0.0937	0.8517	4.8788	0.8112	0.0000	0.0000	0.0000	0.0000	0.1555	7.9831
3	-2.8888	-2.7632	24.1950	0.0000	6.7069	16.4759	0.3089	0.7032	3.8614	6.7773	7.7104	7.8001	8.6232	2.2625	0.8472	5.1340	0.8296	0.0000	0.0000	0.0000	0.0000	0.7887	5.2823
4	-2.7632	-2.6376	25.0840	0.0000	6.4012	17.4640	0.3513	0.8674	3.8645	7.7791	7.0456	8.6861	8.0358	2.0269	0.8432	4.9700	0.7742	0.0000	0.0000	0.0000	0.0000	0.7829	5.4573
5	-2.6376	-2.5120	21.0120	0.0000	6.7342	12.9036	0.3169	1.0573	4.1202	7.6348	7.0505	8.6757	8.1662	0.8389	0.8483	5.1302	0.8319	0.0000	0.0000	0.0000	0.0000	0.2740	5.4572
6	-2.5120	-2.3864	23.2147	0.0000	6.7558	15.4900	0.1564	0.8125	3.8945	7.1502	6.6567	8.1420	7.7122	1.1327	0.8502	5.1882	0.8228	0.0000	0.0000	0.0000	0.0000	0.3504	4.7615
7	-2.3864	-2.2608	22.9784	0.0000	6.4264	15.3332	0.1378	1.0810	3.8920	7.0908	7.5887	8.0887	8.5285	0.8450	0.8515	5.1820	0.8035	0.0000	0.0000	0.0000	0.0000	0.4698	5.5052
8	-2.2608	-2.1352	22.8135	0.0000	6.7460	14.7403	0.6198	0.7073	3.8969	7.7572	7.7215	8.6810	8.6491	0.1015	0.8524	5.1163	0.8022	0.0000	0.0000	0.0000	0.0000	0.6578	5.7645
9	-2.1352	-2.0096	22.0852	0.0000	6.1489	14.9675	0.1973	0.7715	3.9814	7.3022	7.0620	8.3171	8.1070	1.0039	0.8518	5.3998	0.7657	0.0000	0.0000	0.0000	0.0000	0.5152	4.7229
10	-2.0096	-1.8840	23.1486	0.0000	6.8300	15.2103	0.4662	0.6422	3.9512	6.1826	8.8579	7.3373	9.6992	0.3903	0.8558	5.1878	0.8151	0.0000	0.0000	0.0000	0.0000	0.6154	7.1519
11	-1.8840	-1.7584	23.9142	0.0000	6.6871	15.7937	0.6799	0.7535	3.9943	5.9462	7.8043	7.1632	8.7671	0.3641	0.8505	5.0095	0.7739	0.0000	0.0000	0.0000	0.0000	1.2382	5.8380
12	-1.7584	-1.6328	21.5774	0.0000	6.2018	14.5274	0.2289	0.6192	4.0247	7.9966	6.9042	8.9523	7.9917	0.4642	0.8460	5.0775	0.7707	0.0000	0.0000	0.0000	0.0000	0.8413	6.0108
13	-1.6328	-1.5072	23.2219	0.0000	6.1968	15.6547	0.6118	0.7586	4.0584	5.9610	7.9547	7.2114	8.9302	1.6244	0.8479	5.4137	0.7878	0.0000	0.0000	0.0000	0.0000	0.6253	5.5841
14	-1.5072	-1.3816	22.6136	0.0000	6.1778	15.4063	0.2028	0.8267	3.8846	7.8849	7.0540	8.7898	8.0528	1.3533	0.8533	5.0607	0.8100	0.0000	0.0000	0.0000	0.0000	0.4611	5.8252
15	-1.3816	-1.2560	22.6696	0.0000	6.6843	14.9240	0.2113	0.8500	3.9597	7.9334	8.6066	8.8667	9.4738	1.3874	0.8462	5.1165	0.7576	0.0000	0.0000	0.0000	0.0000	0.5387	6.7822
16	-1.2560	-1.1304	20.9823	0.0000	6.3672	13.6197	0.4054	0.5899	4.0079	8.3138	7.5511	9.2295	8.5488	1.5809	0.8478	5.3804	0.7904	0.0000	0.0000	0.0000	0.0000	0.3877	6.1649
17	-1.1304	-1.0048	22.1537	0.0000	6.2800	14.5937	0.3812	0.8987	3.9443	7.5038	9.1323	8.4773	9.9477	1.6416	0.8465	5.0177	0.7980	0.0000	0.0000	0.0000	0.0000	1.3336	7.3277
18	-1.0048	-0.8792	23.6325	0.0000	6.5203	16.0444	0.4200	0.6477	3.8367	7.7930	7.3901	8.6863	8.3267	0.4149	0.8510	5.1265	0.7802	0.0000	0.0000	0.0000	0.0000	0.8911	5.6854
19	-0.8792	-0.7536	22.6481	0.0000	6.5516	15.1097	0.2400	0.7469	3.8639	7.6535	6.6971	8.5735	7.7318	0.8328	0.8469	5.0977	0.7911	0.0000	0.0000	0.0000	0.0000	0.3214	5.5181
20	-0.7536	-0.6280	23.2785	0.0000	6.3345	15.8791	0.6305	0.4344	3.9106	7.6475	9.0208	8.5894	9.8319	2.3817	0.8517	4.9539	0.7952	0.0000	0.0000	0.0000	0.0000	0.5241	7.4151
21	-0.6280	-0.5024	21.3192	0.0000	6.5118	13.8714	0.2557	0.6803	4.1257	7.1041	7.4831	8.2152	8.5450	0.6281	0.8537	5.2926	0.7932	0.0000	0.0000	0.0000	0.0000	0.3187	5.2931
22	-0.5024	-0.3768	22.4629	0.0000	6.5161	14.9481	0.4848	0.5140	3.9665	7.4856	7.1951	8.4716	8.2161	0.5770	0.8498	4.9543	0.7663	0.0000	0.0000	0.0000	0.0000	0.3593	5.4936
23	-0.3768	-0.2512	22.5094	0.0000	6.1295	14.9978	0.6610	0.7210	3.9514	7.5810	6.6568	8.5489	7.7412	0.7739	0.8468	4.9203	0.7617	0.0000	0.0000	0.0000	0.0000	0.3618	5.5888
24	-0.2512	-0.1256	23.1114	0.0000	6.3065	15.7066	0.3395	0.7587	3.9449	7.2079	7.2990	8.2168	8.2968	2.2165	0.8472	5.0859	0.7794	0.0000	0.0000	0.0000	0.0000	0.5860	4.7089
