Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	0.0000	50.0000	90.6767	0.0000	21.5222	65.7607	1.9033	1.4906	2.1109	6.4371	6.4132	6.7744	6.7517	0.2521	0.8541	5.3566	0.8187	0.0000	0.0000	0.0000	0.0000	0.1768	3.5384
2	50.0000	100.0000	201.2130	0.0000	46.5698	148.3679	3.5378	2.7375	1.4102	6.1334	6.3791	6.2934	6.5331	0.8158	0.8563	5.3089	0.8229	0.0000	0.0000	0.0000	0.0000	0.3885	3.4373
3	100.0000	150.0000	231.9832	0.0000	62.3245	159.7228	5.8460	4.0898	1.3155	7.3701	7.2666	7.4865	7.3847	0.1925	0.8540	5.2003	0.8172	0.0000	0.0000	0.0000	0.0000	0.5552	5.0765
4	150.0000	200.0000	183.0899	0.0000	53.0728	121.1664	4.0026	4.8481	1.4250	8.0187	7.8621	8.1443	7.9902	0.5363	0.8514	5.0820	0.8040	0.0000	0.0000	0.0000	0.0000	0.3266	6.0587
5	200.0000	250.0000	135.0513	0.0000	41.1508	84.2751	4.6482	4.9772	1.6763	7.5399	7.6638	7.7240	7.8450	0.2007	0.8491	5.0585	0.8108	0.0000	0.0000	0.0000	0.0000	0.7132	5.7040
6	250.0000	300.0000	96.6597	0.0000	31.3605	58.9037	3.2673	3.1282	1.8900	6.7328	7.4362	6.9931	7.6726	0.4138	0.8455	5.0021	0.7692	0.0000	0.0000	0.0000	0.0000	0.4716	5.4801
7	300.0000	350.0000	64.4515	0.0000	21.8448	36.5260	2.9665	3.1142	2.2758	8.6267	8.7149	8.9218	9.0071	0.6566	0.8458	4.9659	0.7808	0.0000	0.0000	0.0000	0.0000	0.7199	7.1586
8	350.0000	400.0000	42.9903	0.0000	14.6662	24.0279	1.9667	2.3296	2.6943	8.8574	8.1206	9.2582	8.5559	0.4742	0.8419	4.7522	0.7418	0.0000	0.0000	0.0000	0.0000	0.8143	7.3428
9	400.0000	450.0000	28.3472	0.0000	10.2622	15.7462	1.1579	1.1808	3.0828	8.6233	11.7170	9.1578	12.1158	0.5068	0.8419	4.7975	0.7541	0.0000	0.0000	0.0000	0.0000	0.4913	10.6618
10	450.0000	500.0000	19.0336	0.0000	7.6042	10.1991	0.4300	0.8003	3.5584	11.2473	6.7507	11.7968	7.6311	0.1555	0.8326	4.6483	0.7186	0.0000	0.0000	0.0000	0.0000	1.1054	10.1212
11	500.0000	550.0000	14.8633	0.0000	5.5529	8.2777	0.5154	0.5173	4.2631	8.3471	8.8823	9.3728	9.8524	0.8011	0.8395	4.8790	0.7208	0.0000	0.0000	0.0000	0.0000	1.2248	7.3198
12	550.0000	600.0000	10.2399	0.0000	3.8594	5.2777	0.4805	0.6222	4.8577	7.2528	7.4132	8.7293	8.8630	0.1601	0.8340	4.6426	0.7232	0.0000	0.0000	0.0000	0.0000	1.2349	5.7695
13	600.0000	650.0000	7.6346	0.0000	2.7799	3.9818	0.2422	0.6307	5.6027	6.6869	6.2255	8.7238	8.3753	1.2038	0.8294	4.3997	0.7073	0.0000	0.0000	0.0000	0.0000	2.0519	4.3431
14	650.0000	700.0000	5.8015	0.0000	2.0894	3.4405	0.1327	0.1388	6.3614	13.9023	7.1887	15.2886	9.5992	0.7171	0.8377	4.6398	0.6909	0.0000	0.0000	0.0000	0.0000	1.6135	12.9402
15	700.0000	750.0000	4.1587	0.0000	1.5284	2.1942	0.1051	0.3310	7.9447	9.5481	10.4938	12.4211	13.1620	2.8014	0.8255	5.1618	0.6424	0.0000	0.0000	0.0000	0.0000	2.1225	8.4618
16	750.0000	800.0000	3.2967	0.0000	1.1415	1.8273	0.1381	0.1898	8.7788	4.6734	14.2765	9.9453	16.7596	1.6372	0.8300	4.5505	0.6589	0.0000	0.0000	0.0000	0.0000	1.0057	13.3891
17	800.0000	850.0000	2.0903	0.0000	0.8780	1.1243	0.0132	0.0747	10.0966	16.8891	4.9724	19.6770	11.2546	1.4315	0.8226	4.7884	0.5588	0.0000	0.0000	0.0000	0.0000	2.4195	15.9834
18	850.0000	900.0000	1.8796	0.0000	0.6663	1.1176	0.0776	0.0182	10.7524	15.3774	27.9620	18.7638	29.9581	1.9899	0.8301	4.7842	0.5988	0.0000	0.0000	0.0000	0.0000	3.4443	27.2655
19	900.0000	950.0000	1.2369	0.0000	0.5021	0.6613	0.0346	0.0388	11.7702	26.5130	8.1947	29.0082	14.3419	3.8183	0.8368	4.2643	0.6408	0.0000	0.0000	0.0000	0.0000	20.1817	16.1890
20	950.0000	1000.0000	3.5427	0.0000	1.6588	1.5918	0.1845	0.1076	7.3031	16.4161	16.7092	17.9673	18.2355	0.3200	0.8217	4.3519	0.5468	0.0000	0.0000	0.0000	0.0000	3.2442	15.7986
