Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
2	-2.4000	-2.3000	14.8855	0.0000	3.8386	10.3123	0.2238	0.5107	5.0197	10.5689	10.9990	11.7004	12.0903	1.1742	0.8579	5.2119	0.8791	0.0000	0.0000	0.0000	0.0000	1.2072	9.6133
3	-2.3000	-2.2000	15.8444	0.0000	4.1228	10.6498	0.2803	0.7915	4.6753	8.1618	11.0731	9.4060	12.0196	0.3471	0.8589	5.2071	0.8150	0.0000	0.0000	0.0000	0.0000	2.4036	9.4661
4	-2.2000	-2.1000	17.3720	0.0000	4.5994	11.6973	0.3457	0.7296	4.5002	8.0229	7.2891	9.1988	8.5664	1.2123	0.8573	5.0902	0.8331	0.0000	0.0000	0.0000	0.0000	0.8997	6.0798
5	-2.1000	-2.0000	17.1818	0.0000	4.3933	11.6826	0.4524	0.6535	4.6924	8.9667	9.4348	10.1203	10.5373	0.7122	0.8580	5.0671	0.8533	0.0000	0.0000	0.0000	0.0000	1.0643	7.9183
6	-2.0000	-1.9000	18.2578	0.0000	4.9334	12.2990	0.3630	0.6623	4.4265	5.8328	6.4011	7.3223	7.7825	0.6871	0.8510	5.0531	0.8190	0.0000	0.0000	0.0000	0.0000	0.6271	3.8811
7	-1.9000	-1.8000	20.9098	0.0000	5.4549	14.0944	0.4401	0.9205	4.1759	6.0678	8.4708	7.3659	9.4442	2.5817	0.8568	5.2038	0.8092	0.0000	0.0000	0.0000	0.0000	0.1719	6.1678
8	-1.8000	-1.7000	21.5760	0.0000	6.2888	14.0707	0.5236	0.6930	4.1255	6.7881	6.6809	7.9434	7.8520	0.5178	0.8577	5.2859	0.8912	0.0000	0.0000	0.0000	0.0000	1.0147	3.9984
9	-1.7000	-1.6000	22.5907	0.0000	6.1089	15.2553	0.4606	0.7658	3.9511	6.3728	7.0330	7.4983	8.0668	1.6657	0.8557	5.3474	0.8013	0.0000	0.0000	0.0000	0.0000	1.3592	4.0848
10	-1.6000	-1.5000	23.7893	0.0000	6.3838	15.9142	0.7243	0.7670	4.0456	6.8096	7.0231	7.9207	8.1050	1.0366	0.8491	5.1807	0.8195	0.0000	0.0000	0.0000	0.0000	0.3133	4.6781
11	-1.5000	-1.4000	25.0921	0.0000	6.5873	16.8617	0.8038	0.8393	3.9218	7.0184	7.3438	8.0398	8.3253	0.2065	0.8546	5.1786	0.8660	0.0000	0.0000	0.0000	0.0000	0.6354	5.2013
12	-1.4000	-1.3000	24.3546	0.0000	6.4445	16.4108	0.5788	0.9205	3.8710	9.7086	8.2723	10.4519	9.1332	0.6749	0.8609	5.2111	0.8584	0.0000	0.0000	0.0000	0.0000	1.1263	7.9937
13	-1.3000	-1.2000	24.7798	0.0000	6.6866	16.3665	0.8201	0.9066	3.8184	6.8547	6.5285	7.8465	7.5632	1.6465	0.8553	5.1547	0.8318	0.0000	0.0000	0.0000	0.0000	0.4799	4.0065
14	-1.2000	-1.1000	25.0865	0.0000	6.6170	16.5867	1.0283	0.8546	3.7273	7.4180	7.0142	8.3018	7.9431	0.1831	0.8520	5.1225	0.8139	0.0000	0.0000	0.0000	0.0000	0.3134	5.2340
15	-1.1000	-1.0000	28.4106	0.0000	7.4572	19.6294	0.4005	0.9235	3.4579	6.8162	7.1054	7.6431	7.9022	1.0442	0.8500	5.0227	0.7963	0.0000	0.0000	0.0000	0.0000	0.5334	4.8819
16	-1.0000	-0.9000	27.2257	0.0000	8.1924	17.5122	0.6078	0.9134	3.5226	7.0882	6.8986	7.9153	7.7459	0.7102	0.8473	5.0884	0.7821	0.0000	0.0000	0.0000	0.0000	0.1827	4.7452
