Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
2	-2.4000	-2.3000	0.6265	0.0000	0.1061	0.3045	0.1200	0.0959	24.1195	13.5760	18.0887	27.6777	30.1488	10.2519	0.9037	5.2361	1.0283	0.0000	0.0000	0.0000	0.0000	0.1698	17.0377
3	-2.3000	-2.2000	0.7575	0.0000	0.1322	0.2543	0.1812	0.1898	23.0484	6.0967	11.5914	23.8411	25.7990	0.9388	0.8739	5.2441	0.7523	0.0000	0.0000	0.0000	0.0000	7.3435	7.2670
4	-2.2000	-2.1000	0.9304	0.0000	0.1488	0.5409	0.1641	0.0765	19.9168	6.9107	7.1396	21.0817	21.1578	2.2564	0.8891	5.8356	0.8889	0.0000	0.0000	0.0000	0.0000	0.0980	4.1237
5	-2.1000	-2.0000	0.8491	0.0000	0.1000	0.5040	0.1720	0.0732	23.2689	19.9617	11.6886	30.6580	26.0397	5.2146	0.8803	5.5446	0.8497	0.0000	0.0000	0.0000	0.0000	3.1732	18.4618
6	-2.0000	-1.9000	1.1728	0.0000	0.1858	0.4977	0.2182	0.2712	17.9703	5.8258	11.0416	18.8910	21.0914	0.2457	0.8690	5.6590	1.0762	0.0000	0.0000	0.0000	0.0000	0.0246	9.4640
7	-1.9000	-1.8000	0.8306	0.0000	0.1694	0.3318	0.2836	0.0458	25.8995	12.2203	11.9950	28.6378	28.5423	10.0050	0.8885	6.4818	0.9836	0.0000	0.0000	0.0000	0.0000	0.0332	2.3379
8	-1.8000	-1.7000	1.1779	0.0000	0.2108	0.4616	0.3481	0.1574	19.8309	9.2342	7.0795	21.8755	21.0567	5.6019	0.8785	6.7028	1.1238	0.0000	0.0000	0.0000	0.0000	0.5424	2.5756
9	-1.7000	-1.6000	0.9439	0.0000	0.1970	0.3467	0.2093	0.1909	18.8171	6.5228	13.3391	19.9155	23.0654	3.5356	0.8797	5.3260	0.9486	0.0000	0.0000	0.0000	0.0000	7.3744	9.1040
10	-1.6000	-1.5000	1.2091	0.0000	0.1018	0.4089	0.5264	0.1720	26.5335	9.2408	9.6547	28.0966	28.2355	7.1949	0.9146	5.5481	1.1879	0.0000	0.0000	0.0000	0.0000	0.0823	4.5130
11	-1.5000	-1.4000	0.9859	0.0000	0.1621	0.3788	0.3150	0.1300	20.8926	7.5873	9.4304	22.2276	22.9223	1.6160	0.8892	6.1389	1.0747	0.0000	0.0000	0.0000	0.0000	4.7629	5.2094
