Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-5.0000	-4.8000	0.0711	0.0000	0.0039	0.0633	0.0000	0.0039	51.8007	66.0334	50.8934	83.9269	72.6185	11.3857	0.9040	3.6443	1.0250	0.0000	0.0000	0.0000	0.0000	40.3524	64.9278
2	-4.8000	-4.6000	0.0443	0.0000	0.0385	0.0000	0.0000	0.0058	77.4804	284.6368	18.1705	294.9937	79.5825	17.7292	0.9839	3.8529	0.7549	0.0000	0.0000	0.0000	0.0000	44.6439	280.7373
3	-4.6000	-4.4000	0.3174	0.0000	0.0034	0.2854	0.0000	0.0286	32.6548	22.4907	61.3621	39.6506	69.5100	13.8894	0.8802	4.7444	0.9271	0.0000	0.0000	0.0000	0.0000	16.2322	58.6337
4	-4.4000	-4.2000	0.2872	0.0000	0.0106	0.2604	0.0108	0.0055	36.2160	26.2322	52.4181	44.7183	63.7122	2.9568	0.8604	5.2899	0.8465	0.0000	0.0000	0.0000	0.0000	25.6650	50.0857
5	-4.2000	-4.0000	0.2318	0.0000	0.0083	0.2235	0.0000	0.0000	38.1024	24.5282	45.6100	45.3147	59.4312	5.7797	0.9039	4.9330	0.9925	0.0000	0.0000	0.0000	0.0000	44.9601	23.8365
6	-4.0000	-3.8000	0.4229	0.0000	0.0176	0.3831	0.0167	0.0056	27.6292	29.8748	14.6545	40.6925	31.2750	1.5396	0.9165	5.3136	0.9084	0.0000	0.0000	0.0000	0.0000	13.6373	27.5108
7	-3.8000	-3.6000	0.9976	0.0000	0.0280	0.8413	0.0757	0.0526	19.7273	9.3551	18.4601	21.8331	27.0174	4.2328	0.8943	6.2283	0.8782	0.0000	0.0000	0.0000	0.0000	4.9417	16.8701
8	-3.6000	-3.4000	1.2472	0.0000	0.0595	1.0436	0.0360	0.1081	18.0747	6.8874	12.5656	19.3424	22.0134	3.4265	0.8953	5.8680	0.6321	0.0000	0.0000	0.0000	0.0000	5.9418	9.1586
9	-3.4000	-3.2000	2.4234	0.0000	0.1952	2.0430	0.0000	0.1852	12.7165	17.3117	7.7765	21.4803	14.9058	2.8669	0.8968	5.2347	0.7724	0.0000	0.0000	0.0000	0.0000	2.8785	16.1669
10	-3.2000	-3.0000	3.9729	0.0000	0.3799	3.3108	0.0728	0.2093	9.9355	10.9727	11.9692	14.8025	15.5556	2.1996	0.8749	6.1718	0.6399	0.0000	0.0000	0.0000	0.0000	1.0457	10.2332
