Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	23.2531	0.0000	6.6748	14.6621	0.4841	1.4321	3.7385	7.1821	8.1938	8.0968	9.0064	0.7829	0.8489	5.0328	0.7864	0.0000	0.0000	0.0000	0.0000	0.8338	6.3612
2	-3.0144	-2.8888	23.2484	0.0000	6.5299	14.7716	0.2441	1.7029	3.7748	6.9309	5.8526	7.8922	6.9643	0.4146	0.8515	5.1278	0.8151	0.0000	0.0000	0.0000	0.0000	1.6162	4.2121
3	-2.8888	-2.7632	24.7823	0.0000	6.9347	15.7673	0.4629	1.6175	3.8717	8.4144	7.8269	9.2624	8.7321	3.3510	0.8494	5.4362	0.8168	0.0000	0.0000	0.0000	0.0000	0.7843	5.2998
4	-2.7632	-2.6376	22.1096	0.0000	5.8396	14.1906	0.4106	1.6688	3.9484	8.0415	8.3692	8.9585	9.2539	2.5624	0.8482	5.2501	0.7891	0.0000	0.0000	0.0000	0.0000	0.3436	5.9988
5	-2.6376	-2.5120	23.3040	0.0000	6.7039	14.7024	0.1711	1.7265	3.8142	6.4101	6.9702	7.4590	7.9455	1.8754	0.8468	5.0439	0.7948	0.0000	0.0000	0.0000	0.0000	0.2231	4.4206
6	-2.5120	-2.3864	23.9046	0.0000	6.2297	15.8281	0.4752	1.3715	3.8171	8.8524	8.8729	9.6402	9.6591	0.8209	0.8525	5.1103	0.7759	0.0000	0.0000	0.0000	0.0000	1.1333	7.1253
7	-2.3864	-2.2608	24.9436	0.0000	6.4934	16.7417	0.1272	1.5813	3.6876	6.0920	7.6939	7.1212	8.5320	0.1922	0.8465	5.1127	0.7688	0.0000	0.0000	0.0000	0.0000	1.1487	5.6631
8	-2.2608	-2.1352	23.3395	0.0000	6.4991	15.1769	0.0733	1.5902	3.8474	8.6852	6.7368	9.4992	7.7581	0.9673	0.8476	5.0801	0.7681	0.0000	0.0000	0.0000	0.0000	1.1144	6.8553
9	-2.1352	-2.0096	23.9223	0.0000	6.8854	15.0975	0.5372	1.4022	3.7341	5.7160	8.8397	6.8276	9.5960	0.6481	0.8474	5.0037	0.7926	0.0000	0.0000	0.0000	0.0000	1.6868	7.0750
10	-2.0096	-1.8840	24.0712	0.0000	6.9642	15.0767	0.4817	1.5485	3.8107	8.8644	9.7485	9.6488	10.4668	0.3009	0.8503	5.1171	0.7948	0.0000	0.0000	0.0000	0.0000	0.5052	8.2854
11	-1.8840	-1.7584	23.4154	0.0000	6.5656	14.8842	0.0697	1.8959	3.7961	5.8422	6.1552	6.9672	7.2317	1.3056	0.8472	4.9968	0.8204	0.0000	0.0000	0.0000	0.0000	1.5127	3.2328
12	-1.7584	-1.6328	21.3709	0.0000	6.4310	13.2605	0.2080	1.4715	3.9639	6.9975	6.9317	8.0422	7.9850	1.1172	0.8455	5.1888	0.7880	0.0000	0.0000	0.0000	0.0000	0.9343	4.4660
13	-1.6328	-1.5072	23.8849	0.0000	5.9491	16.3931	0.2186	1.3240	4.0207	8.7596	7.6719	9.6383	8.6616	1.2283	0.8486	5.1754	0.7680	0.0000	0.0000	0.0000	0.0000	1.1749	6.8649
14	-1.5072	-1.3816	22.3173	0.0000	6.3000	14.2837	0.1736	1.5600	3.9535	8.0674	7.8294	8.9841	8.7709	0.2119	0.8483	4.9784	0.8007	0.0000	0.0000	0.0000	0.0000	1.5161	6.0524
15	-1.3816	-1.2560	24.4525	0.0000	6.0758	15.6865	0.8801	1.8100	3.9268	7.0044	7.7408	8.0301	8.6799	0.7141	0.8466	5.4524	0.7667	0.0000	0.0000	0.0000	0.0000	1.6398	5.2832
16	-1.2560	-1.1304	24.2351	0.0000	6.5002	15.4614	0.5452	1.7283	3.9352	6.7377	9.3311	7.8027	10.1270	1.9502	0.8482	5.1721	0.7978	0.0000	0.0000	0.0000	0.0000	0.6759	7.4903
17	-1.1304	-1.0048	22.3532	0.0000	5.7813	14.5935	0.2979	1.6804	3.8463	5.4941	7.2825	6.7067	8.2358	0.9852	0.8480	4.7656	0.7626	0.0000	0.0000	0.0000	0.0000	1.4043	5.3868
18	-1.0048	-0.8792	23.3605	0.0000	7.3334	14.3617	0.3033	1.3621	3.7785	6.8011	7.2276	7.7803	8.1556	0.7117	0.8444	5.1233	0.7634	0.0000	0.0000	0.0000	0.0000	0.5046	5.0792
19	-0.8792	-0.7536	23.7318	0.0000	6.3383	15.7573	0.2124	1.4238	3.7964	6.4788	6.8355	7.5092	7.8190	1.5276	0.8462	5.1136	0.7799	0.0000	0.0000	0.0000	0.0000	0.5635	4.5108
20	-0.7536	-0.6280	22.8624	0.0000	5.8287	15.0911	0.3567	1.5860	3.8814	9.9196	7.4484	10.6519	8.3990	0.2925	0.8536	5.0254	0.7898	0.0000	0.0000	0.0000	0.0000	0.7623	8.4335
21	-0.6280	-0.5024	23.5372	0.0000	6.8142	14.6751	0.5390	1.5090	3.8234	6.2049	6.7199	7.2883	7.7314	1.6288	0.8487	5.0617	0.8002	0.0000	0.0000	0.0000	0.0000	0.8710	4.0119
22	-0.5024	-0.3768	24.9831	0.0000	6.8110	16.0321	0.7067	1.4333	3.8047	8.5292	8.2567	9.3393	9.0911	1.1856	0.8563	5.1462	0.8315	0.0000	0.0000	0.0000	0.0000	0.8947	6.5293
23	-0.3768	-0.2512	22.9526	0.0000	6.0737	15.1237	0.5631	1.1920	3.8964	8.0350	6.6973	8.9299	7.7483	0.3992	0.8433	5.1310	0.7655	0.0000	0.0000	0.0000	0.0000	0.9543	5.9982
24	-0.2512	-0.1256	23.1418	0.0000	6.5604	14.9706	0.4342	1.1766	3.8022	7.6478	7.3661	8.5408	8.2895	1.0034	0.8510	5.1932	0.7891	0.0000	0.0000	0.0000	0.0000	1.7082	5.1905
25	-0.1256	0.0000	24.6298	0.0000	6.5962	15.8330	0.6025	1.5981	3.8369	5.7461	7.7212	6.9094	8.6220	1.5222	0.8494	5.2264	0.7644	0.0000	0.0000	0.0000	0.0000	2.4148	4.9322
26	0.0000	0.1256	22.8689	0.0000	6.1141	14.8009	0.5385	1.4155	3.9075	7.9185	9.1285	8.8301	9.9296	1.0338	0.8496	5.1209	0.7819	0.0000	0.0000	0.0000	0.0000	1.0427	7.4860
27	0.1256	0.2512	22.5650	0.0000	6.9935	13.8431	0.1764	1.5520	3.8658	6.1913	6.5752	7.2991	7.6274	0.5320	0.8506	5.3271	0.7763	0.0000	0.0000	0.0000	0.0000	0.6769	3.8426
28	0.2512	0.3768	22.6744	0.0000	6.0533	15.1359	0.1186	1.3666	3.8540	10.6822	7.0987	11.3562	8.0774	0.6631	0.8523	4.9123	0.7839	0.0000	0.0000	0.0000	0.0000	0.3320	9.3855
29	0.3768	0.5024	24.3728	0.0000	6.1422	16.6111	0.1923	1.4272	3.8565	6.6944	9.5751	7.7258	10.3226	0.8876	0.8493	4.9060	0.7674	0.0000	0.0000	0.0000	0.0000	0.2114	8.1921
30	0.5024	0.6280	22.1495	0.0000	6.3199	13.7803	0.5627	1.4865	3.9450	6.7970	6.0775	7.8589	7.2456	0.1910	0.8422	5.3237	0.7677	0.0000	0.0000	0.0000	0.0000	0.8579	3.9732
31	0.6280	0.7536	23.4654	0.0000	6.0006	15.8570	0.2331	1.3747	3.8215	6.9424	7.4936	7.9247	8.4118	0.7195	0.8495	5.1786	0.8029	0.0000	0.0000	0.0000	0.0000	0.5469	5.3559
32	0.7536	0.8792	23.0272	0.0000	6.3956	14.2497	0.2704	2.1116	3.8315	7.6868	8.6185	8.5888	9.4318	1.3037	0.8526	5.1650	0.7935	0.0000	0.0000	0.0000	0.0000	0.5538	6.7601
33	0.8792	1.0048	22.8325	0.0000	6.6232	14.4280	0.1750	1.6063	3.8738	8.0387	6.9181	8.9233	7.9288	0.7767	0.8483	5.1676	0.7562	0.0000	0.0000	0.0000	0.0000	1.1773	5.9907
34	1.0048	1.1304	22.1928	0.0000	6.2656	14.0373	0.1329	1.7571	3.9587	7.0964	7.6049	8.1259	8.5735	1.3799	0.8473	5.0206	0.8083	0.0000	0.0000	0.0000	0.0000	0.2542	5.6018
35	1.1304	1.2560	24.4131	0.0000	6.3267	15.9145	0.4282	1.7438	3.7212	8.2452	7.3048	9.0460	8.1981	0.2597	0.8513	5.2727	0.8015	0.0000	0.0000	0.0000	0.0000	1.5159	6.2282
