Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
9	800.0000	900.0000	281.3177	0.0000	62.3831	202.5173	2.9805	13.4368	1.1622	6.4982	6.5098	6.6013	6.6127	0.6037	0.8433	4.9248	0.7482	0.0000	0.0000	0.0000	0.0000	0.4286	4.2096
10	900.0000	1000.0000	221.2716	0.0000	51.8019	156.1050	1.9934	11.3714	1.2916	7.0674	7.2268	7.1844	7.3413	0.3066	0.8458	4.9832	0.7627	0.0000	0.0000	0.0000	0.0000	0.3903	5.2098
11	1000.0000	1100.0000	166.5365	0.0000	42.9502	111.7784	2.2725	9.5354	1.4637	7.5002	7.6618	7.6417	7.8003	0.3121	0.8472	5.1742	0.7900	0.0000	0.0000	0.0000	0.0000	0.4354	5.6505
12	1100.0000	1200.0000	123.4632	0.0000	34.4105	80.1994	0.9637	7.8897	1.6727	8.0421	7.7128	8.2142	7.8921	0.1925	0.8514	5.1475	0.8126	0.0000	0.0000	0.0000	0.0000	0.4721	6.0641
13	1200.0000	1300.0000	91.0712	0.0000	26.2152	57.5273	1.6167	5.7120	1.9216	7.8373	8.5854	8.0695	8.7978	0.1228	0.8526	5.1727	0.8140	0.0000	0.0000	0.0000	0.0000	0.1521	6.8531
14	1300.0000	1400.0000	66.2432	0.0000	21.0116	39.0740	1.0389	5.1187	2.1986	6.9854	7.7631	7.3232	8.0684	0.3436	0.8556	5.2299	0.8224	0.0000	0.0000	0.0000	0.0000	0.3638	5.7293
15	1400.0000	1500.0000	49.8780	0.0000	16.5061	28.5293	1.0459	3.7967	2.5745	7.9156	7.1481	8.3237	7.5976	0.7942	0.8544	5.3708	0.8358	0.0000	0.0000	0.0000	0.0000	1.1099	5.5245
16	1500.0000	1600.0000	36.3004	0.0000	13.1317	18.9634	0.9630	3.2422	2.8195	10.0311	9.2337	10.4198	9.6546	1.0484	0.8550	5.3076	0.8243	0.0000	0.0000	0.0000	0.0000	1.2934	8.3183
17	1600.0000	1700.0000	28.9811	0.0000	10.6175	15.1502	0.8453	2.3681	3.1652	5.7765	7.5658	6.5868	8.2012	1.8824	0.8580	5.3536	0.8345	0.0000	0.0000	0.0000	0.0000	1.3739	4.8263
18	1700.0000	1800.0000	20.8628	0.0000	7.9363	10.2045	0.6433	2.0787	3.6930	14.6230	8.6868	15.0821	9.4392	0.7640	0.8536	5.4174	0.8541	0.0000	0.0000	0.0000	0.0000	1.4544	13.4286
19	1800.0000	1900.0000	15.9502	0.0000	6.6244	7.1268	0.8805	1.3185	4.2096	5.7112	8.6440	7.0950	9.6145	1.2229	0.8554	5.3395	0.8966	0.0000	0.0000	0.0000	0.0000	0.8966	6.7337
20	1900.0000	2000.0000	13.1152	0.0000	4.9743	6.6312	0.4483	1.0615	4.5016	9.9172	7.4623	10.8911	8.7150	3.3984	0.8606	5.4229	0.8479	0.0000	0.0000	0.0000	0.0000	2.2843	7.3986
21	2000.0000	2100.0000	9.8164	0.0000	4.1149	4.6434	0.3905	0.6677	5.1426	9.9771	11.7276	11.2245	12.8056	2.3971	0.8695	5.2783	0.8650	0.0000	0.0000	0.0000	0.0000	0.7558	10.1739
22	2100.0000	2200.0000	7.7082	0.0000	3.2292	3.4902	0.2680	0.7208	5.4480	6.2864	6.4511	8.3187	8.4438	0.6085	0.8550	5.4843	0.8159	0.0000	0.0000	0.0000	0.0000	1.9964	2.8212
23	2200.0000	2300.0000	6.3308	0.0000	2.6060	2.7434	0.2844	0.6969	6.2358	7.3281	10.4198	9.6221	12.1432	1.8302	0.8609	5.1088	0.8532	0.0000	0.0000	0.0000	0.0000	3.5068	8.2108
24	2300.0000	2400.0000	4.4049	0.0000	1.9466	2.0535	0.0822	0.3226	6.7570	15.7884	8.4753	17.1736	10.8392	1.7139	0.8594	5.2416	0.8910	0.0000	0.0000	0.0000	0.0000	1.8542	14.6251
25	2400.0000	2500.0000	3.4991	0.0000	1.7075	1.4403	0.0785	0.2729	7.5754	6.4606	12.7007	9.9562	14.7883	2.0635	0.8575	5.5254	0.7649	0.0000	0.0000	0.0000	0.0000	3.9455	10.6165
26	2500.0000	2600.0000	2.6132	0.0000	1.3933	0.7935	0.1189	0.3075	7.6221	15.0752	5.7564	16.8925	9.5516	1.7262	0.8488	5.1140	0.8437	0.0000	0.0000	0.0000	0.0000	6.1455	12.6638
27	2600.0000	2700.0000	2.3114	0.0000	1.1124	0.9732	0.0036	0.2222	9.8622	5.2190	8.1192	11.1579	12.7744	1.8575	0.8547	4.9859	0.8285	0.0000	0.0000	0.0000	0.0000	2.5851	5.5412
28	2700.0000	2800.0000	1.8624	0.0000	0.9551	0.7352	0.0206	0.1515	9.8722	12.5570	5.9928	15.9730	11.5487	3.9265	0.8650	4.8878	0.9407	0.0000	0.0000	0.0000	0.0000	1.9034	10.6355
29	2800.0000	2900.0000	1.5639	0.0000	0.7580	0.5536	0.0943	0.1580	11.3849	12.8998	13.4321	17.2053	17.6079	2.6718	0.8496	4.8505	0.8540	0.0000	0.0000	0.0000	0.0000	4.9882	11.8613
30	2900.0000	3000.0000	1.3970	0.0000	0.6545	0.6286	0.0001	0.1138	12.8600	7.3158	11.0310	14.7953	16.9429	3.8397	0.8473	5.1828	0.6688	0.0000	0.0000	0.0000	0.0000	3.5835	8.4019
31	3000.0000	3100.0000	1.0748	0.0000	0.5471	0.4752	0.0249	0.0277	13.7044	14.4469	26.7315	19.9129	30.0397	4.4008	0.8526	4.6581	0.7848	0.0000	0.0000	0.0000	0.0000	2.3389	25.9446
32	3100.0000	3200.0000	0.6371	0.0000	0.4257	0.1195	0.0427	0.0492	10.7324	30.6949	6.9303	32.5171	12.7755	2.1865	0.8626	5.9127	0.9786	0.0000	0.0000	0.0000	0.0000	0.4348	30.0096
33	3200.0000	3300.0000	0.4873	0.0000	0.3182	0.1296	0.0130	0.0266	13.9933	19.5061	5.4730	24.0062	15.0255	3.8953	0.8466	5.4471	0.9271	0.0000	0.0000	0.0000	0.0000	11.5985	14.1260
34	3300.0000	3400.0000	0.5210	0.0000	0.2727	0.2067	0.0174	0.0242	22.9656	10.5395	24.6694	25.2685	33.7046	9.2631	0.8757	6.2933	0.9586	0.0000	0.0000	0.0000	0.0000	11.2123	18.9220
35	3400.0000	3500.0000	0.3885	0.0000	0.2280	0.1200	0.0002	0.0403	14.7928	22.1217	8.7150	26.6120	17.1691	4.1446	0.8476	5.0522	0.8327	0.0000	0.0000	0.0000	0.0000	12.9050	17.0016
36	3500.0000	3600.0000	0.3492	0.0000	0.1899	0.1094	0.0280	0.0220	20.2013	12.4450	12.7803	23.7270	23.9046	5.3006	0.8727	5.7364	1.0283	0.0000	0.0000	0.0000	0.0000	10.1230	9.8689
37	3600.0000	3700.0000	0.3080	0.0000	0.1841	0.0988	0.0057	0.0193	22.2351	5.7775	28.6117	22.9735	36.2358	3.4762	0.8251	5.1518	0.7125	0.0000	0.0000	0.0000	0.0000	7.8877	26.7949
38	3700.0000	3800.0000	0.1625	0.0000	0.1263	0.0315	0.0000	0.0046	19.9001	46.7414	13.0181	50.8013	23.7799	6.8532	0.8810	6.2003	1.0239	0.0000	0.0000	0.0000	0.0000	0.9184	45.7983
39	3800.0000	3900.0000	0.2140	0.0000	0.1078	0.1052	0.0003	0.0008	29.4980	8.3173	35.7895	30.6482	46.3791	8.1281	0.8403	4.8753	0.7831	0.0000	0.0000	0.0000	0.0000	10.9739	32.7213
40	3900.0000	4000.0000	0.8540	0.0000	0.5861	0.1500	0.0417	0.0761	9.2821	16.5344	8.1685	18.9616	12.3645	1.5515	0.8613	5.2904	0.9207	0.0000	0.0000	0.0000	0.0000	3.2285	15.2032
