Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	23.3615	0.0000	6.1391	16.2280	0.1711	0.8233	3.9866	6.5382	5.3100	7.6577	6.6400	2.1430	0.8476	5.1369	0.8015	0.0000	0.0000	0.0000	0.0000	3.1352	0.7598
2	-3.0144	-2.8888	23.2188	0.0000	6.7092	15.5511	0.3658	0.5927	3.9124	10.4952	8.0934	11.2007	8.9894	1.0934	0.8442	5.0218	0.7828	0.0000	0.0000	0.0000	0.0000	2.6003	8.9960
3	-2.8888	-2.7632	23.0803	0.0000	6.5435	15.3200	0.5351	0.6817	4.1092	6.2270	9.5050	7.4606	10.3552	0.9810	0.8475	5.2139	0.8086	0.0000	0.0000	0.0000	0.0000	0.9544	7.8321
4	-2.7632	-2.6376	22.9104	0.0000	5.9517	16.1792	0.1673	0.6122	3.9336	8.7088	8.6963	9.5560	9.5445	0.0797	0.8508	4.8786	0.8177	0.0000	0.0000	0.0000	0.0000	0.6036	7.1792
5	-2.6376	-2.5120	21.9178	0.0000	5.9370	14.8788	0.1989	0.9031	3.9348	7.3230	8.3947	8.3132	9.2711	0.5722	0.8494	5.1537	0.8079	0.0000	0.0000	0.0000	0.0000	1.5560	6.4431
6	-2.5120	-2.3864	21.5416	0.0000	6.0092	14.3430	0.2941	0.8953	3.9670	7.3945	5.1533	8.3914	6.5033	0.8307	0.8469	5.0609	0.7285	0.0000	0.0000	0.0000	0.0000	2.7921	4.3967
7	-2.3864	-2.2608	21.2457	0.0000	6.0616	14.3999	0.1030	0.6811	4.1204	10.1936	7.3760	10.9949	8.4488	0.1880	0.8494	4.9395	0.7995	0.0000	0.0000	0.0000	0.0000	2.7211	8.8342
8	-2.2608	-2.1352	24.1079	0.0000	6.7271	16.1926	0.5804	0.6078	3.9109	5.7149	9.4049	6.9250	10.1856	1.5273	0.8501	5.2407	0.7834	0.0000	0.0000	0.0000	0.0000	2.1728	7.3549
9	-2.1352	-2.0096	23.2812	0.0000	6.3747	15.4301	0.5729	0.9035	3.9446	7.5419	7.1245	8.5112	8.1436	0.1586	0.8486	5.1452	0.8075	0.0000	0.0000	0.0000	0.0000	2.3789	4.9271
10	-2.0096	-1.8840	22.8918	0.0000	6.3819	15.2521	0.5027	0.7551	3.9293	10.6869	6.5945	11.3864	7.6763	0.5540	0.8529	5.3838	0.8111	0.0000	0.0000	0.0000	0.0000	0.8692	9.1146
