Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	0.0000	50.0000	94.0534	0.0000	13.2348	77.8918	1.4764	1.4504	2.0844	8.7422	9.4615	8.9872	9.6884	0.4474	0.8545	5.4879	0.7867	0.0000	0.0000	0.0000	0.0000	0.4066	7.7216
2	50.0000	100.0000	236.2565	0.0000	30.7112	198.0101	4.0294	3.5057	1.3242	8.6236	8.3368	8.7246	8.4413	0.6427	0.8564	5.3103	0.8064	0.0000	0.0000	0.0000	0.0000	0.3023	6.6748
3	100.0000	150.0000	238.7189	0.0000	40.6168	187.9991	4.6120	5.4910	1.3039	8.0336	7.7434	8.1387	7.8524	0.2416	0.8536	5.0090	0.8218	0.0000	0.0000	0.0000	0.0000	0.3003	6.1599
4	150.0000	200.0000	167.5212	0.0000	39.5871	118.6673	4.5343	4.7325	1.4913	6.5136	6.6379	6.6821	6.8034	0.3823	0.8493	4.9097	0.8090	0.0000	0.0000	0.0000	0.0000	0.1130	4.4296
5	200.0000	250.0000	113.9244	0.0000	31.6161	74.1912	3.8176	4.2994	1.7672	6.3092	6.4919	6.5520	6.7281	0.4874	0.8461	4.9961	0.7919	0.0000	0.0000	0.0000	0.0000	0.1806	4.1391
6	250.0000	300.0000	74.0178	0.0000	25.5876	41.2665	2.3457	4.8180	2.1497	5.4872	6.1242	5.8933	6.4906	0.1821	0.8426	4.8075	0.7608	0.0000	0.0000	0.0000	0.0000	0.2069	3.7723
7	300.0000	350.0000	42.4627	0.0000	17.7430	21.8389	1.3874	1.4933	2.5512	5.7555	5.5756	6.2956	6.1315	1.6257	0.8364	4.9098	0.7427	0.0000	0.0000	0.0000	0.0000	0.1150	2.2611
8	350.0000	400.0000	28.5185	0.0000	12.1954	13.6735	1.1854	1.4642	2.9607	5.0913	5.0318	5.8896	5.8382	0.7698	0.8352	4.6439	0.7249	0.0000	0.0000	0.0000	0.0000	0.3204	1.9049
9	400.0000	450.0000	18.9676	0.0000	8.8020	8.4043	0.6913	1.0700	3.3814	5.1494	5.3246	6.1604	6.3075	0.5236	0.8352	4.7897	0.7090	0.0000	0.0000	0.0000	0.0000	0.0682	2.2695
10	450.0000	500.0000	11.8193	0.0000	6.2153	4.3298	0.3606	0.9135	3.9172	4.7636	4.7428	6.1673	6.1513	0.4723	0.8296	4.4508	0.6803	0.0000	0.0000	0.0000	0.0000	0.1040	1.5764
11	500.0000	550.0000	8.2331	0.0000	4.6607	2.8068	0.1136	0.6521	4.6342	6.1114	5.1323	7.6698	6.9150	0.3979	0.8227	4.7543	0.6530	0.0000	0.0000	0.0000	0.0000	0.0517	3.6721
12	550.0000	600.0000	5.7329	0.0000	3.3496	1.8153	0.2557	0.3124	5.5324	4.7840	4.8993	7.3140	7.3899	1.5199	0.8263	4.2603	0.6840	0.0000	0.0000	0.0000	0.0000	0.6508	1.7296
13	600.0000	650.0000	4.1317	0.0000	2.4322	1.2811	0.0139	0.4045	6.9981	5.2885	5.4022	8.7716	8.8407	2.0871	0.8173	4.6522	0.6319	0.0000	0.0000	0.0000	0.0000	0.2005	1.7953
14	650.0000	700.0000	2.7057	0.0000	1.7546	0.6698	0.0376	0.2437	6.4824	4.6540	4.8957	7.9800	8.1234	2.2171	0.8196	4.2017	0.6231	0.0000	0.0000	0.0000	0.0000	0.0962	1.5487
15	700.0000	750.0000	2.0210	0.0000	1.2574	0.4160	0.0971	0.2505	8.7826	4.6957	5.1705	9.9591	10.1915	0.4962	0.8211	4.4671	0.6266	0.0000	0.0000	0.0000	0.0000	0.0916	2.5415
16	750.0000	800.0000	1.5357	0.0000	0.9966	0.5019	0.0016	0.0356	9.3377	6.6230	5.7179	11.4480	10.9493	2.8322	0.8159	4.7843	0.5933	0.0000	0.0000	0.0000	0.0000	0.1712	3.4665
17	800.0000	850.0000	0.9494	0.0000	0.7509	0.1246	0.0448	0.0290	5.5545	4.9987	4.8374	7.4725	7.3656	1.5455	0.8193	4.4989	0.6411	0.0000	0.0000	0.0000	0.0000	0.0396	1.3871
18	850.0000	900.0000	0.8586	0.0000	0.5618	0.1537	0.0123	0.1308	13.0389	5.1347	5.4201	14.0135	14.1206	2.5018	0.8292	4.6561	0.5602	0.0000	0.0000	0.0000	0.0000	0.1511	1.9136
19	900.0000	950.0000	0.5212	0.0000	0.4271	0.0644	0.0120	0.0176	7.7088	4.5287	4.4371	8.9407	8.8946	0.7143	0.8131	4.2557	0.6043	0.0000	0.0000	0.0000	0.0000	0.0616	1.1683
20	950.0000	1000.0000	1.6048	0.0000	1.4322	0.0838	0.0372	0.0515	2.7018	4.4911	4.3946	5.2411	5.1586	0.1813	0.8106	4.2588	0.5770	0.0000	0.0000	0.0000	0.0000	0.0703	1.0279
