Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	1.7103	0.0000	0.2733	0.8495	0.2778	0.3097	16.2332	6.3610	7.6192	17.4350	17.9324	4.6706	0.8887	5.1514	1.1129	0.0000	0.0000	0.0000	0.0000	1.7450	2.9809
2	-3.0144	-2.8888	0.8492	0.0000	0.1899	0.1953	0.3113	0.1526	21.8168	10.4621	6.2225	24.1956	22.6868	8.3391	0.8982	5.6198	1.2139	0.0000	0.0000	0.0000	0.0000	0.2818	2.4899
3	-2.8888	-2.7632	0.9282	0.0000	0.1372	0.3339	0.4059	0.0511	22.3613	15.9888	13.5122	27.4894	26.1267	11.2287	0.9316	5.9402	0.8876	0.0000	0.0000	0.0000	0.0000	6.8795	6.7297
4	-2.7632	-2.6376	1.1748	0.0000	0.1863	0.5296	0.3750	0.0840	17.3766	7.6179	6.6641	18.9731	18.6107	3.2162	0.8855	6.7905	0.8840	0.0000	0.0000	0.0000	0.0000	0.0821	0.1102
5	-2.6376	-2.5120	1.0759	0.0000	0.2266	0.4411	0.2797	0.1285	18.5341	13.5095	10.8757	22.9351	21.4894	5.1724	0.8989	6.0356	1.1410	0.0000	0.0000	0.0000	0.0000	8.3166	8.3491
6	-2.5120	-2.3864	0.8078	0.0000	0.1239	0.1607	0.3840	0.1391	24.7451	8.9472	15.2261	26.3130	29.0544	5.0984	0.8465	7.9067	0.7769	0.0000	0.0000	0.0000	0.0000	0.0457	12.1597
7	-2.3864	-2.2608	1.4166	0.0000	0.2195	0.5622	0.5252	0.1096	17.5696	6.5032	15.5681	18.7345	23.4746	1.8822	0.8896	5.4634	0.9921	0.0000	0.0000	0.0000	0.0000	0.0363	14.4481
8	-2.2608	-2.1352	0.9919	0.0000	0.2725	0.2759	0.2947	0.1488	20.3538	9.4724	7.2165	22.4500	21.5953	6.9901	0.8952	5.5904	0.9593	0.0000	0.0000	0.0000	0.0000	0.0000	2.8090
9	-2.1352	-2.0096	0.9224	0.0000	0.2007	0.4848	0.1001	0.1369	23.9683	15.3569	5.9521	28.4660	24.6963	9.4306	0.8801	4.9041	0.7690	0.0000	0.0000	0.0000	0.0000	0.0000	11.0218
10	-2.0096	-1.8840	1.1605	0.0000	0.1179	0.5408	0.2818	0.2201	18.5984	10.4269	6.9559	21.3218	19.8566	3.9454	0.8891	5.5015	0.9913	0.0000	0.0000	0.0000	0.0000	0.3757	7.8086
11	-1.8840	-1.7584	1.1416	0.0000	0.2524	0.3339	0.4206	0.1348	27.0795	9.4229	8.8128	28.6722	28.4775	4.4357	0.9185	5.3215	1.1003	0.0000	0.0000	0.0000	0.0000	0.0000	6.2245
12	-1.7584	-1.6328	0.9505	0.0000	0.2276	0.4946	0.1336	0.0947	18.9730	7.8871	7.6510	20.5470	20.4575	4.4036	0.8670	6.3683	0.9482	0.0000	0.0000	0.0000	0.0000	0.8267	1.0286
13	-1.6328	-1.5072	1.3053	0.0000	0.1904	0.4015	0.5701	0.1432	26.8285	6.7011	7.8749	27.6527	27.9603	4.1527	0.8955	6.2513	0.9343	0.0000	0.0000	0.0000	0.0000	0.8129	2.4126
14	-1.5072	-1.3816	1.1525	0.0000	0.1781	0.7575	0.1109	0.1060	19.0888	10.7641	7.7503	21.9146	20.6022	6.6471	0.8880	4.8772	0.9652	0.0000	0.0000	0.0000	0.0000	0.0088	6.7953
15	-1.3816	-1.2560	1.2203	0.0000	0.2579	0.1924	0.5047	0.2653	21.1775	9.4087	11.5170	23.1735	24.1066	8.9784	0.9055	5.5462	1.0447	0.0000	0.0000	0.0000	0.0000	0.0356	4.5895
16	-1.2560	-1.1304	0.9036	0.0000	0.2650	0.3007	0.2283	0.1095	21.2268	7.8902	6.3527	22.6458	22.1570	4.4064	0.8919	6.3584	1.1055	0.0000	0.0000	0.0000	0.0000	0.0073	0.6264
17	-1.1304	-1.0048	1.4210	0.0000	0.2057	0.7439	0.3031	0.1683	17.3590	7.8192	13.1189	19.0388	21.7587	9.3962	0.8856	5.9487	0.9538	0.0000	0.0000	0.0000	0.0000	0.0000	7.0011
18	-1.0048	-0.8792	1.0459	0.0000	0.1846	0.2701	0.4959	0.0953	21.2790	8.8600	7.6545	23.0498	22.6138	5.7101	0.8909	5.1402	1.2688	0.0000	0.0000	0.0000	0.0000	0.4341	5.3200
19	-0.8792	-0.7536	1.0472	0.0000	0.2878	0.3790	0.2999	0.0806	21.8777	10.7780	19.2904	24.3885	29.1677	8.5830	0.8451	6.3795	0.9373	0.0000	0.0000	0.0000	0.0000	9.1867	13.2098
20	-0.7536	-0.6280	0.9232	0.0000	0.1681	0.2563	0.2752	0.2236	22.2315	7.5419	6.4539	23.4759	23.1493	2.0959	0.9176	5.3525	1.0396	0.0000	0.0000	0.0000	0.0000	0.0312	5.1290
21	-0.6280	-0.5024	0.9274	0.0000	0.1645	0.4474	0.1528	0.1627	19.5516	10.3252	7.2298	22.1105	20.8455	5.3736	0.8936	6.8706	1.0030	0.0000	0.0000	0.0000	0.0000	1.6867	5.3595
22	-0.5024	-0.3768	1.1755	0.0000	0.1823	0.3642	0.4352	0.1938	18.0606	7.9641	6.4860	19.7386	19.1900	1.3461	0.8901	6.3173	1.0932	0.0000	0.0000	0.0000	0.0000	0.1268	4.4389
23	-0.3768	-0.2512	0.6393	0.0000	0.1159	0.2445	0.2103	0.0685	25.5071	13.3017	6.1837	28.7672	26.2460	3.8302	0.9067	6.0641	1.0983	0.0000	0.0000	0.0000	0.0000	0.1110	11.1114
24	-0.2512	-0.1256	1.1420	0.0000	0.2206	0.2700	0.4814	0.1699	21.5163	6.1661	6.1219	22.3824	22.3703	1.4293	0.8970	5.7254	1.0878	0.0000	0.0000	0.0000	0.0000	2.0778	1.1004
