Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	0.0000	20.0000	3.9003	0.0000	1.8098	0.6233	0.9542	0.5130	11.7131	9.7996	9.9596	15.2718	15.3750	7.2310	0.9034	6.4076	1.1544	0.0000	0.0000	0.0000	0.0000	1.1021	5.3853
2	20.0000	40.0000	7.3794	0.0000	2.7308	1.6823	1.8923	1.0740	7.1046	8.9575	10.7609	11.4329	12.8947	0.8421	0.8954	6.1327	1.0706	0.0000	0.0000	0.0000	0.0000	1.0852	8.7726
3	40.0000	60.0000	7.5533	0.0000	1.9014	1.8654	2.3310	1.4555	8.5052	11.2646	7.3003	14.1148	11.2086	2.9536	0.8975	6.1832	1.0961	0.0000	0.0000	0.0000	0.0000	2.6623	8.5894
4	60.0000	80.0000	7.7635	0.0000	0.9889	3.2777	2.4675	1.0294	9.3749	7.6839	8.8621	12.1215	12.9007	0.5232	0.8984	5.4949	0.9208	0.0000	0.0000	0.0000	0.0000	0.9596	6.9319
5	80.0000	100.0000	5.8601	0.0000	0.9008	2.4158	1.2346	1.3089	8.0634	8.2550	8.4103	11.5396	11.6512	1.7114	0.8812	6.0445	1.0344	0.0000	0.0000	0.0000	0.0000	1.6185	5.7020
6	100.0000	120.0000	5.3013	0.0000	0.5743	2.4388	1.5853	0.7030	8.7982	6.9923	7.7966	11.2383	11.7557	2.2144	0.8846	6.4320	0.9618	0.0000	0.0000	0.0000	0.0000	4.3247	0.9539
7	120.0000	140.0000	3.5653	0.0000	0.4178	1.5972	1.1049	0.4455	10.7014	7.0276	12.5925	12.8026	16.5254	1.7921	0.8891	5.4462	0.9140	0.0000	0.0000	0.0000	0.0000	1.9558	11.0460
8	140.0000	160.0000	2.7324	0.0000	0.1912	1.0752	0.8802	0.5858	12.1408	9.3865	11.8042	15.3462	16.9333	0.9839	0.8702	6.2018	0.8026	0.0000	0.0000	0.0000	0.0000	5.7645	8.2204
9	160.0000	180.0000	1.8669	0.0000	0.1461	0.9339	0.4503	0.3366	14.1604	11.2489	7.4698	18.0847	16.0099	4.3379	0.8938	5.7687	0.9340	0.0000	0.0000	0.0000	0.0000	5.5002	6.5206
10	180.0000	200.0000	1.6282	0.0000	0.1128	1.1104	0.2481	0.1568	16.2106	13.0416	5.9789	20.8055	17.2780	2.1424	0.9042	5.8167	0.8506	0.0000	0.0000	0.0000	0.0000	2.0264	11.2256
11	200.0000	220.0000	1.5555	0.0000	0.0741	0.7433	0.5478	0.1903	16.5698	7.8574	23.6412	18.3384	28.8698	2.3965	0.8969	5.3270	0.7967	0.0000	0.0000	0.0000	0.0000	7.2852	21.7170
12	220.0000	240.0000	1.1951	0.0000	0.1444	0.6003	0.3080	0.1424	19.1819	31.4832	8.9837	36.8665	21.1814	1.8608	0.8800	5.2776	1.0500	0.0000	0.0000	0.0000	0.0000	7.0596	30.7488
13	240.0000	260.0000	1.0754	0.0000	0.0438	0.6125	0.2996	0.1194	19.7806	11.7483	11.0724	23.0064	22.6687	1.0418	0.8497	5.5519	0.9745	0.0000	0.0000	0.0000	0.0000	10.2443	9.5319
14	260.0000	280.0000	0.7025	0.0000	0.0290	0.2624	0.3262	0.0849	23.8355	6.5480	19.2160	24.7185	30.6167	2.7300	0.8734	5.2459	0.9138	0.0000	0.0000	0.0000	0.0000	18.2799	3.7093
15	280.0000	300.0000	0.4169	0.0000	0.0178	0.2919	0.0864	0.0208	28.2717	38.6418	8.5202	47.8798	29.5276	6.1098	0.8893	5.9931	0.8232	0.0000	0.0000	0.0000	0.0000	22.0260	30.8398
16	300.0000	320.0000	0.5050	0.0000	0.0178	0.2137	0.1556	0.1179	25.9778	9.6920	28.8525	27.7269	38.8241	6.8551	0.9025	5.4266	0.9482	0.0000	0.0000	0.0000	0.0000	5.3822	27.4899
17	320.0000	340.0000	0.1571	0.0000	0.0101	0.0660	0.0423	0.0388	40.0717	63.3033	11.9790	74.9203	41.8239	6.7306	0.8952	5.3317	1.0104	0.0000	0.0000	0.0000	0.0000	21.2733	58.9848
18	340.0000	360.0000	0.3211	0.0000	0.0109	0.0804	0.2149	0.0150	36.4221	4.8885	44.8043	36.7487	57.7408	2.9765	0.9051	4.7257	0.8634	0.0000	0.0000	0.0000	0.0000	12.3367	42.7028
19	360.0000	380.0000	0.1967	0.0000	0.0136	0.0936	0.0625	0.0271	41.6107	7.4448	9.0671	42.2714	42.5871	4.6888	0.9157	3.9892	1.0585	0.0000	0.0000	0.0000	0.0000	0.3529	6.5387
20	380.0000	400.0000	0.1561	0.0000	0.0051	0.0636	0.0749	0.0125	52.1574	58.8794	14.0789	78.6587	54.0242	12.9725	0.8798	8.3554	1.2738	0.0000	0.0000	0.0000	0.0000	31.3321	47.3772
21	400.0000	420.0000	0.2012	0.0000	0.0028	0.1378	0.0148	0.0458	41.0283	17.2773	37.4999	44.5177	55.5838	17.9905	0.8476	3.8319	0.5336	0.0000	0.0000	0.0000	0.0000	24.4052	21.7206
22	420.0000	440.0000	0.0950	0.0000	0.0050	0.0613	0.0025	0.0261	103.4718	93.2991	36.2931	139.3239	109.6522	11.5527	0.9122	6.8695	0.9378	0.0000	0.0000	0.0000	0.0000	26.5277	92.6925
23	440.0000	460.0000	0.0914	0.0000	0.0035	0.0512	0.0006	0.0361	63.9400	38.4824	50.8714	74.6272	81.7081	13.9859	0.8122	1.8161	0.7157	0.0000	0.0000	0.0000	0.0000	27.3409	48.8662
24	460.0000	480.0000	0.2166	0.0000	0.0030	0.1095	0.0620	0.0422	43.0614	7.1116	59.3216	43.6447	73.3030	6.6596	0.9072	5.4789	1.4633	0.0000	0.0000	0.0000	0.0000	0.0064	58.6825
25	480.0000	500.0000	0.0560	0.0000	0.0013	0.0000	0.0174	0.0374	62.0208	227.7625	9.6318	236.0558	62.7642	8.6247	0.9361	4.2502	0.4054	0.0000	0.0000	0.0000	0.0000	0.5006	227.6765
26	500.0000	520.0000	0.0865	0.0000	0.0021	0.0000	0.0843	0.0000	82.7605	17.1008	97.0033	84.5088	127.5105	15.9532	0.8885	6.0905	0.2238	0.0000	0.0000	0.0000	0.0000	0.6245	95.8612
27	520.0000	540.0000	0.0138	0.0000	0.0016	0.0000	0.0001	0.0121	79.2538	518.2156	13.9279	524.2410	80.4684	12.8553	0.9012	4.4973	0.4729	0.0000	0.0000	0.0000	0.0000	76.7403	512.3782
28	540.0000	560.0000	0.0132	0.0000	0.0013	0.0000	0.0018	0.0101	77.5965	100.1682	90.0593	126.7079	118.8777	16.2425	0.8171	3.2191	0.8719	0.0000	0.0000	0.0000	0.0000	76.2661	93.6340
29	560.0000	580.0000	0.0050	0.0000	0.0008	0.0000	0.0000	0.0042	84.2367	32.6303	120.0478	90.3358	146.6537	32.3167	0.8069	1.9347	0.7387	0.0000	0.0000	0.0000	0.0000	81.0651	86.1384
30	580.0000	600.0000	0.0297	0.0000	0.0009	0.0250	0.0000	0.0037	85.3125	7.3347	15.6233	85.6272	86.7313	8.0003	0.9043	6.1915	1.7497	0.0000	0.0000	0.0000	0.0000	0.2587	11.8139
31	600.0000	620.0000	0.0068	0.0000	0.0010	0.0000	0.0000	0.0058	84.3861	123.5353	16.2855	149.6061	85.9432	12.2438	0.8149	8.5329	0.2988	0.0000	0.0000	0.0000	0.0000	1.4806	122.6185
32	620.0000	640.0000	0.0178	0.0000	0.0006	0.0000	0.0089	0.0084	68.5006	14.8626	48.8721	70.0944	84.1476	13.8476	0.9065	4.7985	0.9348	0.0000	0.0000	0.0000	0.0000	2.1024	47.6486
33	640.0000	660.0000	0.0016	0.0000	0.0011	0.0000	0.0000	0.0005	39.1708	532.1202	34.3480	533.5600	52.0974	12.1044	0.8819	6.0458	0.6680	0.0000	0.0000	0.0000	0.0000	32.2974	531.9470
34	660.0000	680.0000	0.0009	0.0000	0.0008	0.0000	0.0001	0.0000	35.1311	74.8520	60.6949	82.6862	70.1289	2.6291	0.7855	6.7904	1.0019	0.0000	0.0000	0.0000	0.0000	34.3730	66.1316
35	680.0000	700.0000	0.0464	0.0000	0.0005	0.0459	0.0000	0.0000	98.8762	12.6729	98.9348	99.6851	139.8735	12.1879	0.9051	2.7401	1.9280	0.0000	0.0000	0.0000	0.0000	0.0583	98.3959
36	700.0000	720.0000	0.0003	0.0000	0.0003	0.0000	0.0000	0.0000	45.9534	13428.3462	33.0135	13428.4248	56.5827	4.0232	0.9097	9.8846	1.1508	0.0000	0.0000	0.0000	0.0000	1.7955	13428.3418
37	720.0000	740.0000	0.0002	0.0000	0.0002	0.0000	0.0000	0.0000	23.1149	1631.6792	26.3196	1631.8429	35.0288	10.0211	0.8499	7.0095	0.9009	0.0000	0.0000	0.0000	0.0000	87.2098	1629.3005
38	740.0000	760.0000	0.0043	0.0000	0.0004	0.0000	0.0039	0.0000	88.2452	36.3305	97.2246	95.4313	131.3006	35.7183	0.8100	4.9968	0.7421	0.0000	0.0000	0.0000	0.0000	4.2354	93.3233
39	760.0000	780.0000	0.0002	0.0000	0.0001	0.0000	0.0001	0.0000	60.7455	1593.6097	90.4177	1594.7670	108.9283	4.5568	0.8890	5.5293	1.4936	0.0000	0.0000	0.0000	0.0000	62.2919	1593.5797
40	780.0000	800.0000	0.0001	0.0000	0.0001	0.0000	0.0000	0.0000	43.1140	1103.2449	7.3413	1104.0870	43.7345	5.1585	0.8809	5.0446	1.4618	0.0000	0.0000	0.0000	0.0000	60.1133	1101.5878
41	800.0000	820.0000	0.0007	0.0000	0.0007	0.0000	0.0000	0.0000	65.7672	11.8959	107.8390	66.8344	126.3114	7.7857	0.8063	11.6443	0.6059	0.0000	0.0000	0.0000	0.0000	64.8236	85.1228
42	820.0000	840.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	31.6596	4506.5195	15.0527	4506.6307	35.0558	20.4825	0.8394	4.8495	0.6913	0.0000	0.0000	0.0000	0.0000	2889.0304	3458.5803
43	840.0000	860.0000	0.0004	0.0000	0.0003	0.0000	0.0001	0.0000	47.8157	51.8807	56.2850	70.5546	73.8535	51.7199	0.8679	3.8456	1.0591	0.0000	0.0000	0.0000	0.0000	5.9243	42.3310
44	860.0000	880.0000	0.0001	0.0000	0.0001	0.0000	0.0000	0.0000	44.5429	101.8228	7.1980	111.1393	45.1208	2.5405	0.8529	6.7940	1.1774	0.0000	0.0000	0.0000	0.0000	47.8127	89.6301
45	880.0000	900.0000	0.0001	0.0000	0.0001	0.0000	0.0000	0.0000	41.2067	27439.1719	41.4780	27439.2029	58.4672	9.0228	0.8685	4.1733	0.6814	0.0000	0.0000	0.0000	0.0000	40.2600	27439.1686
46	900.0000	920.0000	0.0168	0.0000	0.0001	0.0000	0.0000	0.0167	99.5170	28.3913	101.7233	103.4877	142.3069	26.9916	0.9051	8.7293	0.7091	0.0000	0.0000	0.0000	0.0000	0.2384	99.5327
47	920.0000	940.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	46.1851	56473.7481	23.6062	56473.7670	51.8682	29.3892	0.8604	5.1263	0.6654	0.0000	0.0000	0.0000	0.0000	124.9769	56473.6019
48	940.0000	960.0000	0.0092	0.0000	0.0001	0.0000	0.0000	0.0091	99.3595	13.5614	100.0911	100.2807	141.0338	13.4759	0.7968	2.0808	0.7111	0.0000	0.0000	0.0000	0.0000	0.0581	99.1527
49	960.0000	980.0000	0.0001	0.0000	0.0001	0.0000	0.0000	0.0000	51.1156	12121.8674	10.8736	12121.9751	52.2593	2.6214	0.8824	5.7690	0.7201	0.0000	0.0000	0.0000	0.0000	259.2781	12119.0924
50	980.0000	1000.0000	0.0004	0.0000	0.0000	0.0000	0.0004	0.0000	65.1322	31.0490	101.7485	72.1543	120.8096	30.9589	0.8556	2.0913	0.6919	0.0000	0.0000	0.0000	0.0000	50.1392	85.2892
51	1000.0000	1020.0000	0.0002	0.0000	0.0002	0.0000	0.0000	0.0000	73.8665	198.0232	13.8304	211.3515	75.1501	11.5014	0.8122	4.1275	0.5957	0.0000	0.0000	0.0000	0.0000	2.5630	197.9459
52	1020.0000	1040.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	49.8679	52.5773	40.0283	72.4650	63.9459	10.3020	0.8018	4.5891	0.5479	0.0000	0.0000	0.0000	0.0000	6.0141	50.9909
53	1040.0000	1060.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	51.4367	8.2295	43.4689	52.0909	67.3445	6.8137	0.8147	3.2642	0.6913	0.0000	0.0000	0.0000	0.0000	5.9346	42.7676
54	1060.0000	1080.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	46.2483	219.1718	12.6981	223.9982	47.9599	15.9707	0.8698	5.0443	0.9020	0.0000	0.0000	0.0000	0.0000	37.7751	215.2377
55	1080.0000	1100.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	45.5760	12.6145	77.2940	47.2895	89.7304	8.8397	0.8378	5.2506	0.7618	0.0000	0.0000	0.0000	0.0000	8.0871	76.3887
56	1100.0000	1120.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	40.0368	1502.6402	15.1059	1503.1735	42.7917	29.2297	0.8934	7.7723	0.9196	0.0000	0.0000	0.0000	0.0000	17.8866	1502.2287
57	1120.0000	1140.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	62.7950	70988.0187	26.0959	70988.0464	68.0016	8.0638	0.7984	1.9404	0.6163	0.0000	0.0000	0.0000	0.0000	209.2756	70987.7097
58	1140.0000	1160.0000	0.0292	0.0000	0.0000	0.0000	0.0001	0.0291	99.6106	13.4998	101.0520	100.5213	141.8936	13.7644	0.9049	6.8168	0.4023	0.0000	0.0000	0.0000	0.0000	0.2993	99.8862
