Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-2.5000	-2.4000	1.6306	0.0000	0.3029	0.5157	0.6193	0.1927	14.9513	34.3133	8.9515	37.4292	17.4261	5.0165	0.9276	6.5486	0.6041	0.0000	0.0000	0.0000	0.0000	2.6659	33.3200
2	-2.4000	-2.3000	1.4665	0.0000	0.2500	0.5795	0.3978	0.2392	16.3843	6.8648	7.1524	17.7643	17.8774	1.5095	0.9301	6.2583	0.6372	0.0000	0.0000	0.0000	0.0000	0.5390	3.2737
3	-2.3000	-2.2000	1.3384	0.0000	0.1645	0.5769	0.4559	0.1411	16.7857	8.7707	7.5962	18.9390	18.4245	3.2783	0.9228	6.8510	0.7422	0.0000	0.0000	0.0000	0.0000	0.0000	4.2237
4	-2.2000	-2.1000	1.0872	0.0000	0.2585	0.4470	0.2085	0.1732	18.7364	11.9329	8.2683	22.2137	20.4797	3.7193	0.9347	8.0585	0.8307	0.0000	0.0000	0.0000	0.0000	0.0266	7.8776
5	-2.1000	-2.0000	1.4035	0.0000	0.1508	0.3863	0.5513	0.3150	17.0663	7.9912	7.5755	18.8446	18.6721	3.3141	0.9452	6.3596	0.8820	0.0000	0.0000	0.0000	0.0000	2.3106	4.1380
6	-2.0000	-1.9000	1.3627	0.0000	0.3058	0.3417	0.5349	0.1804	17.1081	5.6419	5.1687	18.0144	17.8719	1.6277	0.9390	4.7390	0.8579	0.0000	0.0000	0.0000	0.0000	0.7788	2.4970
7	-1.9000	-1.8000	1.5913	0.0000	0.2157	0.7289	0.4812	0.1655	23.3546	6.5399	7.8910	24.2530	24.6516	2.1441	0.9578	4.9502	1.0569	0.0000	0.0000	0.0000	0.0000	0.0553	5.8726
8	-1.8000	-1.7000	1.5372	0.0000	0.3437	0.4739	0.5255	0.1940	16.1905	10.0726	13.2137	19.0680	20.8981	9.8124	0.9348	4.7023	0.7661	0.0000	0.0000	0.0000	0.0000	0.6613	7.4350
9	-1.7000	-1.6000	1.4765	0.0000	0.1774	0.4550	0.5893	0.2548	24.8410	6.8189	11.5823	25.7599	27.4085	5.6012	0.9320	6.0263	0.8260	0.0000	0.0000	0.0000	0.0000	3.3030	7.4535
10	-1.6000	-1.5000	0.7556	0.0000	0.1574	0.3430	0.1906	0.0647	24.1917	7.2050	9.1630	25.2418	25.8688	6.4652	0.9048	6.5884	0.8981	0.0000	0.0000	0.0000	0.0000	0.0000	1.6874
11	-1.5000	-1.4000	0.6464	0.0000	0.0273	0.4036	0.1521	0.0635	25.4966	8.0088	19.5769	26.7248	32.1455	4.2366	0.8261	6.6925	0.8480	0.0000	0.0000	0.0000	0.0000	0.0000	18.2794
