Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-5.0000	-4.8000	0.5544	0.0000	0.0785	0.4253	0.0495	0.0010	25.8833	1.1593	62.9743	25.9092	68.0860	2.3926	0.0000	0.0000	0.0000	0.2452	0.0000	1.0950	0.2913	10.5524	62.0271
2	-4.8000	-4.6000	0.4153	0.0000	0.1152	0.2956	0.0000	0.0046	27.0680	32.4307	6.8710	42.2425	27.9265	8.4352	0.0000	0.0000	0.0000	0.2652	0.0000	1.0283	0.3826	14.3488	27.8107
3	-4.6000	-4.4000	0.6397	0.0000	0.0963	0.5034	0.0036	0.0365	22.5887	14.8875	17.7758	27.0534	28.7442	4.6496	0.0000	0.0000	0.0000	0.2213	0.0000	0.8764	0.3015	16.2733	14.1107
4	-4.4000	-4.2000	1.0072	0.0000	0.1486	0.8047	0.0000	0.0540	19.5009	5.1372	16.9223	20.1662	25.8196	4.9632	0.0000	0.0000	0.0000	0.4234	0.0000	1.0693	0.4277	8.7986	14.3355
5	-4.2000	-4.0000	1.3597	0.0000	0.1651	1.0734	0.0569	0.0644	16.1433	11.3140	2.2925	19.7133	16.3053	1.2287	0.0000	0.0000	0.0000	0.5552	0.0000	1.2557	0.5660	2.7616	10.8175
6	-4.0000	-3.8000	1.8671	0.0000	0.3909	1.4175	0.0000	0.0586	14.6286	10.5176	9.7268	18.0171	17.5671	1.7681	0.0000	0.0000	0.0000	0.3093	0.0000	1.0624	0.3354	10.1321	9.4104
7	-3.8000	-3.6000	2.8717	0.0000	0.3900	2.3530	0.0137	0.1149	11.4292	8.5816	4.5307	14.2924	12.2945	1.4284	0.0000	0.0000	0.0000	0.4221	0.0000	1.0200	0.3987	8.3789	4.1383
8	-3.6000	-3.4000	4.2464	0.0000	0.9497	3.1568	0.0248	0.1152	9.8163	10.2627	14.5222	14.2014	17.5286	2.4337	0.0000	0.0000	0.0000	0.3746	0.0000	1.0346	0.3841	5.2351	13.2749
9	-3.4000	-3.2000	6.4977	0.0000	1.1927	5.0003	0.1083	0.1964	7.5687	5.8699	2.4327	9.5782	7.9500	2.1280	0.0000	0.0000	0.0000	0.3665	0.0000	1.0617	0.3894	1.0832	5.5273
10	-3.2000	-3.0000	10.6798	0.0000	1.7961	8.4914	0.0000	0.3923	6.2298	4.2891	10.6114	7.5635	12.3050	3.0845	0.0000	0.0000	0.0000	0.3591	0.0000	1.0311	0.3822	2.0307	9.8814
11	-3.0000	-2.8000	15.1200	0.0000	2.4235	11.8065	0.4068	0.4833	5.0744	4.3715	7.3801	6.6977	8.9563	0.7282	0.0000	0.0000	0.0000	0.3732	0.0000	0.9954	0.3795	0.4192	7.2578
12	-2.8000	-2.6000	19.1749	0.0000	3.3407	14.7440	0.3480	0.7422	4.4718	4.1664	5.7695	6.1119	7.2996	0.4045	0.0000	0.0000	0.0000	0.3592	0.0000	0.9738	0.3764	0.6393	5.6281
13	-2.6000	-2.4000	30.3812	0.0000	5.1305	23.8050	0.2816	1.1641	3.5922	7.5505	4.3639	8.3615	5.6522	1.1578	0.0000	0.0000	0.0000	0.3907	0.0000	1.0463	0.4085	2.7428	6.9238
14	-2.4000	-2.2000	37.9146	0.0000	6.6589	28.8558	0.5711	1.8289	3.1195	4.7905	7.2040	5.7166	7.8504	1.6045	0.0000	0.0000	0.0000	0.4171	0.0000	1.0190	0.4248	1.4590	6.9580
15	-2.2000	-2.0000	51.8767	0.0000	10.6273	38.1459	0.7345	2.3691	2.6795	7.9416	4.2100	8.3814	4.9904	1.0450	0.0000	0.0000	0.0000	0.4165	0.0000	1.0850	0.4317	1.3713	7.6524
16	-2.0000	-1.8000	62.0702	0.0000	13.1632	44.8116	0.9469	3.1485	2.4423	4.9627	5.8550	5.5311	6.3439	0.4409	0.0000	0.0000	0.0000	0.4249	0.0000	1.1157	0.4413	0.3107	5.6912
17	-1.8000	-1.6000	66.6704	0.0000	15.5650	46.4037	0.7049	3.9968	2.3194	5.3103	3.3037	5.7947	4.0366	0.1310	0.0000	0.0000	0.0000	0.4849	0.0000	1.2136	0.4920	1.5221	4.8903
18	-1.6000	-1.4000	74.2133	0.0000	16.5888	51.9339	1.8325	3.8580	2.2246	3.1406	6.3422	3.8487	6.7210	0.2471	0.0000	0.0000	0.0000	0.4697	0.0000	1.1836	0.4781	1.2598	6.0671
19	-1.4000	-1.2000	74.1025	0.0000	18.5509	49.2433	1.3535	4.9549	2.1594	6.5234	5.0755	6.8716	5.5157	0.4672	0.0000	0.0000	0.0000	0.5261	0.0000	1.2759	0.5205	1.0086	6.2678
20	-1.2000	-1.0000	75.6035	0.0000	19.3247	50.1255	1.1431	5.0102	2.1568	4.9847	6.5790	5.4313	6.9235	0.1392	0.0000	0.0000	0.0000	0.5690	0.0000	1.3413	0.5649	0.2723	6.3866
21	-1.0000	-0.8000	73.3544	0.0000	19.5086	47.5099	0.6215	5.7144	2.1220	5.8755	3.9226	6.2470	4.4598	0.3125	0.0000	0.0000	0.0000	0.5845	0.0000	1.3902	0.5813	0.3516	5.6292
22	-0.8000	-0.6000	72.6968	0.0000	20.2446	45.5449	1.0065	5.9007	2.1478	4.7433	5.9083	5.2069	6.2866	0.4390	0.0000	0.0000	0.0000	0.5987	0.0000	1.4220	0.5944	0.7247	5.6193
23	-0.6000	-0.4000	68.6591	0.0000	19.4835	42.9792	0.6380	5.5584	2.1822	6.5496	5.8084	6.9035	6.2048	0.1038	0.0000	0.0000	0.0000	0.6491	0.0000	1.4637	0.6316	0.2042	6.3156
24	-0.4000	-0.2000	67.4734	0.0000	19.6504	41.3204	1.3400	5.1626	2.2132	6.9832	5.3306	7.3256	5.7718	0.4729	0.0000	0.0000	0.0000	0.6378	0.0000	1.4748	0.6271	0.5208	6.7334
25	-0.2000	0.0000	66.1345	0.0000	19.1067	40.7058	0.9469	5.3750	2.2024	5.3898	4.9756	5.8224	5.4412	0.0353	0.0000	0.0000	0.0000	0.6270	0.0000	1.4449	0.6165	0.3578	5.1174
26	0.0000	0.2000	69.6665	0.0000	19.8007	43.3125	0.7230	5.8302	2.1887	4.8704	5.6906	5.3396	6.0970	0.7642	0.0000	0.0000	0.0000	0.6512	0.0000	1.4899	0.6385	0.4019	5.4015
27	0.2000	0.4000	68.7323	0.0000	19.7142	43.1100	0.6679	5.2402	2.2193	5.7625	5.3355	6.1751	5.7787	1.1207	0.0000	0.0000	0.0000	0.6577	0.0000	1.5008	0.6474	0.5339	5.4232
28	0.4000	0.6000	68.9990	0.0000	19.7202	42.4805	1.0349	5.7634	2.1666	5.6146	7.2363	6.0181	7.5537	0.7930	0.0000	0.0000	0.0000	0.6427	0.0000	1.4424	0.6279	0.3571	6.9993
29	0.6000	0.8000	71.5321	0.0000	19.5606	44.9928	1.0176	5.9611	2.1639	5.4137	5.5917	5.8302	5.9958	0.7033	0.0000	0.0000	0.0000	0.6233	0.0000	1.4134	0.6109	0.7303	5.3051
30	0.8000	1.0000	70.4443	0.0000	18.1257	45.7888	0.9422	5.5875	2.1972	5.3215	4.3235	5.7572	4.8498	0.5992	0.0000	0.0000	0.0000	0.5835	0.0000	1.3832	0.5821	0.6302	5.0365
31	1.0000	1.2000	72.7364	0.0000	19.0683	48.0046	0.8869	4.7766	2.3038	6.3230	5.6504	6.7296	6.1020	0.1059	0.0000	0.0000	0.0000	0.5497	0.0000	1.3266	0.5462	0.5325	6.1098
32	1.2000	1.4000	73.0643	0.0000	17.8052	49.7320	0.6872	4.8398	2.2158	6.4540	6.4639	6.8237	6.8332	0.3216	0.0000	0.0000	0.0000	0.5151	0.0000	1.2573	0.5155	0.1518	6.2986
33	1.4000	1.6000	72.9513	0.0000	16.5877	50.2663	0.9550	5.1423	2.2112	5.5750	5.7284	5.9975	6.1403	0.2951	0.0000	0.0000	0.0000	0.4892	0.0000	1.2190	0.4932	0.4777	5.5484
34	1.6000	1.8000	65.7860	0.0000	14.6583	46.2643	1.1349	3.7285	2.3421	4.1085	5.5917	4.7292	6.0624	0.3725	0.0000	0.0000	0.0000	0.4382	0.0000	1.1447	0.4549	0.4355	5.4358
35	1.8000	2.0000	60.8628	0.0000	12.5651	44.0004	1.0021	3.2952	2.5150	5.6634	7.1587	6.1967	7.5876	1.1505	0.0000	0.0000	0.0000	0.4480	0.0000	1.1398	0.4612	1.0356	6.9570
36	2.0000	2.2000	48.1423	0.0000	10.0026	34.8437	0.8766	2.4195	2.7113	4.8171	6.0604	5.5278	6.6393	0.4055	0.0000	0.0000	0.0000	0.4173	0.0000	1.1144	0.4301	0.1769	5.9120
37	2.2000	2.4000	37.0472	0.0000	7.0321	27.9078	0.4750	1.6323	3.1957	6.3646	4.6084	7.1218	5.6080	0.9770	0.0000	0.0000	0.0000	0.4527	0.0000	1.1087	0.4573	0.7137	6.1353
38	2.4000	2.6000	27.7612	0.0000	4.4434	21.7627	0.8080	0.7471	3.7182	6.6489	4.7410	7.6179	6.0251	0.4483	0.0000	0.0000	0.0000	0.3751	0.0000	0.9669	0.3866	0.6864	6.5128
