Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	33.5511	0.0000	8.7982	22.6689	0.0412	2.0427	3.2433	6.1998	7.6258	6.9969	8.2868	0.2556	0.0000	0.0000	0.0000	0.5115	0.0000	1.2711	0.5151	1.7949	7.2630
2	-3.0144	-2.8888	33.7269	0.0000	8.7211	22.9529	0.1904	1.8625	3.1912	7.2296	4.7692	7.9026	5.7384	1.1126	0.0000	0.0000	0.0000	0.5796	0.0000	1.3349	0.5657	1.1013	6.8832
3	-2.8888	-2.7632	33.7451	0.0000	7.6297	24.3326	0.1778	1.6050	3.2135	4.3126	4.1562	5.3782	5.2536	0.7874	0.0000	0.0000	0.0000	0.4957	0.0000	1.2216	0.4993	1.7544	3.8759
4	-2.7632	-2.6376	33.5263	0.0000	8.2134	23.3660	0.1768	1.7701	3.2768	6.0885	5.6261	6.9143	6.5108	0.7978	0.0000	0.0000	0.0000	0.5323	0.0000	1.2598	0.5265	0.7792	5.8457
5	-2.6376	-2.5120	33.5027	0.0000	8.4671	22.9428	0.1560	1.9367	3.1921	6.5526	6.3233	7.2887	7.0834	0.3717	0.0000	0.0000	0.0000	0.5307	0.0000	1.3033	0.5348	1.7143	6.3665
6	-2.5120	-2.3864	33.4444	0.0000	8.2288	23.0560	0.1206	2.0389	3.2092	5.1344	7.4367	6.0548	8.0996	0.1911	0.0000	0.0000	0.0000	0.5673	0.0000	1.3310	0.5675	1.2134	7.2544
7	-2.3864	-2.2608	32.8396	0.0000	7.9996	22.6118	0.1413	2.0867	3.2754	5.8213	2.3253	6.6795	4.0169	0.2339	0.0000	0.0000	0.0000	0.5541	0.0000	1.3138	0.5590	2.2296	5.1547
8	-2.2608	-2.1352	34.7814	0.0000	7.9229	24.5655	0.1992	2.0938	3.1915	4.8737	6.5372	5.8257	7.2746	0.9692	0.0000	0.0000	0.0000	0.4828	0.0000	1.2271	0.4920	1.6445	6.1318
9	-2.1352	-2.0096	33.6535	0.0000	9.1927	21.8317	0.3101	2.3189	3.2336	5.9899	2.8235	6.8070	4.2928	1.3444	0.0000	0.0000	0.0000	0.5449	0.0000	1.3325	0.5504	1.2784	5.6120
10	-2.0096	-1.8840	35.4546	0.0000	8.6193	24.6430	0.1470	2.0454	3.1984	7.5221	7.9360	8.1738	8.5563	1.3229	0.0000	0.0000	0.0000	0.5135	0.0000	1.2675	0.5113	1.2327	7.7231
11	-1.8840	-1.7584	33.5373	0.0000	8.2653	22.9394	0.4858	1.8468	3.2012	5.1401	4.6309	6.0554	5.6296	0.4919	0.0000	0.0000	0.0000	0.5168	0.0000	1.2401	0.5188	1.5849	4.9097
12	-1.7584	-1.6328	35.9003	0.0000	8.5740	25.0448	0.1540	2.1274	3.1159	3.3276	5.9665	4.5587	6.7311	1.4121	0.0000	0.0000	0.0000	0.5237	0.0000	1.2837	0.5267	1.1007	5.6045
13	-1.6328	-1.5072	33.6925	0.0000	8.3338	23.0420	0.1143	2.2024	3.1834	6.3808	6.1766	7.1308	6.9487	0.9760	0.0000	0.0000	0.0000	0.5179	0.0000	1.2505	0.5219	2.2376	6.1793
14	-1.5072	-1.3816	34.0660	0.0000	8.6068	23.4522	0.3231	1.6840	3.2002	5.7504	3.7765	6.5809	4.9501	1.3036	0.0000	0.0000	0.0000	0.5277	0.0000	1.2387	0.5284	1.0177	5.3141
15	-1.3816	-1.2560	34.5857	0.0000	8.1949	24.3271	0.1431	1.9206	3.1350	6.0719	6.9447	6.8335	7.6195	0.7441	0.0000	0.0000	0.0000	0.5502	0.0000	1.3180	0.5569	0.3301	6.7752
16	-1.2560	-1.1304	34.9260	0.0000	8.8889	24.0870	0.0365	1.9136	3.0784	4.6288	5.4688	5.5590	6.2757	0.4551	0.0000	0.0000	0.0000	0.5390	0.0000	1.2907	0.5401	0.5973	5.2133
17	-1.1304	-1.0048	34.5505	0.0000	9.0209	23.3320	0.0895	2.1081	3.2594	6.1561	8.1755	6.9657	8.8013	0.1315	0.0000	0.0000	0.0000	0.4979	0.0000	1.2620	0.5057	0.9036	7.9960
18	-1.0048	-0.8792	33.7599	0.0000	8.1885	23.0696	0.2690	2.2328	3.2097	4.1646	5.5393	5.2580	6.4020	0.7848	0.0000	0.0000	0.0000	0.5114	0.0000	1.2410	0.5103	0.5859	5.2622
19	-0.8792	-0.7536	35.7846	0.0000	8.0884	25.3557	0.2249	2.1155	3.2273	5.5791	3.7951	6.4453	4.9818	0.6137	0.0000	0.0000	0.0000	0.5080	0.0000	1.2401	0.5101	1.0940	5.2438
20	-0.7536	-0.6280	34.8875	0.0000	9.2288	23.6394	0.1989	1.8204	3.1986	5.5605	6.5492	6.4149	7.2886	0.3167	0.0000	0.0000	0.0000	0.4968	0.0000	1.2659	0.5109	1.2736	6.2519
21	-0.6280	-0.5024	35.4511	0.0000	8.2130	24.9564	0.1970	2.0847	3.1122	6.5643	5.1399	7.2647	6.0087	1.4649	0.0000	0.0000	0.0000	0.5188	0.0000	1.2563	0.5195	1.6846	6.2388
22	-0.5024	-0.3768	33.2611	0.0000	8.4285	22.8899	0.1485	1.7943	3.2028	3.6142	5.3639	4.8291	6.2473	0.6543	0.0000	0.0000	0.0000	0.5371	0.0000	1.2786	0.5391	1.1065	5.1557
23	-0.3768	-0.2512	36.8589	0.0000	8.3367	26.4306	0.1575	1.9342	3.1215	6.2994	6.6635	7.0304	7.3584	0.8882	0.0000	0.0000	0.0000	0.4990	0.0000	1.2303	0.5081	1.2333	6.3326
24	-0.2512	-0.1256	34.4830	0.0000	8.1674	24.3894	0.0936	1.8326	3.1966	5.2362	3.4140	6.1348	4.6770	0.1533	0.0000	0.0000	0.0000	0.5494	0.0000	1.3059	0.5515	1.6863	4.7183
25	-0.1256	0.0000	35.4321	0.0000	8.8576	24.2460	0.2369	2.0916	3.1433	4.8855	7.8439	5.8094	8.4503	0.3934	0.0000	0.0000	0.0000	0.5446	0.0000	1.3258	0.5387	1.9083	7.4552
26	0.0000	0.1256	33.8144	0.0000	8.3294	23.3382	0.2775	1.8693	3.2622	6.6866	5.8005	7.4399	6.6549	0.9648	0.0000	0.0000	0.0000	0.5356	0.0000	1.3083	0.5345	1.8026	6.2222
27	0.1256	0.2512	34.1620	0.0000	9.0865	22.7076	0.2145	2.1534	3.1960	4.3202	7.4008	5.3739	8.0614	0.4508	0.0000	0.0000	0.0000	0.5691	0.0000	1.3301	0.5597	0.2301	7.2213
28	0.2512	0.3768	33.4747	0.0000	8.6130	22.8944	0.2540	1.7133	3.2256	4.7532	3.2543	5.7443	4.5820	0.4978	0.0000	0.0000	0.0000	0.5359	0.0000	1.2726	0.5271	0.9179	4.4100
29	0.3768	0.5024	37.1582	0.0000	8.2118	26.5582	0.2460	2.1423	3.0764	4.0124	8.0446	5.0561	8.6128	0.6580	0.0000	0.0000	0.0000	0.5047	0.0000	1.2417	0.5021	0.7896	7.8660
30	0.5024	0.6280	32.4333	0.0000	8.3921	21.7397	0.1276	2.1740	3.1862	6.9628	5.1220	7.6572	6.0321	0.4497	0.0000	0.0000	0.0000	0.5266	0.0000	1.2701	0.5203	0.5228	6.7907
31	0.6280	0.7536	35.5619	0.0000	9.0664	24.3740	0.2401	1.8814	3.1921	5.9863	5.4012	6.7842	6.2739	0.8122	0.0000	0.0000	0.0000	0.5451	0.0000	1.2984	0.5476	0.6294	5.7006
32	0.7536	0.8792	36.1566	0.0000	8.9329	24.4776	0.2670	2.4791	3.0592	4.4011	6.0323	5.3599	6.7636	1.7048	0.0000	0.0000	0.0000	0.5237	0.0000	1.2886	0.5274	1.3130	5.4575
33	0.8792	1.0048	32.8604	0.0000	8.2225	22.3106	0.1650	2.1622	3.1996	6.5463	3.9467	7.2864	5.0807	0.5577	0.0000	0.0000	0.0000	0.5308	0.0000	1.2735	0.5283	1.4524	6.2055
34	1.0048	1.1304	34.9868	0.0000	8.1390	24.0013	0.5469	2.2996	3.1708	4.2435	5.0222	5.2973	5.9394	0.4071	0.0000	0.0000	0.0000	0.5200	0.0000	1.2673	0.5196	0.5642	4.7735
35	1.1304	1.2560	33.9587	0.0000	9.0527	23.1564	0.1173	1.6322	3.1453	4.6091	6.6222	5.5800	7.3313	1.0971	0.0000	0.0000	0.0000	0.5663	0.0000	1.3298	0.5616	0.6260	6.4078
36	1.2560	1.3816	35.3488	0.0000	8.3875	24.3008	0.2883	2.3722	3.1098	6.9507	7.2152	7.6147	7.8569	0.9039	0.0000	0.0000	0.0000	0.5333	0.0000	1.2448	0.5278	0.7019	7.0115
37	1.3816	1.5072	35.0425	0.0000	8.5715	24.6124	0.1838	1.6749	3.1757	5.3021	3.7097	6.1804	4.8833	0.4741	0.0000	0.0000	0.0000	0.5096	0.0000	1.2873	0.5141	0.9284	5.0022
38	1.5072	1.6328	34.1037	0.0000	7.9444	23.9682	0.4728	1.7182	3.2174	6.3920	6.3518	7.1561	7.1202	1.2526	0.0000	0.0000	0.0000	0.5109	0.0000	1.2435	0.5041	0.4967	6.1723
39	1.6328	1.7584	33.6578	0.0000	8.1983	23.1736	0.0473	2.2386	3.3097	4.4837	6.6993	5.5729	7.4723	1.1756	0.0000	0.0000	0.0000	0.5571	0.0000	1.3280	0.5521	0.5261	6.3939
40	1.7584	1.8840	35.2752	0.0000	8.6623	24.4214	0.3117	1.8798	3.1453	6.2354	7.2435	6.9837	7.8969	0.1705	0.0000	0.0000	0.0000	0.5031	0.0000	1.2404	0.5034	1.8357	7.0803
41	1.8840	2.0096	34.5061	0.0000	8.7330	23.3512	0.5539	1.8680	3.1461	6.6860	4.0396	7.3892	5.1202	0.7547	0.0000	0.0000	0.0000	0.5110	0.0000	1.2432	0.5091	1.8460	6.2348
42	2.0096	2.1352	34.1202	0.0000	8.0844	23.7862	0.4038	1.8458	3.2128	4.0179	5.2109	5.1445	6.1217	0.3562	0.0000	0.0000	0.0000	0.5254	0.0000	1.2736	0.5293	0.9194	4.9701
43	2.1352	2.2608	34.1459	0.0000	8.4873	23.2971	0.0667	2.2949	3.1821	7.2684	5.6603	7.9344	6.4934	0.8263	0.0000	0.0000	0.0000	0.5156	0.0000	1.2560	0.5102	1.4737	7.0741
