Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
2	-2.4000	-2.3000	18.7822	0.0000	3.4661	14.7177	0.3338	0.2646	4.5513	14.5387	7.1640	15.2345	8.4875	1.8552	0.0000	0.0000	0.0000	0.4218	0.0000	1.0131	0.4381	3.8243	13.9357
3	-2.3000	-2.2000	18.7289	0.0000	4.1427	14.1965	0.2097	0.1800	4.5099	11.4038	9.7829	12.2632	10.7724	0.3687	0.0000	0.0000	0.0000	0.3969	0.0000	1.0320	0.4124	1.0941	11.2897
4	-2.2000	-2.1000	22.2424	0.0000	5.0044	16.7993	0.3201	0.1187	4.1221	6.5010	6.8591	7.6977	8.0024	1.4048	0.0000	0.0000	0.0000	0.4300	0.0000	1.1190	0.4473	1.4609	6.5920
5	-2.1000	-2.0000	23.5149	0.0000	4.9849	17.2364	0.4240	0.8697	4.0778	6.3713	7.2740	7.5645	8.3391	1.2038	0.0000	0.0000	0.0000	0.3907	0.0000	1.0038	0.4039	0.8987	7.0754
6	-2.0000	-1.9000	24.5834	0.0000	5.1472	18.4620	0.2981	0.6761	3.9150	2.6618	5.6328	4.7342	6.8598	0.3062	0.0000	0.0000	0.0000	0.4130	0.0000	1.0593	0.4265	1.2860	5.3474
7	-1.9000	-1.8000	28.1031	0.0000	6.1546	20.7408	0.6044	0.6033	3.6667	3.2371	5.0064	4.8912	6.2056	0.6488	0.0000	0.0000	0.0000	0.4096	0.0000	1.0744	0.4245	0.5779	4.7815
8	-1.8000	-1.7000	29.6154	0.0000	6.2675	22.3206	0.4987	0.5286	3.5905	2.6395	3.1550	4.4563	4.7797	0.6520	0.0000	0.0000	0.0000	0.4514	0.0000	1.0929	0.4537	0.5757	2.8187
9	-1.7000	-1.6000	33.8473	0.0000	7.0712	25.7343	0.4030	0.6388	3.3843	3.0173	3.0074	4.5340	4.5275	0.7464	0.0000	0.0000	0.0000	0.4315	0.0000	1.1097	0.4435	0.8213	2.6243
10	-1.6000	-1.5000	36.9514	0.0000	8.2403	27.3731	0.4271	0.9109	3.1434	3.3901	2.3845	4.6232	3.9454	0.2714	0.0000	0.0000	0.0000	0.4545	0.0000	1.1360	0.4687	1.0309	2.9393
11	-1.5000	-1.4000	37.4195	0.0000	8.7483	27.4818	0.3454	0.8440	3.2577	4.1425	3.6699	5.2700	4.9073	0.6304	0.0000	0.0000	0.0000	0.4571	0.0000	1.1675	0.4612	0.1726	3.8663
12	-1.4000	-1.3000	37.3094	0.0000	8.5145	27.8438	0.4648	0.4863	3.1314	6.9002	5.0325	7.5775	5.9272	0.5636	0.0000	0.0000	0.0000	0.4906	0.0000	1.2519	0.4990	0.6511	6.6968
13	-1.3000	-1.2000	38.0122	0.0000	8.8503	27.7878	0.5908	0.7833	3.1434	5.2447	6.5709	6.1146	7.2841	0.7601	0.0000	0.0000	0.0000	0.4654	0.0000	1.1731	0.4790	0.3676	6.3916
14	-1.2000	-1.1000	39.9241	0.0000	8.8511	28.7664	0.9309	1.3756	3.0488	4.9111	5.2778	5.7805	6.0951	0.2846	0.0000	0.0000	0.0000	0.4792	0.0000	1.2164	0.4938	0.1263	5.0839
15	-1.1000	-1.0000	40.5655	0.0000	10.2518	28.4932	0.3098	1.5107	2.9351	5.3729	5.7239	6.1223	6.4326	0.1404	0.0000	0.0000	0.0000	0.5154	0.0000	1.2767	0.5228	0.4846	5.5113
16	-1.0000	-0.9000	42.6950	0.0000	10.8684	29.9273	0.7538	1.1455	2.9275	6.3960	4.3865	7.0342	5.2736	0.7306	0.0000	0.0000	0.0000	0.4979	0.0000	1.3162	0.5100	0.1300	6.1744
17	-0.9000	-0.8000	42.7988	0.0000	10.9120	30.1956	0.7380	0.9533	2.9450	7.7164	6.8930	8.2593	7.4958	1.5412	0.0000	0.0000	0.0000	0.5306	0.0000	1.2939	0.5279	0.5096	7.5037
18	-0.8000	-0.7000	41.0870	0.0000	11.6265	27.1456	0.9382	1.3767	2.8946	5.9557	5.7998	6.6219	6.4821	1.4638	0.0000	0.0000	0.0000	0.5381	0.0000	1.3158	0.5377	0.3460	5.5694
19	-0.7000	-0.6000	41.1096	0.0000	11.2035	28.2400	0.7698	0.8964	2.9190	7.8226	6.0231	8.3495	6.6932	0.8220	0.0000	0.0000	0.0000	0.5636	0.0000	1.3698	0.5578	0.2816	7.6114
20	-0.6000	-0.5000	41.5248	0.0000	11.6265	27.7283	0.6479	1.5221	2.9783	4.5766	4.7542	5.4603	5.6101	0.8596	0.0000	0.0000	0.0000	0.5829	0.0000	1.3912	0.5809	0.2330	4.3862
21	-0.5000	-0.4000	41.8335	0.0000	12.2060	27.8494	0.5085	1.2696	2.8836	5.7068	5.1563	6.3939	5.9078	0.6088	0.0000	0.0000	0.0000	0.6449	0.0000	1.4501	0.6316	0.3239	5.4013
22	-0.4000	-0.3000	43.8637	0.0000	12.2691	29.9806	0.4670	1.1469	3.1570	5.1790	5.8067	6.0653	6.6094	0.4640	0.0000	0.0000	0.0000	0.6031	0.0000	1.3857	0.5833	0.1736	5.5605
23	-0.3000	-0.2000	41.4590	0.0000	12.8587	26.9406	0.6063	1.0535	2.9087	4.6420	6.0125	5.4780	6.6791	0.4028	0.0000	0.0000	0.0000	0.5857	0.0000	1.3620	0.5767	0.6674	5.7496
24	-0.2000	-0.1000	41.1365	0.0000	12.5054	26.9866	0.5997	1.0448	2.8672	5.1238	5.4753	5.8715	6.1806	0.5963	0.0000	0.0000	0.0000	0.6036	0.0000	1.3991	0.5977	0.3642	5.2021
