Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
9	800.0000	900.0000	429.3388	0.0000	83.5517	318.7376	5.2357	21.8138	0.9363	4.8738	4.6315	4.9629	4.7252	0.1530	0.0000	0.0000	0.0000	0.2964	0.0000	0.8836	0.3266	0.1152	4.7694
10	900.0000	1000.0000	338.2620	0.0000	69.6360	245.7330	4.3160	18.5770	1.0537	4.7768	4.7873	4.8917	4.9019	0.3621	0.0000	0.0000	0.0000	0.3338	0.0000	0.9535	0.3590	0.0436	4.6524
11	1000.0000	1100.0000	261.0600	0.0000	57.6538	183.6119	3.6205	16.1738	1.1831	5.1511	6.0665	5.2852	6.1808	0.0785	0.0000	0.0000	0.0000	0.3885	0.0000	1.0545	0.4054	0.4056	5.9344
12	1100.0000	1200.0000	189.5415	0.0000	45.8295	128.6236	2.7652	12.3231	1.4073	5.4763	6.2240	5.6543	6.3811	0.6856	0.0000	0.0000	0.0000	0.4876	0.0000	1.2322	0.4932	0.1379	6.0238
13	1200.0000	1300.0000	133.4573	0.0000	34.9016	86.3182	2.3252	9.9123	1.6168	6.4632	4.9380	6.6624	5.1960	0.7438	0.0000	0.0000	0.0000	0.5928	0.0000	1.4094	0.5861	0.4951	6.1882
14	1300.0000	1400.0000	98.2088	0.0000	27.4570	61.6525	1.6525	7.4468	1.8498	7.0572	5.9221	7.2956	6.2043	0.1210	0.0000	0.0000	0.0000	0.7049	0.0000	1.5749	0.6828	0.3426	6.8002
15	1400.0000	1500.0000	72.5463	0.0000	21.5008	44.4503	1.0525	5.5427	2.0944	5.2887	6.6529	5.6883	6.9748	0.7475	0.0000	0.0000	0.0000	0.7690	0.0000	1.6809	0.7391	0.5311	6.3094
16	1500.0000	1600.0000	55.6963	0.0000	17.2607	32.6782	1.0862	4.6712	2.3538	5.4232	7.0031	5.9120	7.3881	0.7513	0.0000	0.0000	0.0000	0.8927	0.0000	1.8657	0.8466	0.8813	6.6124
17	1600.0000	1700.0000	39.9738	0.0000	13.1213	22.7606	0.6240	3.4679	2.7331	8.6535	6.4807	9.0749	7.0335	0.3927	0.0000	0.0000	0.0000	1.0295	0.0000	2.0947	0.9574	1.8084	8.2594
18	1700.0000	1800.0000	29.6611	0.0000	10.5371	15.7990	0.8261	2.4989	3.1102	9.1641	6.3804	9.6775	7.0981	0.9749	0.0000	0.0000	0.0000	1.1544	0.0000	2.2642	1.0744	0.5124	8.6905
19	1800.0000	1900.0000	24.9259	0.0000	8.4898	13.2193	0.4216	2.7952	3.3040	4.3288	8.3228	5.4456	8.9546	0.2938	0.0000	0.0000	0.0000	1.1848	0.0000	2.3196	1.1054	0.7858	7.8344
20	1900.0000	2000.0000	17.4633	0.0000	6.7255	8.9374	0.2971	1.5032	3.7713	8.9618	5.0584	9.7230	6.3095	0.2150	0.0000	0.0000	0.0000	1.3940	0.0000	2.6803	1.2842	1.4884	8.3382
21	2000.0000	2100.0000	13.2568	0.0000	5.1188	6.6772	0.1434	1.3174	4.4319	4.8103	5.6567	6.5407	7.1861	0.7895	0.0000	0.0000	0.0000	1.4077	0.0000	2.6510	1.2840	0.6360	4.6288
22	2100.0000	2200.0000	11.1107	0.0000	4.1833	5.6000	0.1545	1.1729	4.7505	9.0580	10.6762	10.2281	11.6854	5.0839	0.0000	0.0000	0.0000	1.5946	0.0000	2.9569	1.4690	1.6026	9.7310
23	2200.0000	2300.0000	8.2100	0.0000	3.1611	4.1781	0.0952	0.7756	5.3916	6.6491	7.4542	8.5604	9.1997	0.6371	0.0000	0.0000	0.0000	1.4800	0.0000	2.8482	1.3749	2.1597	6.5786
24	2300.0000	2400.0000	6.8307	0.0000	2.6625	3.4838	0.1540	0.5305	6.1851	7.4602	7.6799	9.6907	9.8608	2.7535	0.0000	0.0000	0.0000	1.4952	0.0000	2.9026	1.3900	3.3552	6.1695
25	2400.0000	2500.0000	5.5096	0.0000	2.0936	2.6393	0.1240	0.6526	6.7078	4.9676	7.7389	8.3469	10.2413	2.3234	0.0000	0.0000	0.0000	1.5576	0.0000	2.9539	1.4303	1.5567	6.4023
26	2500.0000	2600.0000	4.7979	0.0000	1.9264	2.2725	0.1262	0.4728	7.4392	3.6834	6.9366	8.3012	10.1715	0.6178	0.0000	0.0000	0.0000	1.5305	0.0000	2.8910	1.4012	0.7224	5.9429
27	2600.0000	2700.0000	3.2686	0.0000	1.4330	1.4347	0.0664	0.3344	7.7762	19.9259	10.6848	21.3895	13.2149	2.7360	0.0000	0.0000	0.0000	1.5511	0.0000	3.0320	1.4256	2.4899	19.2283
28	2700.0000	2800.0000	3.1338	0.0000	1.4040	1.4413	0.0155	0.2731	8.7016	4.2883	11.4407	9.7009	14.3739	1.3878	0.0000	0.0000	0.0000	1.8661	0.0000	3.4522	1.7291	8.7067	5.9447
29	2800.0000	2900.0000	2.1203	0.0000	1.0291	0.7897	0.0587	0.2428	9.3897	38.3668	5.7294	39.4991	10.9996	1.8373	0.0000	0.0000	0.0000	1.9691	0.0000	3.6519	1.8197	11.6197	36.2710
