Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	34.1652	0.0000	8.0401	24.7775	0.6691	0.6785	3.3001	6.2624	5.2235	7.0787	6.1786	0.4714	0.0000	0.0000	0.0000	0.5287	0.0000	1.2508	0.5265	0.6668	6.0360
2	-3.0144	-2.8888	32.6440	0.0000	8.3874	22.9375	0.6151	0.7040	3.3181	7.6066	3.4619	8.2988	4.7953	0.7465	0.0000	0.0000	0.0000	0.4990	0.0000	1.2438	0.5026	0.2266	7.4674
3	-2.8888	-2.7632	35.0479	0.0000	8.2300	26.3676	0.1586	0.2918	3.2230	4.2534	5.8365	5.3366	6.6673	1.1999	0.0000	0.0000	0.0000	0.5099	0.0000	1.2643	0.5144	1.4800	5.3236
4	-2.7632	-2.6376	34.0670	0.0000	8.8487	23.8617	0.4841	0.8725	3.3531	5.4576	8.8085	6.4054	9.4251	1.0671	0.0000	0.0000	0.0000	0.4974	0.0000	1.2381	0.5023	1.4956	8.6581
5	-2.6376	-2.5120	34.2130	0.0000	8.6412	23.5949	0.6413	1.3356	3.3214	1.5214	3.8562	3.6532	5.0894	0.4345	0.0000	0.0000	0.0000	0.5000	0.0000	1.2312	0.5092	0.3173	3.5864
6	-2.5120	-2.3864	35.1431	0.0000	8.2512	25.4949	0.4590	0.9380	3.6702	8.4056	6.5264	9.1720	7.4876	0.7839	0.0000	0.0000	0.0000	0.5391	0.0000	1.2573	0.5278	0.4287	8.2575
7	-2.3864	-2.2608	34.1086	0.0000	8.5339	24.2718	0.3237	0.9791	3.2892	7.6869	5.3365	8.3611	6.2687	1.3691	0.0000	0.0000	0.0000	0.4798	0.0000	1.2373	0.4979	1.7034	7.2763
8	-2.2608	-2.1352	35.6953	0.0000	9.1294	25.6007	0.3081	0.6571	3.1718	4.2628	5.8726	5.3134	6.6744	1.0573	0.0000	0.0000	0.0000	0.4850	0.0000	1.2330	0.4994	1.3643	5.6124
9	-2.1352	-2.0096	34.0799	0.0000	8.2674	24.5541	0.4002	0.8582	3.2551	6.0056	6.0905	6.8310	6.9058	0.1718	0.0000	0.0000	0.0000	0.4918	0.0000	1.2222	0.5007	2.0395	5.8354
10	-2.0096	-1.8840	32.4513	0.0000	8.4980	22.9360	0.4211	0.5962	3.3325	3.6361	5.4332	4.9322	6.3738	0.2560	0.0000	0.0000	0.0000	0.5095	0.0000	1.2618	0.5199	1.0458	5.1254
