Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	34.5318	0.0000	9.2425	23.2632	0.3586	1.6675	3.1351	5.2763	4.6689	6.1375	5.6239	0.6121	0.0000	0.0000	0.0000	0.5351	0.0000	1.2871	0.5392	0.6091	5.0201
2	-3.0144	-2.8888	34.7289	0.0000	8.2907	24.4734	0.1354	1.8294	3.2291	6.4868	5.4522	7.2461	6.3367	1.3159	0.0000	0.0000	0.0000	0.5495	0.0000	1.3152	0.5599	0.3425	6.1646
3	-2.8888	-2.7632	34.4781	0.0000	8.5306	23.8326	0.0752	2.0398	3.1828	5.1516	6.7192	6.0555	7.4349	0.4073	0.0000	0.0000	0.0000	0.5036	0.0000	1.2358	0.5048	0.1573	6.5551
4	-2.7632	-2.6376	35.0524	0.0000	8.8942	24.3467	0.0108	1.8008	3.0882	4.7700	6.2324	5.6824	6.9556	0.9501	0.0000	0.0000	0.0000	0.5112	0.0000	1.2814	0.5179	0.2176	5.9793
5	-2.6376	-2.5120	34.7188	0.0000	8.5104	24.1193	0.0650	2.0241	3.1901	6.2653	5.2416	7.0307	6.1361	0.3493	0.0000	0.0000	0.0000	0.5175	0.0000	1.2674	0.5215	0.4348	6.0660
6	-2.5120	-2.3864	35.1750	0.0000	8.5374	24.2787	0.1483	2.2107	3.1610	4.3220	5.8348	5.3546	6.6360	1.2573	0.0000	0.0000	0.0000	0.5323	0.0000	1.2657	0.5290	0.1176	5.5059
7	-2.3864	-2.2608	33.2648	0.0000	7.8075	23.2561	0.1918	2.0095	3.2125	4.9744	5.2499	5.9215	6.1548	0.7611	0.0000	0.0000	0.0000	0.4987	0.0000	1.2072	0.5005	0.1825	5.0048
8	-2.2608	-2.1352	35.1154	0.0000	8.3763	24.2873	0.3446	2.1072	3.1709	4.8968	5.7491	5.8338	6.5656	1.2127	0.0000	0.0000	0.0000	0.5155	0.0000	1.2537	0.5116	0.3430	5.4815
9	-2.1352	-2.0096	33.7228	0.0000	8.0038	23.7147	0.0878	1.9165	3.2035	5.7807	5.1206	6.6090	6.0401	0.3739	0.0000	0.0000	0.0000	0.5244	0.0000	1.2729	0.5262	0.4096	5.5891
10	-2.0096	-1.8840	34.2132	0.0000	8.4075	23.4194	0.3422	2.0440	3.1899	5.5483	5.1854	6.3999	6.0880	0.6757	0.0000	0.0000	0.0000	0.5195	0.0000	1.2507	0.5271	0.5769	5.3050
