Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	0.0000	50.0000	187.4437	0.0000	22.0612	158.7305	3.8175	2.8345	1.5278	6.8753	7.1684	7.0430	7.3294	0.3236	0.0000	0.0000	0.0000	0.3114	0.0000	0.8899	0.3429	0.3096	7.0913
2	50.0000	100.0000	390.8074	0.0000	57.9995	318.6743	5.8068	8.3268	1.0189	7.2466	7.1698	7.3179	7.2418	0.3580	0.0000	0.0000	0.0000	0.3268	0.0000	0.9587	0.3523	0.1735	7.1578
3	100.0000	150.0000	365.9172	0.0000	70.2681	280.2864	5.1872	10.1755	1.0293	6.2512	5.4597	6.3353	5.5558	0.3691	0.0000	0.0000	0.0000	0.3746	0.0000	1.0312	0.3916	0.0989	6.1298
4	150.0000	200.0000	263.1631	0.0000	67.8723	182.5788	3.0409	9.6710	1.1709	5.1056	5.1015	5.2382	5.2342	0.3184	0.0000	0.0000	0.0000	0.4303	0.0000	1.1121	0.4333	0.2765	4.9339
5	200.0000	250.0000	174.8641	0.0000	56.5867	108.5774	2.4463	7.2538	1.3901	3.9283	4.3685	4.1670	4.5843	0.2799	0.0000	0.0000	0.0000	0.4869	0.0000	1.2191	0.4898	0.0317	4.1318
6	250.0000	300.0000	113.6836	0.0000	43.5686	61.8950	1.7187	6.5013	1.6405	2.9451	3.6757	3.3712	4.0252	0.3823	0.0000	0.0000	0.0000	0.5809	0.0000	1.3693	0.5760	0.0885	3.2958
7	300.0000	350.0000	69.7312	0.0000	29.9949	33.7973	0.9644	4.9746	1.9989	3.1177	2.8255	3.7034	3.4610	0.5534	0.0000	0.0000	0.0000	0.7714	0.0000	1.6751	0.7442	0.1206	2.3571
8	350.0000	400.0000	44.4109	0.0000	21.3180	19.4420	0.9395	2.7113	2.2555	3.3784	3.5536	4.0621	4.2089	0.3494	0.0000	0.0000	0.0000	1.1791	0.0000	2.3125	1.1119	0.1690	2.1490
9	400.0000	450.0000	29.1031	0.0000	15.1154	11.6139	0.2892	2.0846	2.5636	4.6464	4.3074	5.3067	5.0125	2.2850	0.0000	0.0000	0.0000	1.5697	0.0000	2.9654	1.4600	0.2463	1.7083
10	450.0000	500.0000	20.3124	0.0000	10.7152	7.7740	0.5127	1.3105	2.9863	4.3513	4.3656	5.2775	5.2892	0.1303	0.0000	0.0000	0.0000	1.7541	0.0000	3.2581	1.6265	0.0987	1.7031
11	500.0000	550.0000	12.2676	0.0000	7.7256	3.7400	0.1252	0.6767	3.3523	4.6179	5.0534	5.7064	6.0642	1.1525	0.0000	0.0000	0.0000	1.8879	0.0000	3.4801	1.7536	0.3579	2.5256
12	550.0000	600.0000	8.4052	0.0000	5.5019	2.2584	0.1044	0.5405	3.7946	5.4329	5.1076	6.6269	6.3629	1.4557	0.0000	0.0000	0.0000	2.1937	0.0000	3.9377	2.0145	0.0418	1.7382
13	600.0000	650.0000	6.8999	0.0000	4.0274	1.9657	0.1395	0.7673	4.4533	5.6408	5.4974	7.1868	7.0748	1.8900	0.0000	0.0000	0.0000	2.2973	0.0000	4.0803	2.1039	0.2855	1.6402
14	650.0000	700.0000	4.2138	0.0000	2.9188	0.9385	0.0330	0.3236	4.5481	5.5281	5.4593	7.1586	7.1056	0.2580	0.0000	0.0000	0.0000	2.3880	0.0000	4.2521	2.1752	0.1698	1.3964
15	700.0000	750.0000	3.2418	0.0000	2.1695	0.8554	0.0523	0.1646	5.5367	5.5154	5.8297	7.8150	8.0399	0.6724	0.0000	0.0000	0.0000	2.3620	0.0000	4.3391	2.1783	0.1583	2.1992
16	750.0000	800.0000	2.2744	0.0000	1.6237	0.5191	0.0576	0.0740	5.6484	6.2191	5.8832	8.4013	8.1558	1.9568	0.0000	0.0000	0.0000	2.4847	0.0000	4.4392	2.2823	0.5410	1.8618
17	800.0000	850.0000	1.5025	0.0000	1.2068	0.2644	0.0318	-0.0005	6.8354	6.0852	5.9195	9.1516	9.0423	1.2248	0.0000	0.0000	0.0000	2.5532	0.0000	4.5844	2.3395	0.0572	1.6137
18	850.0000	900.0000	1.2621	0.0000	0.9122	0.1208	0.0275	0.2017	6.7877	6.1033	6.0777	9.1282	9.1110	0.6687	0.0000	0.0000	0.0000	2.7005	0.0000	4.7709	2.4674	0.0135	1.0552
19	900.0000	950.0000	0.9046	0.0000	0.6728	0.1950	0.0055	0.0313	10.5712	6.3199	6.9779	12.3163	12.6666	3.9068	0.0000	0.0000	0.0000	2.5796	0.0000	4.5802	2.3879	0.0532	1.1991
20	950.0000	1000.0000	2.8877	0.0000	2.2379	0.3872	0.0747	0.1879	4.7331	6.4569	6.9165	8.0059	8.3809	1.2133	0.0000	0.0000	0.0000	2.8403	0.0000	5.0155	2.5694	0.0883	2.7866
