Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
5	400.0000	500.0000	750.4732	0.0000	153.5141	571.1368	4.2362	21.5862	0.6914	5.8732	5.8641	5.9138	5.9047	0.0939	0.0000	0.0000	0.0000	0.3383	0.0000	0.9230	0.3639	0.0834	5.7783
6	500.0000	600.0000	431.4626	0.0000	96.8457	319.6285	3.3351	11.6533	0.9205	4.8916	5.0304	4.9775	5.1139	0.1572	0.0000	0.0000	0.0000	0.4170	0.0000	1.1072	0.4313	0.1556	4.8691
7	600.0000	700.0000	243.3956	0.0000	67.0281	167.6902	0.9842	7.6931	1.2163	4.6872	4.6128	4.8424	4.7704	0.3884	0.0000	0.0000	0.0000	0.5118	0.0000	1.2882	0.5107	0.1469	4.4292
8	700.0000	800.0000	110.8339	0.0000	38.4959	67.3358	0.5535	4.4487	1.7624	5.9445	5.2666	6.2002	5.5537	0.5290	0.0000	0.0000	0.0000	0.7012	0.0000	1.6411	0.6738	0.1279	5.6181
9	800.0000	900.0000	59.7945	0.0000	24.3368	32.5325	0.6637	2.2616	2.3636	4.6382	5.2190	5.2057	5.7292	1.1065	0.0000	0.0000	0.0000	0.9550	0.0000	2.0874	0.8980	0.1795	4.4715
10	900.0000	1000.0000	30.3241	0.0000	14.5317	14.1639	0.3848	1.2437	3.2574	5.7210	6.6255	6.5833	7.3829	0.4895	0.0000	0.0000	0.0000	1.4104	0.0000	2.8345	1.3198	0.1652	5.6866
11	1000.0000	1100.0000	18.0599	0.0000	9.4353	7.5708	0.1310	0.9228	4.0050	6.8445	7.2808	7.9302	8.3096	0.9508	0.0000	0.0000	0.0000	2.0333	0.0000	3.6864	1.8485	0.1988	5.6994
12	1100.0000	1200.0000	10.5251	0.0000	6.2851	3.6226	0.1522	0.4652	4.9996	8.4152	9.3388	9.7884	10.5929	5.2746	0.0000	0.0000	0.0000	2.2705	0.0000	4.2477	2.0628	0.1505	6.7758
13	1200.0000	1300.0000	5.7724	0.0000	3.9217	1.6371	0.0348	0.1788	7.2198	9.0471	7.7945	11.5748	10.6245	2.2884	0.0000	0.0000	0.0000	2.9198	0.0000	5.0219	2.5786	0.5839	6.2500
14	1300.0000	1400.0000	3.8459	0.0000	2.6062	0.8844	0.0743	0.2810	7.9518	8.0644	7.4802	11.3254	10.9172	1.9769	0.0000	0.0000	0.0000	2.7756	0.0000	5.0335	2.5053	0.7120	4.6638
15	1400.0000	1500.0000	2.6965	0.0000	1.8505	0.5144	0.0855	0.2461	9.5149	9.3688	10.0284	13.3532	13.8240	2.2580	0.0000	0.0000	0.0000	3.7705	0.0000	6.3295	3.4009	0.9255	5.7580
16	1500.0000	1600.0000	1.8920	0.0000	1.2881	0.4583	0.0002	0.1454	11.8578	12.8341	8.9843	17.4734	14.8770	0.9973	0.0000	0.0000	0.0000	4.2844	0.0000	6.7276	3.7579	0.0920	9.3254
17	1600.0000	1700.0000	1.1960	0.0000	0.9727	0.1886	0.0061	0.0287	14.0980	8.8485	8.7510	16.6448	16.5932	2.7522	0.0000	0.0000	0.0000	3.7727	0.0000	6.5557	3.3199	0.5900	3.0860
18	1700.0000	1800.0000	0.8810	0.0000	0.4966	0.2949	0.0003	0.0891	18.1588	13.7209	8.7387	22.7597	20.1521	9.5512	0.0000	0.0000	0.0000	3.1576	0.0000	5.8548	2.8100	2.4113	6.7001
19	1800.0000	1900.0000	0.6034	0.0000	0.4717	0.0637	0.0001	0.0679	18.0642	9.4432	9.5382	20.3835	20.4277	3.6331	0.0000	0.0000	0.0000	4.2171	0.0000	7.1241	3.7592	0.7709	1.5777
20	1900.0000	2000.0000	1.6309	0.0000	1.3133	0.1883	0.0429	0.0865	11.4856	9.6326	11.1271	14.9901	15.9916	0.3693	0.0000	0.0000	0.0000	3.9664	0.0000	7.2742	3.6501	1.5745	6.6391
