Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-5.0000	-4.8000	6.9606	0.0000	5.1052	1.7167	0.0000	0.1388	6.0509	5.6687	7.7046	8.2914	9.7967	2.6074	0.0000	0.0000	0.0000	1.0183	0.0000	2.0661	0.9084	4.4416	5.1808
2	-4.8000	-4.6000	9.3165	0.0000	6.8258	2.3432	0.0000	0.1475	4.9922	10.8514	7.0502	11.9447	8.6387	1.1090	0.0000	0.0000	0.0000	1.0272	0.0000	2.0683	0.9368	4.7652	10.0726
3	-4.6000	-4.4000	13.3139	0.0000	8.6617	4.3685	0.0002	0.2836	4.4541	6.0308	11.8218	7.4973	12.6330	1.1932	0.0000	0.0000	0.0000	0.8984	0.0000	1.9148	0.8246	4.8573	11.5453
4	-4.4000	-4.2000	17.4864	0.0000	11.4546	5.6683	0.0744	0.2891	4.0645	7.8588	12.1005	8.8476	12.7649	1.1433	0.0000	0.0000	0.0000	0.8745	0.0000	1.8243	0.8019	2.4097	11.6059
5	-4.2000	-4.0000	19.6565	0.0000	11.8029	7.2315	0.0046	0.6174	3.7169	10.0340	6.9208	10.7004	7.8558	1.7349	0.0000	0.0000	0.0000	0.8766	0.0000	1.8540	0.8215	2.4378	9.3686
6	-4.0000	-3.8000	26.5368	0.0000	14.4757	11.3800	0.0597	0.6215	3.2989	3.5359	11.6421	4.8358	12.1004	0.6263	0.0000	0.0000	0.0000	0.7614	0.0000	1.6631	0.7121	0.6054	11.4478
7	-3.8000	-3.6000	29.3759	0.0000	13.6371	14.8951	0.0297	0.8140	3.2256	3.6203	2.7766	4.8488	4.2561	0.6740	0.0000	0.0000	0.0000	0.6716	0.0000	1.5198	0.6412	2.1315	3.0790
8	-3.6000	-3.4000	35.3680	0.0000	14.5575	19.6562	0.0875	1.0667	2.9902	4.9007	7.2687	5.7409	7.8597	0.6490	0.0000	0.0000	0.0000	0.6659	0.0000	1.4677	0.6241	2.8118	6.9571
9	-3.4000	-3.2000	40.7843	0.0000	14.1446	25.1056	0.2688	1.2654	2.8300	6.1778	4.7066	6.7951	5.4919	0.6880	0.0000	0.0000	0.0000	0.5942	0.0000	1.3778	0.5765	1.0759	5.8586
10	-3.2000	-3.0000	45.2944	0.0000	13.0369	30.4551	0.2037	1.5987	2.7506	5.0452	5.8279	5.7463	6.4444	0.6194	0.0000	0.0000	0.0000	0.5467	0.0000	1.2871	0.5345	0.8395	5.6015
11	-3.0000	-2.8000	47.7549	0.0000	12.3902	33.8174	0.1904	1.3568	2.7598	5.9219	3.2383	6.5334	4.2548	1.4170	0.0000	0.0000	0.0000	0.4956	0.0000	1.2140	0.5042	0.8262	5.5141
