Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	0.0000	50.0000	4.2563	0.0000	0.0182	1.1694	2.3752	0.6936	17.9743	15.5626	3.2706	23.7755	18.2695	1.7410	0.0000	0.0000	0.0000	0.2952	0.0000	0.8311	0.3178	1.3232	15.3903
2	50.0000	100.0000	6.5035	0.0000	0.1294	1.1149	3.8106	1.4486	8.8069	3.1906	6.0651	9.3671	10.6933	2.1448	0.0000	0.0000	0.0000	0.2914	0.0000	0.7390	0.3191	0.7291	5.9603
3	100.0000	150.0000	6.2104	0.0000	0.4073	1.1552	3.2905	1.3574	9.6920	8.3496	2.7635	12.7926	10.0783	1.7723	0.0000	0.0000	0.0000	0.3180	0.0000	0.7975	0.3480	0.8683	8.0599
4	150.0000	200.0000	4.0250	0.0000	0.1456	0.8747	1.8712	1.1334	11.4341	28.9718	4.7600	31.1465	12.3854	4.1354	0.0000	0.0000	0.0000	0.3304	0.0000	0.9580	0.3432	17.4501	22.7292
5	200.0000	250.0000	2.4466	0.0000	0.1859	0.5001	1.1706	0.5900	16.1038	9.2443	6.5861	18.5685	17.3986	4.4533	0.0000	0.0000	0.0000	0.4723	0.0000	1.2210	0.5289	2.1897	7.6705
6	250.0000	300.0000	2.0742	0.0000	0.0940	0.5909	0.7206	0.6687	15.8429	5.1423	3.2561	16.6565	16.1740	2.7334	0.0000	0.0000	0.0000	0.6324	0.0000	1.3204	0.6257	0.1885	4.0498
7	300.0000	350.0000	1.6436	0.0000	0.0347	0.4946	0.3701	0.7442	14.9363	4.7684	3.7972	15.6790	15.4114	4.5082	0.0000	0.0000	0.0000	0.5394	0.0000	1.2926	0.5365	0.3769	3.4913
8	350.0000	400.0000	1.0314	0.0000	0.0108	0.3458	0.4610	0.2138	22.3990	7.6858	8.6255	23.6810	24.0024	7.8297	0.0000	0.0000	0.0000	1.4583	0.0000	2.7583	1.4537	0.7402	0.9413
9	400.0000	450.0000	0.4097	0.0000	0.0152	0.0505	0.1330	0.2110	32.6687	23.4730	15.1318	40.2272	36.0030	23.0269	0.0000	0.0000	0.0000	1.8797	0.0000	3.7136	1.8483	0.0377	0.3766
10	450.0000	500.0000	0.4148	0.0000	0.0125	0.1108	0.2756	0.0158	45.6318	9.0750	13.8703	46.5254	47.6933	10.1256	0.0000	0.0000	0.0000	2.8159	0.0000	5.1114	2.6138	0.0153	7.0172
11	500.0000	550.0000	0.0527	0.0000	0.0113	0.0167	0.0328	-0.0081	172.2249	25.4699	8.4714	174.0980	172.4331	22.1689	0.0000	0.0000	0.0000	5.2870	0.0000	4.8644	4.4889	0.3237	9.3834
12	550.0000	600.0000	0.3719	0.0000	0.0241	0.1720	0.0592	0.1166	31.0875	9.5994	9.0840	32.5359	32.3876	7.5060	0.0000	0.0000	0.0000	2.5708	0.0000	4.5579	2.4363	0.0000	1.5781
13	600.0000	650.0000	0.2120	0.0000	0.0031	0.0087	0.0541	0.1461	35.9852	9.2672	11.3453	37.1593	37.7312	9.5622	0.0000	0.0000	0.0000	3.2386	0.0000	4.5025	2.5956	0.0033	0.1688
14	650.0000	700.0000	0.0192	0.0000	0.0017	0.0000	0.0017	0.0157	50.4806	40.1196	27.2616	64.4815	57.3715	39.9516	0.0000	0.0000	0.0000	1.6239	0.0000	2.9193	1.5143	0.0028	0.0028
15	700.0000	750.0000	0.0394	0.0000	0.0013	0.0245	0.0077	0.0059	65.2740	14.6420	13.5332	66.8960	66.6621	13.6211	0.0000	0.0000	0.0000	1.7828	0.0000	4.4563	1.8704	0.0359	8.0123
16	750.0000	800.0000	0.0443	0.0000	0.0005	0.0357	0.0137	-0.0056	87.3859	4.0975	8.2141	87.4820	87.7712	7.1298	0.0000	0.0000	0.0000	1.9476	0.0000	3.2554	1.5462	0.0000	0.0900
18	850.0000	900.0000	0.0340	0.0000	0.0008	0.0000	0.0001	0.0331	81.3478	14.6409	11.1177	82.6548	82.1040	13.6374	0.0000	0.0000	0.0000	1.9795	0.0000	4.4961	2.0605	0.0000	0.1354
20	950.0000	1000.0000	0.0783	0.0000	0.0041	0.0199	0.0416	0.0127	58.8568	11.6774	12.3400	60.0040	60.1365	11.2381	0.0000	0.0000	0.0000	2.0216	0.0000	4.2436	2.0271	0.0124	0.4156
