Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	30.5720	28.0000	27.4747	0.4020	0.9347	1.7606	7.4930	6.1446	4.6870	9.6903	8.8381	5.5264	0.4165	2.4226	0.7497	0.0000	0.0000	0.0000	0.0000	0.3703	0.7811
2	-3.0144	-2.8888	30.7745	28.0000	27.6930	0.4653	0.6570	1.9592	5.3620	7.1899	3.6794	8.9692	6.5030	2.7389	0.4147	2.3877	0.6722	0.0000	0.0000	0.0000	0.0000	2.5055	5.6206
3	-2.8888	-2.7632	29.5303	31.0000	26.7812	0.2145	0.4790	2.0556	7.0697	4.3404	3.4300	8.2958	7.8579	1.6806	0.4211	2.5626	0.6920	0.0000	0.0000	0.0000	0.0000	0.1087	3.0159
4	-2.7632	-2.6376	31.5520	23.0000	28.6204	0.2016	0.5909	2.1391	6.3612	4.0828	3.2450	7.5587	7.1411	0.8081	0.4149	2.2874	0.6983	0.0000	0.0000	0.0000	0.0000	0.5572	3.1486
5	-2.6376	-2.5120	30.4743	25.0000	27.8925	0.2934	0.4572	1.8311	6.2755	4.3439	4.1311	7.6322	7.5131	2.9486	0.4208	2.4546	0.7491	0.0000	0.0000	0.0000	0.0000	0.7294	2.0361
6	-2.5120	-2.3864	29.7357	23.0000	27.0418	0.2756	0.4680	1.9502	6.4303	3.2386	3.1896	7.1999	7.1779	0.4043	0.4131	2.4539	0.7006	0.0000	0.0000	0.0000	0.0000	0.2786	1.9204
7	-2.3864	-2.2608	33.6454	23.0000	31.0284	0.5360	0.5004	1.5805	5.5531	3.8627	3.0281	6.7644	6.3250	1.4880	0.4182	2.5401	0.6981	0.0000	0.0000	0.0000	0.0000	0.1446	2.3648
8	-2.2608	-2.1352	33.3446	27.0000	30.3805	0.3015	0.8667	1.7959	7.0412	8.6650	6.2462	11.1652	9.4124	7.5360	0.4226	2.6440	0.7836	0.0000	0.0000	0.0000	0.0000	0.7774	3.1471
9	-2.1352	-2.0096	31.3478	27.0000	28.4564	0.3376	0.6600	1.8937	6.0149	5.3596	4.5756	8.0563	7.5574	4.3037	0.4173	2.4309	0.7116	0.0000	0.0000	0.0000	0.0000	0.3343	1.8712
10	-2.0096	-1.8840	31.4388	28.0000	28.2825	0.9029	0.3303	1.9231	6.9486	3.1165	3.2771	7.6155	7.6826	1.3403	0.4170	2.3555	0.7393	0.0000	0.0000	0.0000	0.0000	0.0884	1.6329
11	-1.8840	-1.7584	32.2943	29.0000	29.5574	0.2664	0.4292	2.0414	6.0211	3.2982	3.0062	6.8653	6.7299	1.4641	0.4142	2.4223	0.7037	0.0000	0.0000	0.0000	0.0000	0.0952	1.8676
12	-1.7584	-1.6328	30.7264	25.0000	28.0815	0.4498	0.4630	1.7322	6.5037	5.3418	4.4013	8.4163	7.8530	3.4746	0.4174	2.5457	0.7356	0.0000	0.0000	0.0000	0.0000	0.2359	3.0350
13	-1.6328	-1.5072	27.8611	23.0000	25.2760	0.4198	0.3126	1.8527	5.8823	4.8510	3.8877	7.6245	7.0509	2.7181	0.4107	2.3810	0.6887	0.0000	0.0000	0.0000	0.0000	1.6719	2.6646
14	-1.5072	-1.3816	30.6674	30.0000	28.2372	0.3814	0.4506	1.5982	7.1515	4.2336	3.1445	8.3107	7.8123	2.4936	0.4107	2.2794	0.6764	0.0000	0.0000	0.0000	0.0000	0.3182	2.4253
15	-1.3816	-1.2560	30.3560	21.0000	28.0194	0.2523	0.3606	1.7237	7.4238	2.8986	3.4832	7.9696	8.2004	2.0806	0.4108	2.3037	0.6647	0.0000	0.0000	0.0000	0.0000	0.3111	1.4858
