Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
11	40.0000	44.0000	0.2232	1.0000	0.1573	0.0000	0.0618	0.0041	48.5046	37.5350	19.2439	61.3317	52.1826	37.4257	0.4311	2.7100	0.8108	0.0000	0.0000	0.0000	0.0000	0.0000	0.4972
12	44.0000	48.0000	0.6033	1.0000	0.6033	0.0000	0.0000	0.0000	35.0808	10.2599	8.5569	36.5503	36.1093	9.2519	0.4988	4.2069	1.3117	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
13	48.0000	52.0000	0.3354	2.0000	0.3210	0.0000	0.0001	0.0144	41.9365	4.1482	2.9216	42.1411	42.0381	3.1667	0.4830	2.3557	1.1818	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
14	52.0000	56.0000	0.4029	1.0000	0.3599	0.0000	0.0316	0.0114	40.4746	26.0642	7.9884	48.1408	41.2554	8.2234	0.5027	3.0267	1.5372	0.0000	0.0000	0.0000	0.0000	17.3196	17.3196
15	56.0000	60.0000	0.1624	1.0000	0.1579	0.0000	0.0000	0.0045	43.0642	28.9660	27.6146	51.8995	51.1576	27.8476	0.5032	4.4789	1.6171	0.0000	0.0000	0.0000	0.0000	6.3727	1.0340
16	60.0000	64.0000	0.1578	2.0000	0.1578	0.0000	0.0000	0.0000	67.2537	4.5356	7.2686	67.4065	67.6453	6.2826	0.5033	3.3314	1.4176	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
17	64.0000	68.0000	0.3536	1.0000	0.3281	0.0000	0.0156	0.0098	46.7433	3.9278	7.9304	46.9080	47.4113	7.3721	0.4423	2.7961	0.7286	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
18	68.0000	72.0000	0.3905	0.0000	0.3854	0.0000	0.0000	0.0051	46.9820	7.2323	6.0797	47.5354	47.3738	4.4389	0.4953	5.4449	1.6463	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
19	72.0000	76.0000	0.2022	0.0000	0.1989	0.0000	0.0000	0.0033	63.7978	13.3866	9.6447	65.1871	64.5227	9.1302	0.4489	2.9402	0.9024	0.0000	0.0000	0.0000	0.0000	0.0000	13.0075
20	76.0000	80.0000	0.3703	1.0000	0.1869	0.0000	0.1349	0.0485	38.1172	3.9028	4.6881	38.3165	38.4044	2.5974	0.5024	3.6242	1.3582	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
21	80.0000	84.0000	0.2578	1.0000	0.1533	0.0000	0.0840	0.0205	47.2054	11.1924	9.6836	48.5141	48.1884	9.2081	0.4738	6.2895	0.8364	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
22	84.0000	88.0000	0.1019	0.0000	0.0065	0.0675	0.0000	0.0279	58.3034	13.4276	17.7706	59.8296	60.9514	16.9859	0.4783	5.1832	0.4237	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
23	88.0000	92.0000	0.1475	0.0000	0.1271	0.0000	0.0000	0.0204	73.6314	9.1416	9.6431	74.1967	74.2602	9.2455	0.4262	2.5756	0.8330	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
24	92.0000	96.0000	0.1382	1.0000	0.0741	0.0544	0.0000	0.0098	53.0254	15.9897	12.4690	55.3838	54.4717	15.0827	0.4615	5.1748	1.0914	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
25	96.0000	100.0000	0.1237	0.0000	0.1220	0.0000	0.0000	0.0016	90.3893	75.7010	52.2139	117.9020	104.3863	75.6814	0.4042	1.4850	0.7729	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
26	100.0000	104.0000	0.1027	0.0000	0.0614	0.0000	0.0401	0.0012	57.0142	13.9806	6.9368	58.7033	57.4347	13.2166	0.4902	4.5039	0.5033	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
27	104.0000	108.0000	0.1706	0.0000	0.1574	0.0000	0.0000	0.0131	69.2562	10.7198	21.0075	70.0810	72.3722	19.8528	0.5056	6.6159	1.7764	0.0000	0.0000	0.0000	0.0000	0.1242	0.1242
28	108.0000	112.0000	0.1957	0.0000	0.1942	0.0000	0.0000	0.0016	62.4495	5.2603	4.9525	62.6707	62.6456	1.7729	0.2348	4.7085	1.5172	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
29	112.0000	116.0000	0.0395	0.0000	0.0287	0.0000	0.0000	0.0109	41.0469	29.4182	12.8012	50.5003	42.9968	29.2184	0.4853	2.9060	1.6440	0.0000	0.0000	0.0000	0.0000	0.0000	0.5750
30	116.0000	120.0000	0.1336	0.0000	0.1113	0.0000	0.0000	0.0224	55.8629	16.6893	17.2956	58.3026	58.4791	17.0947	0.4234	2.4583	0.8290	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
31	120.0000	124.0000	0.0595	0.0000	0.0513	0.0000	0.0000	0.0082	78.2994	15.3196	12.6815	79.7840	79.3197	13.8553	0.4981	6.3076	1.6396	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
32	124.0000	128.0000	0.0151	0.0000	0.0204	0.0000	0.0000	-0.0053	115.2666	21.6970	14.3966	117.2908	116.1622	21.4389	0.5401	2.5457	2.0883	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
33	128.0000	132.0000	0.0292	1.0000	0.0024	0.0000	0.0271	-0.0003	93.0162	9.3240	5.8652	93.4824	93.2009	8.8311	0.5048	2.4095	1.6991	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
34	132.0000	136.0000	0.3787	0.0000	0.3328	0.0000	0.0455	0.0004	51.4154	6.0600	10.0001	51.7713	52.3788	9.4002	0.4707	3.0506	1.4526	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
35	136.0000	140.0000	0.0690	0.0000	0.0129	0.0000	0.0530	0.0031	77.4808	8.9610	19.1870	77.9972	79.8211	19.0957	0.4167	1.6155	0.8441	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
36	140.0000	144.0000	0.1739	0.0000	0.1733	0.0000	0.0000	0.0006	72.5649	17.5742	25.1816	74.6627	76.8101	24.0427	0.5059	7.2641	1.7434	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
37	144.0000	148.0000	0.1655	0.0000	0.1652	0.0000	0.0000	0.0003	72.4875	2.4936	5.3680	72.5304	72.6860	4.7536	0.5054	1.7959	1.6545	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
38	148.0000	152.0000	0.0410	0.0000	0.0105	0.0000	0.0300	0.0004	74.6339	13.3533	8.5966	75.8190	75.1273	12.9327	0.5034	2.8089	1.7071	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
39	152.0000	156.0000	0.0561	0.0000	0.0009	0.0000	0.0288	0.0265	70.1802	15.3806	21.8992	71.8458	73.5176	21.6330	0.4489	3.1361	1.2456	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
40	156.0000	160.0000	0.0276	0.0000	0.0276	0.0000	0.0000	0.0000	97.5921	62.4517	51.1058	115.8638	110.1636	62.3296	0.5046	3.3582	1.9263	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
41	160.0000	164.0000	0.0465	0.0000	0.0015	0.0000	0.0299	0.0150	67.2742	13.7618	8.0066	68.6673	67.7490	13.4685	0.5043	2.3489	1.4878	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
42	164.0000	168.0000	0.0214	0.0000	0.0212	0.0000	0.0000	0.0002	48.0251	10.2945	7.6235	49.1161	48.6264	9.8389	0.4356	2.8919	0.7878	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
43	168.0000	172.0000	0.0012	0.0000	0.0012	0.0000	0.0000	0.0000	55.2096	88.8229	43.1707	104.5830	70.0843	88.7994	0.4241	1.7481	0.9689	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
44	172.0000	176.0000	0.0018	1.0000	0.0018	0.0000	0.0000	0.0000	46.0022	2.7416	12.1374	46.0838	47.5765	11.9868	0.4179	1.6201	0.9131	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
45	176.0000	180.0000	0.1995	0.0000	0.1835	0.0000	0.0027	0.0133	81.8436	16.5052	8.9575	83.4913	82.3323	16.3062	0.4947	1.7731	1.7724	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
46	180.0000	184.0000	0.0006	0.0000	0.0006	0.0000	0.0000	0.0000	49.7428	5.1337	10.5484	50.0070	50.8489	9.2149	0.4771	4.9737	1.1786	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
47	184.0000	188.0000	0.0966	0.0000	0.0009	0.0000	0.0955	0.0002	84.9476	6.8827	12.9084	85.2260	85.9228	12.3814	0.4883	3.2211	1.6468	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
