Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	34.1611	21.0000	31.6431	0.3177	0.5057	1.6946	7.1846	4.1487	5.0814	8.2964	8.8000	2.8834	0.4203	2.6765	0.7909	0.0000	0.0000	0.0000	0.0000	0.0624	4.2204
2	-3.0144	-2.8888	30.7754	25.0000	28.0925	0.2314	0.4909	1.9606	7.2591	4.1429	3.3080	8.3582	7.9773	1.6968	0.4169	2.5782	0.7146	0.0000	0.0000	0.0000	0.0000	0.2127	2.7884
3	-2.8888	-2.7632	28.3769	23.0000	25.2138	0.4761	0.6935	1.9934	4.9528	3.2625	3.5293	5.9308	6.0816	0.4295	0.4101	2.5151	0.6655	0.0000	0.0000	0.0000	0.0000	0.0888	2.3312
4	-2.7632	-2.6376	32.1950	25.0000	29.2424	0.2804	0.7599	1.9123	6.1817	3.4514	2.9536	7.0799	6.8511	1.5376	0.4191	2.4889	0.7329	0.0000	0.0000	0.0000	0.0000	0.5862	1.5153
5	-2.6376	-2.5120	29.7729	31.0000	26.8903	0.3778	0.5525	1.9523	5.6511	3.6482	2.7946	6.7264	6.3044	0.4846	0.4143	2.2791	0.7153	0.0000	0.0000	0.0000	0.0000	0.3515	2.6596
6	-2.5120	-2.3864	33.2818	29.0000	30.2133	0.5437	0.9342	1.5905	6.0169	3.6701	3.4169	7.0479	6.9195	1.2662	0.4139	2.7541	0.6959	0.0000	0.0000	0.0000	0.0000	0.4862	2.2280
7	-2.3864	-2.2608	34.4761	28.0000	31.5248	0.4392	0.6135	1.8986	7.7871	5.0434	5.4393	9.2776	9.4987	4.3261	0.4198	2.3019	0.7612	0.0000	0.0000	0.0000	0.0000	0.0301	3.7052
8	-2.2608	-2.1352	27.6749	23.0000	25.0140	0.3503	0.3178	1.9929	5.4728	3.3424	3.0051	6.4128	6.2436	1.3399	0.4185	2.5832	0.7649	0.0000	0.0000	0.0000	0.0000	0.1982	1.3940
9	-2.1352	-2.0096	32.8353	27.0000	30.5714	0.4617	0.1592	1.6431	5.3476	3.9075	3.5030	6.6231	6.3928	2.8175	0.4147	2.3786	0.7230	0.0000	0.0000	0.0000	0.0000	0.0684	0.9880
10	-2.0096	-1.8840	31.7109	23.0000	29.2095	0.4657	0.3590	1.6766	6.0874	2.9190	5.0082	6.7511	7.8828	0.3576	0.4134	2.3813	0.6815	0.0000	0.0000	0.0000	0.0000	0.2196	4.3264
11	-1.8840	-1.7584	31.7536	33.0000	28.9108	0.5427	0.5751	1.7251	5.3112	4.0447	4.8709	6.6760	7.2066	3.1187	0.4174	2.4026	0.7377	0.0000	0.0000	0.0000	0.0000	0.4711	2.6994
12	-1.7584	-1.6328	28.7753	22.0000	25.9759	0.4816	0.4154	1.9025	4.8300	5.1691	3.1859	7.0745	5.7861	1.4837	0.4148	2.5028	0.6710	0.0000	0.0000	0.0000	0.0000	0.3693	4.3344
13	-1.6328	-1.5072	31.5801	19.0000	28.8313	0.4003	0.6590	1.6894	6.4478	5.5627	4.9863	8.5157	8.1509	2.5015	0.4133	2.6483	0.7096	0.0000	0.0000	0.0000	0.0000	1.0221	3.9941
14	-1.5072	-1.3816	31.5055	25.0000	28.7586	0.3932	0.4684	1.8854	5.7847	3.5245	3.9224	6.7739	6.9891	0.1178	0.4154	2.3931	0.7111	0.0000	0.0000	0.0000	0.0000	0.2859	2.9958
15	-1.3816	-1.2560	30.1165	27.0000	27.6131	0.2734	0.4042	1.8259	5.4283	3.8240	3.7376	6.6400	6.5906	2.3556	0.4172	2.7224	0.7178	0.0000	0.0000	0.0000	0.0000	0.0586	1.7196
16	-1.2560	-1.1304	33.2352	23.0000	30.3912	0.3892	0.5826	1.8722	5.9722	3.1936	3.5991	6.7725	6.9729	0.5623	0.4154	2.7319	0.7074	0.0000	0.0000	0.0000	0.0000	0.1886	2.1867
17	-1.1304	-1.0048	29.8000	30.0000	27.2601	0.3374	0.3736	1.8290	7.5510	3.9850	4.2206	8.5381	8.6505	2.7439	0.4139	2.3136	0.7652	0.0000	0.0000	0.0000	0.0000	1.3630	2.6110
18	-1.0048	-0.8792	31.1403	21.0000	28.5077	0.2063	0.5982	1.8280	5.4415	3.8822	3.4811	6.6844	6.4598	2.1091	0.4174	2.4777	0.7172	0.0000	0.0000	0.0000	0.0000	0.1543	1.9481
19	-0.8792	-0.7536	32.4350	24.0000	29.4516	0.4369	0.6911	1.8554	6.1594	5.6151	3.9677	8.3347	7.3268	3.2465	0.4160	2.6044	0.7537	0.0000	0.0000	0.0000	0.0000	0.4568	3.6695
20	-0.7536	-0.6280	30.9958	19.0000	28.4340	0.3647	0.2631	1.9341	4.8657	3.4742	3.0638	5.9787	5.7499	1.3233	0.4153	2.5492	0.7193	0.0000	0.0000	0.0000	0.0000	0.0024	2.1869
