Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-2.5000	-2.4000	3.7217	1.0000	3.4852	0.0516	0.0000	0.1849	13.5368	6.5741	9.6667	15.0487	16.6340	3.1286	0.5061	5.9276	1.4446	0.0000	0.0000	0.0000	0.0000	0.0320	6.7955
2	-2.4000	-2.3000	8.6661	7.0000	8.4027	0.0000	0.0547	0.2087	21.6868	8.6809	27.4102	23.3597	34.9519	7.1282	0.5061	6.5993	1.4665	0.0000	0.0000	0.0000	0.0000	10.1500	23.4846
3	-2.3000	-2.2000	9.2684	6.0000	8.5252	0.0000	0.2384	0.5048	17.2314	13.1268	14.3502	21.6618	22.4243	5.1342	0.5061	6.5968	1.6181	0.0000	0.0000	0.0000	0.0000	0.2833	11.9221
4	-2.2000	-2.1000	9.5041	19.0000	8.7769	0.0588	0.2834	0.3850	9.5371	7.8371	6.6915	12.3441	11.6504	0.4834	0.5061	6.3145	1.5110	0.0000	0.0000	0.0000	0.0000	0.0590	4.3326
5	-2.1000	-2.0000	14.9800	15.0000	14.0061	0.1853	0.0834	0.7052	11.4158	6.6639	6.9457	13.2185	13.3628	0.2515	0.5061	6.4493	1.4980	0.0000	0.0000	0.0000	0.0000	0.0384	2.0365
6	-2.0000	-1.9000	17.5685	22.0000	16.3724	0.1125	0.3176	0.7660	8.9382	4.1177	5.0911	9.8411	10.2864	3.2345	0.5061	2.2330	1.5613	0.0000	0.0000	0.0000	0.0000	2.2253	1.6807
7	-1.9000	-1.8000	21.9481	24.0000	20.4524	0.0431	0.5619	0.8907	7.4981	9.1918	3.6290	11.8622	8.3302	1.2133	0.5061	2.2145	1.6019	0.0000	0.0000	0.0000	0.0000	0.6543	8.7205
8	-1.8000	-1.7000	24.2379	25.0000	22.5192	0.1032	0.3375	1.2780	7.2127	3.6638	4.9670	8.0899	8.7575	3.0343	0.5061	2.2242	1.6147	0.0000	0.0000	0.0000	0.0000	0.7235	2.6703
9	-1.7000	-1.6000	25.2458	23.0000	23.4816	0.2910	0.3872	1.0860	6.8459	4.2909	3.4238	8.0795	7.6543	1.3265	0.5061	2.1802	1.5851	0.0000	0.0000	0.0000	0.0000	0.2837	3.0084
10	-1.6000	-1.5000	8.1609	2.0000	7.5767	0.0660	0.0697	0.4485	9.1355	5.6681	4.8206	10.7510	10.3294	3.2722	0.4690	3.0893	1.6613	0.0000	0.0000	0.0000	0.0000	0.0149	3.4176
11	-1.5000	-1.4000	12.8209	18.0000	11.8814	0.0923	0.2674	0.5799	8.8865	3.9770	3.6440	9.7358	9.6046	2.4047	0.3657	2.9001	0.5864	0.0000	0.0000	0.0000	0.0000	0.0304	1.1057
