Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-2.5000	-2.4000	2.1185	0.0000	1.9288	0.0000	0.1464	0.0434	53.5122	7.6227	13.0607	54.0524	55.0830	8.0741	0.5061	7.1007	1.7187	0.0000	0.0000	0.0000	0.0000	5.0873	5.0873
2	-2.4000	-2.3000	0.4105	0.0000	0.3731	0.0000	0.0000	0.0374	37.4649	10.6139	10.0771	38.9393	38.7965	7.3705	0.5061	7.3923	1.8335	0.0000	0.0000	0.0000	0.0000	0.0000	0.2615
3	-2.3000	-2.2000	1.4599	2.0000	1.2414	0.0000	0.1870	0.0315	21.7896	8.1740	6.6131	23.2723	22.7710	2.3853	0.5061	5.9111	1.6873	0.0000	0.0000	0.0000	0.0000	0.0000	5.2350
4	-2.2000	-2.1000	1.5551	3.0000	1.3370	0.0000	0.1475	0.0707	21.5286	7.5650	10.9625	22.8191	24.1590	7.2823	0.5061	6.3672	1.6292	0.0000	0.0000	0.0000	0.0000	4.8673	0.0171
5	-2.1000	-2.0000	1.5739	2.0000	1.1729	0.0438	0.2484	0.1088	22.5369	7.2191	9.5618	23.6649	24.4814	6.7229	0.5061	6.5940	1.5786	0.0000	0.0000	0.0000	0.0000	0.0000	0.0266
6	-2.0000	-1.9000	1.9878	3.0000	1.5427	0.0000	0.3814	0.0637	18.2660	2.7107	2.8969	18.4661	18.4943	1.0217	0.5061	2.2248	1.4636	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
7	-1.9000	-1.8000	1.8175	3.0000	1.5661	0.0000	0.1741	0.0774	18.0065	7.7241	8.5632	19.5933	19.9390	7.2019	0.5061	2.1262	1.6530	0.0000	0.0000	0.0000	0.0000	0.3777	4.4936
8	-1.8000	-1.7000	1.4686	4.0000	1.2355	0.0000	0.1532	0.0799	20.6292	46.1631	8.1958	50.5628	22.1976	6.0223	0.5061	2.2205	1.6759	0.0000	0.0000	0.0000	0.0000	0.0000	45.8393
9	-1.7000	-1.6000	1.6495	4.0000	1.1769	0.1532	0.2186	0.1008	19.1823	7.4573	7.2068	20.5809	20.4915	6.2701	0.5061	2.1580	1.7126	0.0000	0.0000	0.0000	0.0000	0.6567	3.2574
10	-1.6000	-1.5000	0.6779	1.0000	0.5447	0.0000	0.1234	0.0098	31.9341	11.3204	13.3194	33.8812	34.6005	11.8879	0.3453	5.8042	1.5083	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
11	-1.5000	-1.4000	0.7947	0.0000	0.6941	0.0000	0.0548	0.0458	29.9381	5.5302	6.0121	30.4446	30.5358	3.7390	0.3230	4.6210	0.6306	0.0000	0.0000	0.0000	0.0000	0.5565	0.0095
12	-1.4000	-1.3000	1.9291	5.0000	1.5763	0.0000	0.3069	0.0459	17.6910	8.5208	6.7964	19.6361	18.9516	8.2686	0.3972	1.9401	0.5391	0.0000	0.0000	0.0000	0.0000	0.0000	0.1447
13	-1.3000	-1.2000	1.2608	2.0000	0.8795	0.1154	0.2223	0.0436	24.3565	2.6357	3.1132	24.4987	24.5546	1.6567	0.3972	2.5615	0.4773	0.0000	0.0000	0.0000	0.0000	0.0000	0.0022
14	-1.2000	-1.1000	1.2878	3.0000	0.6342	0.1065	0.4554	0.0917	20.9600	2.6897	5.3366	21.1319	21.6287	4.3823	0.3972	2.1489	0.4925	0.0000	0.0000	0.0000	0.0000	0.0000	2.0631
15	-1.1000	-1.0000	0.9197	1.0000	0.4555	0.0916	0.2736	0.0991	24.3678	13.7948	9.1302	28.0016	26.0221	13.6629	0.3972	1.7714	0.5720	0.0000	0.0000	0.0000	0.0000	0.0000	0.0659
16	-1.0000	-0.9000	1.7086	0.0000	1.2809	0.0593	0.3187	0.0497	35.1750	5.1712	2.3213	35.5530	35.2515	4.7179	0.3972	1.9950	0.5869	0.0000	0.0000	0.0000	0.0000	0.9519	0.0189
17	-0.9000	-0.8000	0.6878	0.0000	0.5357	0.0120	0.0678	0.0723	30.0472	8.7858	8.8883	31.3053	31.3343	8.4841	0.3972	2.5572	0.5701	0.0000	0.0000	0.0000	0.0000	0.0000	0.0948
18	-0.8000	-0.7000	0.7518	2.0000	0.2946	0.0938	0.3450	0.0184	27.4424	3.4841	5.9910	27.6626	28.0887	5.5758	0.3972	2.1085	0.4458	0.0000	0.0000	0.0000	0.0000	0.0000	0.0114
19	-0.7000	-0.6000	0.7123	0.0000	0.4694	0.0142	0.2167	0.0120	31.9151	2.2864	3.5970	31.9969	32.1171	2.9574	0.3972	1.9726	0.3786	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
20	-0.6000	-0.5000	0.5856	1.0000	0.2121	0.0440	0.3086	0.0209	31.7230	3.5010	7.4882	31.9156	32.5948	7.1908	0.3972	2.0096	0.4130	0.0000	0.0000	0.0000	0.0000	0.0033	0.0033
21	-0.5000	-0.4000	0.5429	1.0000	0.1995	0.0509	0.2719	0.0206	33.0821	4.7520	5.6921	33.4216	33.5682	5.1005	0.3972	2.4417	0.5155	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
22	-0.4000	-0.3000	1.1477	1.0000	0.8822	0.1049	0.1247	0.0359	62.0875	13.6061	11.1727	63.5608	63.0847	13.4616	0.3972	1.8577	0.5495	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
23	-0.3000	-0.2000	0.1984	1.0000	0.1709	0.0000	0.0206	0.0068	51.8037	20.4434	15.8532	55.6916	54.1751	20.2688	0.3972	2.5825	0.5290	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
24	-0.2000	-0.1000	0.3637	3.0000	0.2040	0.0000	0.1050	0.0547	34.9408	5.6092	5.9619	35.3882	35.4458	4.7209	0.3972	3.5991	0.3826	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
25	-0.1000	0.0000	0.3139	1.0000	0.2199	0.1260	-0.0288	-0.0032	49.3251	12.0106	10.1157	50.7663	50.3517	11.0398	0.3972	4.7055	0.2786	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
26	0.0000	0.1000	0.3255	0.0000	0.1131	0.0000	0.2081	0.0042	36.8909	4.1401	5.7925	37.1225	37.3429	5.2918	0.3972	2.2772	0.4535	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
27	0.1000	0.2000	0.5262	2.0000	0.1855	0.0513	0.2770	0.0124	35.7902	4.7817	1.5968	36.1082	35.8258	4.5063	0.3972	1.4773	0.4576	0.0000	0.0000	0.0000	0.0000	0.0000	0.0872
28	0.2000	0.3000	0.3419	1.0000	0.2222	0.0000	0.1186	0.0011	36.8001	5.3218	8.9236	37.1829	37.8666	8.7445	0.3972	1.6686	0.4715	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
29	0.3000	0.4000	0.2549	0.0000	0.0487	0.0465	0.1000	0.0598	35.1078	1.5068	5.9266	35.1401	35.6045	5.7221	0.3972	1.3108	0.6281	0.0000	0.0000	0.0000	0.0000	0.0000	0.3341
30	0.4000	0.5000	1.1307	1.0000	0.7932	0.0681	0.2624	0.0070	50.5107	12.8685	5.2485	52.1242	50.7827	12.1255	0.3972	1.4091	0.6126	0.0000	0.0000	0.0000	0.0000	0.0000	4.0066
31	0.5000	0.6000	0.2705	0.0000	0.1625	0.0172	0.0657	0.0250	35.3420	3.6226	2.0508	35.5272	35.4014	3.0551	0.3972	1.7991	0.3537	0.0000	0.0000	0.0000	0.0000	0.0000	0.5199
32	0.6000	0.7000	0.9149	0.0000	0.6658	0.0271	0.1739	0.0481	29.9575	2.1394	3.9696	30.0338	30.2194	3.4815	0.3972	1.8177	0.4181	0.0000	0.0000	0.0000	0.0000	0.0000	0.0086
33	0.7000	0.8000	0.5648	1.0000	0.3366	0.0224	0.1622	0.0436	34.7768	6.9195	5.7476	35.4585	35.2486	6.7143	0.3972	1.5106	0.5981	0.0000	0.0000	0.0000	0.0000	0.0043	0.0043
34	0.8000	0.9000	0.9883	0.0000	0.6232	0.0000	0.2767	0.0884	25.5106	1.8678	3.1573	25.5789	25.7052	2.5588	0.3972	1.7226	0.5413	0.0000	0.0000	0.0000	0.0000	0.0000	0.2659
35	0.9000	1.0000	2.0547	1.0000	1.8256	0.0000	0.1876	0.0415	59.3063	10.9868	21.7616	60.3154	63.1728	21.7094	0.3972	1.3035	0.6421	0.0000	0.0000	0.0000	0.0000	0.0175	0.0014
36	1.0000	1.1000	0.8572	1.0000	0.4723	0.0206	0.3262	0.0381	25.0803	4.6221	5.5630	25.5026	25.6898	4.5129	0.3972	3.0434	0.5412	0.0000	0.0000	0.0000	0.0000	0.6586	0.6586
37	1.1000	1.2000	1.0972	1.0000	0.6975	0.0279	0.2640	0.1078	22.2558	8.3062	3.9502	23.7553	22.6036	7.3053	0.3972	3.8831	0.6048	0.0000	0.0000	0.0000	0.0000	0.0169	0.1510
38	1.2000	1.3000	1.3249	2.0000	1.0996	0.0000	0.2000	0.0252	21.0668	3.3872	3.9640	21.3374	21.4365	2.6536	0.3972	2.8755	0.4851	0.0000	0.0000	0.0000	0.0000	0.0000	0.0987
39	1.3000	1.4000	1.0956	3.0000	0.7021	0.0352	0.2467	0.1116	21.4573	5.5369	5.1569	22.1602	22.0683	4.3404	0.3972	3.3906	0.4056	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
40	1.4000	1.5000	0.9137	4.0000	0.7250	0.0063	0.1370	0.0453	26.8680	9.1937	9.9078	28.3974	28.6366	9.2492	0.3606	3.4882	0.5658	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
41	1.5000	1.6000	0.3474	1.0000	0.2478	0.0165	0.0649	0.0181	31.3840	4.4782	6.5888	31.7019	32.0682	4.9997	0.4406	3.8754	1.7883	0.0000	0.0000	0.0000	0.0000	0.1578	0.2298
42	1.6000	1.7000	1.8067	6.0000	1.3740	0.0372	0.2994	0.0961	18.4061	3.1799	4.1540	18.6788	18.8691	2.6786	0.5061	2.6936	1.6029	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
43	1.7000	1.8000	1.6691	3.0000	1.3827	0.0289	0.2442	0.0133	20.9324	6.2936	5.6415	21.8580	21.6793	5.2400	0.5061	2.9953	1.7100	0.0000	0.0000	0.0000	0.0000	0.0000	0.6496
44	1.8000	1.9000	1.1715	0.0000	0.9638	0.0000	0.1428	0.0649	20.8469	4.2114	3.2583	21.2680	21.1000	2.6954	0.5061	2.7720	1.5866	0.0000	0.0000	0.0000	0.0000	0.0000	0.3987
45	1.9000	2.0000	1.7972	2.0000	1.3141	0.0461	0.3837	0.0533	17.7985	3.2467	3.2510	18.0922	18.0929	0.1755	0.5061	2.8154	1.5349	0.0000	0.0000	0.0000	0.0000	0.0000	0.0527
46	2.0000	2.1000	1.3205	0.0000	1.1551	0.0000	0.0993	0.0661	21.7462	7.2937	8.1884	22.9368	23.2368	4.1799	0.5061	6.8447	1.5725	0.0000	0.0000	0.0000	0.0000	0.0000	0.0453
47	2.1000	2.2000	0.7781	3.0000	0.7472	0.0000	0.0000	0.0309	29.6494	14.2745	10.1560	32.9066	31.3405	11.9662	0.5061	7.6297	1.4501	0.0000	0.0000	0.0000	0.0000	0.0000	0.1215
48	2.2000	2.3000	0.9398	2.0000	0.8395	0.0330	0.0308	0.0365	26.8477	9.3176	9.3662	28.4186	28.4346	3.9154	0.5061	8.3392	1.6113	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
49	2.3000	2.4000	1.7225	1.0000	1.5072	0.0000	0.1519	0.0634	30.3646	8.4483	9.0655	31.5179	31.6890	4.0397	0.5061	7.9500	1.5513	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
50	2.4000	2.5000	0.5051	3.0000	0.3645	0.0000	0.1211	0.0195	35.1620	10.2647	9.7004	36.6297	36.4755	6.9394	0.5061	7.3403	1.7529	0.0000	0.0000	0.0000	0.0000	0.0000	0.1836
