Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	0.4576	1.0000	0.3421	0.0000	0.1172	-0.0017	39.1678	8.4708	17.0438	40.0733	42.7154	9.7680	0.4581	3.1432	1.3664	0.0000	0.0000	0.0000	0.0000	0.0000	13.5322
2	-3.0144	-2.8888	0.3304	1.0000	0.2079	0.0000	0.0868	0.0357	47.7997	6.9576	8.2593	48.3035	48.5081	7.4284	0.4868	3.1789	1.6407	0.0000	0.0000	0.0000	0.0000	0.0000	0.3806
3	-2.8888	-2.7632	0.1157	0.0000	0.0087	0.0000	0.0879	0.0192	85.1423	19.6643	17.5449	87.3836	86.9312	19.5864	0.4451	1.4989	0.7815	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
4	-2.7632	-2.6376	0.0990	0.0000	0.0129	0.0000	0.0256	0.0605	43.1329	10.5996	16.9924	44.4162	46.3594	16.7828	0.4248	2.4771	0.8731	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
5	-2.6376	-2.5120	0.1648	1.0000	0.0237	0.0070	0.1267	0.0075	38.9720	13.4566	10.0731	41.2298	40.2528	13.1843	0.4090	2.6063	0.4422	0.0000	0.0000	0.0000	0.0000	0.3287	0.3287
6	-2.5120	-2.3864	0.3793	1.0000	0.2376	0.0000	0.1215	0.0201	39.3162	7.9514	6.3185	40.1122	39.8207	7.0489	0.4345	3.4995	1.0506	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
7	-2.3864	-2.2608	0.2889	0.0000	0.1551	0.0559	0.0741	0.0037	50.1892	6.8349	5.8260	50.6524	50.5262	6.3516	0.4371	2.4088	0.6163	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
8	-2.2608	-2.1352	0.2034	0.0000	0.0109	0.0279	0.1176	0.0471	42.7015	6.6018	8.8049	43.2089	43.5999	8.6578	0.4019	1.3769	0.7150	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
9	-2.1352	-2.0096	0.4237	1.0000	0.0182	0.0923	0.3089	0.0042	39.7292	4.3783	8.2452	39.9697	40.5758	7.9975	0.4212	1.8285	0.7090	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
10	-2.0096	-1.8840	0.3369	0.0000	0.1852	0.0000	0.1438	0.0080	49.1141	4.5975	2.9104	49.3288	49.2003	3.6331	0.4076	2.7150	0.6322	0.0000	0.0000	0.0000	0.0000	0.0000	0.4095
11	-1.8840	-1.7584	0.4598	0.0000	0.2008	0.0000	0.2511	0.0078	41.7649	12.8718	14.4227	43.7034	44.1850	14.1261	0.4235	2.7566	0.8303	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
12	-1.7584	-1.6328	0.3478	1.0000	0.1468	0.0000	0.1826	0.0184	38.7440	13.9514	15.8004	41.1793	41.8420	15.6082	0.4418	2.2214	0.9529	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
13	-1.6328	-1.5072	0.2445	1.0000	0.0075	0.0090	0.2053	0.0227	40.5944	3.9625	3.0029	40.7873	40.7053	2.8664	0.3981	2.6757	0.4093	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
14	-1.5072	-1.3816	0.3655	0.0000	0.1966	0.0000	0.1470	0.0219	41.7033	11.5988	10.6722	43.2862	43.0472	11.1555	0.4301	3.0650	0.7132	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
15	-1.3816	-1.2560	0.4551	1.0000	0.1173	0.1487	0.1498	0.0393	31.9629	5.5477	9.6908	32.4408	33.3997	9.1961	0.3577	2.9658	0.6475	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
16	-1.2560	-1.1304	0.1481	0.0000	0.0055	0.0000	0.1616	-0.0190	71.9443	6.4317	8.3684	72.2312	72.4293	6.4513	0.5017	5.0202	1.7196	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000
17	-1.1304	-1.0048	0.6723	0.0000	0.2308	0.0733	0.3181	0.0501	29.7693	6.3145	4.6855	30.4316	30.1358	5.4254	0.4701	2.9567	1.2143	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
18	-1.0048	-0.8792	0.2291	0.0000	0.0123	0.0000	0.1843	0.0325	49.5038	4.6421	3.0332	49.7210	49.5967	3.6630	0.4102	2.7712	0.5330	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
19	-0.8792	-0.7536	0.2223	0.0000	0.1288	0.0000	0.0600	0.0335	42.4468	14.9647	7.5322	45.0074	43.1099	6.4622	0.4553	2.1101	0.9495	0.0000	0.0000	0.0000	0.0000	4.3354	13.2898
20	-0.7536	-0.6280	0.4497	0.0000	0.2106	0.0000	0.2078	0.0314	47.8551	7.7643	11.6433	48.4809	49.2512	11.3881	0.4124	2.2709	0.7274	0.0000	0.0000	0.0000	0.0000	0.0000	0.1431
21	-0.6280	-0.5024	0.2975	0.0000	0.1353	0.0157	0.1359	0.0105	42.4049	3.5915	2.6757	42.5567	42.4892	2.8080	0.4219	2.0034	0.9069	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
22	-0.5024	-0.3768	0.2798	0.0000	0.0100	0.0710	0.1600	0.0388	51.1044	14.0690	10.0902	53.0056	52.0910	13.6479	0.4476	3.2345	1.0047	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
23	-0.3768	-0.2512	0.4777	1.0000	0.0679	0.0000	0.3347	0.0751	33.2038	4.1219	3.7896	33.4586	33.4193	2.4219	0.4270	3.2089	0.8032	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
24	-0.2512	-0.1256	0.4569	0.0000	0.1479	0.0121	0.2419	0.0550	39.5333	2.5838	7.5111	39.6177	40.2405	7.0731	0.4193	2.3545	0.8174	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
25	-0.1256	0.0000	0.9408	1.0000	0.7354	0.0234	0.1493	0.0327	67.5850	21.5271	15.8963	70.9306	69.4293	21.4017	0.4775	2.2569	0.2445	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
26	0.0000	0.1256	0.2081	0.0000	0.0437	0.0231	0.0811	0.0602	31.0571	16.7176	15.7487	35.2707	34.8220	16.5591	0.4153	2.1864	0.5682	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
27	0.1256	0.2512	0.2034	1.0000	0.0254	0.0000	0.1366	0.0414	36.3010	7.2795	6.7873	37.0237	36.9301	7.0210	0.4513	1.5861	0.9888	0.0000	0.0000	0.0000	0.0000	0.0000	1.9283
28	0.2512	0.3768	0.3077	0.0000	0.1145	0.0243	0.1428	0.0261	37.7464	10.0639	12.4075	39.0649	39.7333	11.5105	0.4788	4.3635	1.4781	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
29	0.3768	0.5024	0.2345	0.0000	0.0119	-0.0313	0.2531	0.0008	51.0663	6.9911	6.6527	51.5426	51.4978	6.6938	0.4003	1.9335	0.4132	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
30	0.5024	0.6280	0.2340	2.0000	0.0800	0.0484	0.0776	0.0280	38.1653	17.1886	12.5633	41.8574	40.1800	16.8991	0.4615	2.9522	0.9701	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
31	0.6280	0.7536	0.1370	0.0000	0.0670	0.0000	0.0530	0.0171	37.5192	16.3160	10.4406	40.9133	38.9448	16.1357	0.4473	2.0929	1.1273	0.0000	0.0000	0.0000	0.0000	0.0000	0.1606
32	0.7536	0.8792	0.1299	0.0000	0.0830	0.0000	0.0432	0.0038	50.0607	18.6092	5.8638	53.4076	50.4030	16.7536	0.4120	1.7596	0.7880	0.0000	0.0000	0.0000	0.0000	0.0000	7.8571
33	0.8792	1.0048	0.1375	0.0000	0.0626	-0.0187	0.0434	0.0503	76.6827	3.4132	10.7229	76.7586	77.4287	10.6321	0.3805	1.2475	0.4881	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
34	1.0048	1.1304	0.5178	0.0000	0.1502	0.0421	0.3213	0.0042	32.0828	4.3721	4.7376	32.3794	32.4308	2.6123	0.4568	3.7736	1.0828	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
35	1.1304	1.2560	0.6438	0.0000	0.1385	0.2104	0.2568	0.0380	30.1982	2.5613	4.2893	30.3066	30.5013	3.4406	0.4545	2.2618	1.1126	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
36	1.2560	1.3816	0.4775	2.0000	0.0842	0.0440	0.3002	0.0491	33.0933	2.5464	6.1160	33.1911	33.6537	5.5631	0.4088	2.4158	0.6733	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
37	1.3816	1.5072	0.6862	1.0000	0.0648	0.1009	0.4921	0.0283	55.0005	5.8762	5.3801	55.3135	55.2630	5.0319	0.4560	2.7111	1.2851	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
38	1.5072	1.6328	0.2779	1.0000	0.1609	0.0000	0.1083	0.0088	45.0587	2.5894	5.1367	45.1331	45.3506	4.4363	0.4423	2.4771	0.6110	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
39	1.6328	1.7584	0.1484	1.0000	0.0493	0.0000	0.0769	0.0221	45.1876	26.2749	21.7106	52.2713	50.1325	26.0804	0.4470	2.9405	1.1550	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
40	1.7584	1.8840	0.4850	0.0000	0.1533	0.0900	0.1900	0.0517	35.5953	5.9175	3.9815	36.0838	35.8173	3.5323	0.4141	1.5523	0.8912	0.0000	0.0000	0.0000	0.0000	3.9776	3.9776
41	1.8840	2.0096	0.4518	0.0000	0.2946	0.0000	0.1524	0.0048	42.3073	2.1154	17.2844	42.3602	45.7019	2.0952	0.4146	1.9181	0.7898	0.0000	0.0000	0.0000	0.0000	12.0392	12.0392
42	2.0096	2.1352	0.3083	0.0000	0.0067	0.0000	0.2868	0.0148	43.3499	2.5004	7.6890	43.4220	44.0266	7.3508	0.4221	2.1203	0.6423	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
43	2.1352	2.2608	0.5129	0.0000	0.1648	0.0066	0.3373	0.0042	32.8326	6.6400	5.0724	33.4973	33.2221	5.1419	0.4395	4.0601	0.9863	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
44	2.2608	2.3864	0.3625	0.0000	0.2200	0.0000	0.0919	0.0506	50.4406	8.1871	8.6023	51.1008	51.1689	7.5035	0.4886	3.4647	1.3206	0.0000	0.0000	0.0000	0.0000	1.3619	1.3619
45	2.3864	2.5120	0.4536	0.0000	0.1463	0.0739	0.1658	0.0677	35.9381	2.1647	3.9070	36.0033	36.1499	0.7061	0.4555	1.5518	1.2536	0.0000	0.0000	0.0000	0.0000	0.0000	3.3269
46	2.5120	2.6376	0.1665	0.0000	0.0227	0.0533	0.0368	0.0536	42.7002	3.8311	7.2887	42.8718	43.3178	7.0636	0.4138	1.5463	0.8178	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
47	2.6376	2.7632	0.3381	1.0000	0.1946	0.0000	0.1312	0.0123	44.4282	25.0044	4.6285	50.9812	44.6686	4.8093	0.4641	3.1454	1.3317	0.0000	0.0000	0.0000	0.0000	0.0000	24.2942
48	2.7632	2.8888	0.4570	1.0000	0.0604	0.0000	0.3912	0.0054	36.4988	4.4712	5.8109	36.7716	36.9585	4.8597	0.4207	3.1328	0.3984	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
49	2.8888	3.0144	0.3528	0.0000	0.1817	0.0000	0.1749	-0.0038	41.7128	7.4138	10.7763	42.3665	43.0823	10.4620	0.4410	2.4876	0.5421	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
50	3.0144	3.1400	0.4642	2.0000	0.2047	0.0344	0.1983	0.0268	32.3889	4.7070	5.5296	32.7291	32.8575	4.8250	0.4286	2.5889	0.6399	0.0000	0.0000	0.0000	0.0000	0.0000	0.0861
