Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
11	40.0000	44.0000	162.4454	160.0000	150.8788	3.4990	3.9487	4.1188	3.2185	3.1065	1.7806	4.4731	3.6782	0.4701	0.0002	0.0000	0.0000	0.3103	0.0000	1.0717	0.3031	0.0336	2.8445
12	44.0000	48.0000	156.5682	136.0000	144.8034	3.6517	3.8773	4.2358	3.4431	2.5973	2.3314	4.3129	4.1582	1.3562	0.0003	0.0000	0.0000	0.3218	0.0000	1.0518	0.3122	0.1222	1.8933
13	48.0000	52.0000	142.9843	141.0000	131.7739	4.0920	3.1666	3.9517	2.9940	3.1945	3.1744	4.3782	4.3636	0.0678	0.0000	0.0000	0.0000	0.3291	0.0000	1.0725	0.3143	0.2726	2.9744
14	52.0000	56.0000	132.8566	121.0000	122.6847	2.4690	3.9280	3.7750	3.3759	2.8389	3.8196	4.4109	5.0977	1.0840	0.0000	0.0000	0.0000	0.3260	0.0000	1.0696	0.3215	0.0476	3.5789
15	56.0000	60.0000	131.2257	129.0000	120.5810	3.8919	3.5749	3.1779	3.4821	2.9439	3.1086	4.5598	4.6678	0.9159	0.0000	0.0000	0.0000	0.3192	0.0000	1.0504	0.3083	0.1950	2.8623
16	60.0000	64.0000	115.3212	107.0000	103.6505	4.3841	3.2695	4.0171	3.1507	3.6042	3.9938	4.7872	5.0870	1.4744	0.0002	0.0000	0.0000	0.3281	0.0000	1.0816	0.3241	0.2080	3.5159
17	64.0000	68.0000	108.6037	103.0000	98.7437	2.8940	3.7008	3.2652	3.2038	3.6189	3.6583	4.8333	4.8629	0.7838	0.0000	0.0000	0.0000	0.3577	0.0000	1.1333	0.3412	0.0707	3.4441
18	68.0000	72.0000	104.9477	90.0000	93.4265	2.8117	5.1537	3.5559	3.4311	3.6308	3.4297	4.9955	4.8513	0.7798	0.0000	0.0000	0.0000	0.3160	0.0000	1.0640	0.3154	0.1282	3.3531
19	72.0000	76.0000	92.9992	72.0000	79.9241	3.3128	5.4827	4.2796	3.4427	4.6416	3.5616	5.7790	4.9535	1.7491	0.0002	0.0000	0.0000	0.3217	0.0000	1.1039	0.3128	0.2800	4.2372
20	76.0000	80.0000	86.6659	71.0000	70.2141	3.2243	8.0200	5.2076	3.3667	5.5860	3.6550	6.5221	4.9693	1.6658	0.0002	0.0000	0.0000	0.3674	0.0000	1.1166	0.3485	0.3138	5.1828
21	80.0000	84.0000	87.6423	62.0000	68.3282	4.6681	9.2410	5.4051	4.0049	4.7367	5.5196	6.2029	6.8195	1.5284	0.0000	0.0000	0.0000	0.3269	0.0000	1.0814	0.3134	0.4100	5.1574
22	84.0000	88.0000	73.7609	68.0000	55.1525	3.0351	8.9367	6.6365	3.8450	4.0187	4.0963	5.5618	5.6182	0.9231	0.0002	0.0000	0.0000	0.3886	0.0000	1.1827	0.3756	0.6563	3.7550
23	88.0000	92.0000	71.6028	58.0000	52.6986	3.0446	8.4565	7.4030	3.9024	3.1763	2.9093	5.0317	4.8675	0.8895	0.0000	0.0000	0.0000	0.3799	0.0000	1.1905	0.3683	0.0928	2.8152
24	92.0000	96.0000	62.1313	49.0000	44.0449	2.9811	7.7450	7.3602	3.9351	2.5879	2.4713	4.7098	4.6468	0.4465	0.0006	0.0000	0.0000	0.3982	0.0000	1.2028	0.3856	0.5051	2.2233
25	96.0000	100.0000	60.7638	43.0000	43.4999	2.5790	6.9679	7.7170	4.1094	4.0119	4.9680	5.7430	6.4473	1.9988	0.0001	0.0000	0.0000	0.4219	0.0000	1.1994	0.4002	0.1766	4.3501
26	100.0000	104.0000	49.1527	33.0000	35.5123	2.0449	6.2332	5.3624	3.8138	2.7835	2.1331	4.7215	4.3698	1.3058	0.0005	0.0000	0.0000	0.3551	0.0000	1.1571	0.3502	0.2233	2.2574
27	104.0000	108.0000	47.3402	30.0000	34.9481	2.2407	6.2143	3.9370	3.8986	1.9018	1.8849	4.3377	4.3304	0.5995	0.0004	0.0000	0.0000	0.4600	0.0000	1.3356	0.4406	0.1419	1.1946
28	108.0000	112.0000	42.6426	41.0000	31.4843	1.6464	5.8903	3.6217	3.6263	2.0354	1.5762	4.1584	3.9540	0.2098	0.0001	0.0000	0.0000	0.3981	0.0000	1.2300	0.3843	0.0129	1.5098
29	112.0000	116.0000	40.2389	38.0000	30.1150	1.8797	5.7739	2.4703	3.8467	1.7131	1.6105	4.2110	4.1702	0.7655	0.0000	0.0000	0.0000	0.3985	0.0000	1.2506	0.3898	0.3461	0.6878
30	116.0000	120.0000	37.2433	27.0000	28.2013	1.8186	4.8804	2.3431	4.0143	1.8869	1.9595	4.4357	4.4671	1.3462	0.0015	0.0000	0.0000	0.3681	0.0000	1.1655	0.3613	0.1144	0.8197
31	120.0000	124.0000	34.8342	22.0000	25.9350	1.6667	5.5633	1.6691	4.2492	1.4843	1.7704	4.5010	4.6033	0.2368	0.0000	0.0000	0.0000	0.4075	0.0000	1.2894	0.4013	0.2096	1.0334
32	124.0000	128.0000	34.4664	31.0000	25.3464	2.1928	5.3261	1.6012	5.1973	2.6302	1.7947	5.8249	5.4985	2.0874	0.0016	0.0000	0.0000	0.4018	0.0000	1.2681	0.3914	0.1393	0.7987
33	128.0000	132.0000	29.2195	25.0000	21.7467	1.3567	4.9502	1.1659	4.6502	2.0382	1.9770	5.0772	5.0530	1.6307	0.0003	0.0000	0.0000	0.3351	0.0000	1.1066	0.3286	0.0138	0.4911
34	132.0000	136.0000	27.3715	28.0000	19.9801	1.0567	5.0251	1.3096	4.5930	1.6823	1.8845	4.8914	4.9646	1.1742	0.0002	0.0000	0.0000	0.4311	0.0000	1.2405	0.4145	0.0569	0.5371
35	136.0000	140.0000	27.9522	33.0000	19.6156	1.2971	5.7036	1.3360	4.3508	3.1049	1.7941	5.3451	4.7062	0.8874	0.0017	0.0000	0.0000	0.5012	0.0000	1.3410	0.4695	0.3963	2.6857
36	140.0000	144.0000	25.0714	32.0000	18.6437	1.3923	3.8471	1.1883	4.6078	1.4904	1.7781	4.8428	4.9390	1.1190	0.0008	0.0000	0.0000	0.4095	0.0000	1.2630	0.3982	0.0233	0.1058
37	144.0000	148.0000	24.8876	24.0000	17.6111	1.7025	4.4881	1.0860	4.7112	1.8248	2.1296	5.0522	5.1701	1.5391	0.0009	0.0000	0.0000	0.4588	0.0000	1.3212	0.4433	0.0328	0.5421
38	148.0000	152.0000	21.9259	31.0000	15.5802	1.0261	4.2049	1.1146	4.9248	1.5574	1.5703	5.1651	5.1690	0.6490	0.0020	0.0000	0.0000	0.4524	0.0000	1.2883	0.4419	0.0011	0.5279
39	152.0000	156.0000	21.8721	20.0000	15.0042	1.3076	4.6084	0.9519	4.9878	2.2478	1.6604	5.4709	5.2569	1.6608	0.0004	0.0000	0.0000	0.4700	0.0000	1.3392	0.4507	0.0960	0.2766
40	156.0000	160.0000	23.7627	21.0000	16.1855	0.9357	5.6229	1.0187	4.8713	2.1901	2.1510	5.3410	5.3251	1.6358	0.0000	0.0000	0.0000	0.4628	0.0000	1.2904	0.4318	0.0307	0.2344
41	160.0000	164.0000	21.9522	14.0000	14.1477	0.7498	6.0213	1.0334	4.7568	3.1938	2.6554	5.7296	5.4478	2.5145	0.0000	0.0000	0.0000	0.3969	0.0000	1.1986	0.3908	0.0071	1.4598
42	164.0000	168.0000	22.1791	19.0000	13.2772	1.0681	6.9008	0.9329	4.9107	2.1712	2.2670	5.3693	5.4088	1.8605	0.0008	0.0000	0.0000	0.3781	0.0000	1.1868	0.3751	0.2025	0.3635
43	168.0000	172.0000	22.7541	15.0000	13.2440	0.8329	7.5282	1.1489	4.8658	2.5504	3.0996	5.4937	5.7692	2.7150	0.0000	0.0000	0.0000	0.4821	0.0000	1.3422	0.4678	0.0200	0.4190
44	172.0000	176.0000	21.1491	16.0000	12.2485	0.4464	7.5411	0.9131	5.1105	1.8069	1.3051	5.4206	5.2746	1.3298	0.0000	0.0000	0.0000	0.3481	0.0000	1.1197	0.3475	0.0186	0.0245
45	176.0000	180.0000	22.0830	12.0000	12.2535	0.7556	8.2449	0.8290	4.9515	1.8798	3.0667	5.2963	5.8242	2.7232	0.0010	0.0000	0.0000	0.4294	0.0000	1.2807	0.4251	0.0018	0.0352
46	180.0000	184.0000	19.5121	16.0000	9.4856	1.0732	7.7798	1.1735	5.1303	1.5234	1.7438	5.3517	5.4186	1.1625	0.0011	0.0000	0.0000	0.3610	0.0000	1.0987	0.3585	0.3361	0.3481
47	184.0000	188.0000	21.1087	14.0000	11.7647	0.8909	7.7801	0.6730	5.1921	1.3195	1.7725	5.3572	5.4863	1.2077	0.0000	0.0000	0.0000	0.3877	0.0000	1.1815	0.3871	0.0010	0.0126
48	188.0000	192.0000	18.2345	9.0000	9.6276	0.6947	7.1199	0.7923	5.3505	1.5576	2.2628	5.5726	5.8093	1.7767	0.0000	0.0000	0.0000	0.4717	0.0000	1.2418	0.4616	0.0051	0.0652
49	192.0000	196.0000	13.1966	7.0000	8.0153	0.4590	4.0549	0.6674	6.1572	1.5782	1.5106	6.3563	6.3398	0.5058	0.0000	0.0000	0.0000	0.4764	0.0000	1.3362	0.4604	0.1016	0.0144
50	196.0000	200.0000	138.7684	92.0000	96.4394	10.2620	25.6711	6.3958	1.7287	1.8991	2.0263	2.5681	2.6636	0.9573	0.0000	0.0000	0.0000	0.6361	0.0000	1.5623	0.5996	0.0563	0.1267
