Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	49.6730	57.0000	40.2522	1.2660	5.5320	2.6227	4.7615	3.0779	2.6265	5.6697	5.4379	1.4721	0.0002	0.0000	0.0000	0.3936	0.0000	1.1842	0.3766	0.2613	2.3641
2	-3.0144	-2.8888	47.0657	51.0000	38.5091	1.6654	4.6910	2.2002	4.3645	5.8628	3.6503	7.3090	5.6898	1.8808	0.0000	0.0000	0.0000	0.3833	0.0000	1.1746	0.3719	0.0516	5.4009
3	-2.8888	-2.7632	51.7666	44.0000	42.1827	1.6561	5.6120	2.3157	5.0882	2.4275	3.3994	5.6377	6.1193	0.3312	0.0009	0.0000	0.0000	0.3797	0.0000	1.1491	0.3583	0.1541	3.1372
4	-2.7632	-2.6376	46.7734	39.0000	37.1238	2.0489	5.0651	2.5356	3.7923	2.6332	3.0091	4.6169	4.8411	1.1342	0.0000	0.0000	0.0000	0.3695	0.0000	1.1415	0.3614	0.1512	2.6516
5	-2.6376	-2.5120	44.7262	47.0000	36.2488	1.5221	4.7040	2.2513	4.9771	2.3868	2.6211	5.5199	5.6251	1.0670	0.0000	0.0000	0.0000	0.3865	0.0000	1.1655	0.3747	0.3226	2.0138
6	-2.5120	-2.3864	46.0689	34.0000	37.5388	1.7700	4.7866	1.9735	4.8108	4.2408	3.6097	6.4132	6.0145	2.6495	0.0000	0.0000	0.0000	0.3662	0.0000	1.1474	0.3545	0.2395	3.0547
7	-2.3864	-2.2608	48.5170	44.0000	39.5554	1.7966	4.9460	2.2191	5.3617	4.0715	4.2715	6.7323	6.8551	3.1968	0.0002	0.0000	0.0000	0.3842	0.0000	1.1686	0.3717	0.4481	2.9998
8	-2.2608	-2.1352	48.6280	35.0000	37.9296	3.3286	5.2491	2.1207	5.3015	2.7677	2.3566	5.9805	5.8017	1.2527	0.0010	0.0000	0.0000	0.3989	0.0000	1.2107	0.3841	0.2883	2.0580
9	-2.1352	-2.0096	50.4384	45.0000	40.3758	1.4530	5.7683	2.8414	4.9048	2.5611	2.2898	5.5332	5.4130	0.7353	0.0000	0.0000	0.0000	0.3599	0.0000	1.1393	0.3419	0.2042	2.2134
10	-2.0096	-1.8840	50.1712	36.0000	40.2953	2.0005	5.3834	2.4920	5.1116	3.4240	2.9993	6.1524	5.9265	0.6911	0.0004	0.0000	0.0000	0.3699	0.0000	1.1652	0.3535	0.0833	3.1726
11	-1.8840	-1.7584	47.3293	55.0000	38.2809	1.5057	4.9098	2.6329	4.4751	2.7184	2.6504	5.2361	5.2011	1.9586	0.0002	0.0000	0.0000	0.3737	0.0000	1.1559	0.3591	0.1071	1.5748
12	-1.7584	-1.6328	50.7692	45.0000	40.9051	1.7950	5.7788	2.2903	5.1802	3.4423	2.7861	6.2196	5.8819	1.7347	0.0001	0.0000	0.0000	0.3606	0.0000	1.1238	0.3560	0.4518	3.1827
13	-1.6328	-1.5072	42.4672	32.0000	33.6507	1.4124	5.0021	2.4020	4.6190	3.4968	2.4503	5.7934	5.2287	0.9065	0.0004	0.0000	0.0000	0.4460	0.0000	1.2896	0.4211	0.3255	3.1718
14	-1.5072	-1.3816	48.1295	31.0000	38.9326	2.0845	4.7935	2.3189	3.9582	2.3193	2.6362	4.5876	4.7557	1.8518	0.0009	0.0000	0.0000	0.3489	0.0000	1.1583	0.3426	0.0364	1.3973
15	-1.3816	-1.2560	50.2598	41.0000	39.6266	1.9237	6.2718	2.4376	5.0503	1.6941	3.6111	5.3268	6.2085	0.7192	0.0002	0.0000	0.0000	0.3754	0.0000	1.1522	0.3732	0.1238	3.3035
16	-1.2560	-1.1304	44.9376	34.0000	35.6362	2.0051	5.1496	2.1467	4.3564	3.2334	2.6371	5.4252	5.0924	1.8438	0.0000	0.0000	0.0000	0.3365	0.0000	1.1417	0.3300	0.1885	2.3516
17	-1.1304	-1.0048	48.3803	39.0000	40.4887	1.3645	4.3653	2.1618	4.6880	3.0017	2.6610	5.5667	5.3906	1.6606	0.0000	0.0000	0.0000	0.3524	0.0000	1.1375	0.3442	0.1864	2.1637
18	-1.0048	-0.8792	47.6646	46.0000	37.7994	1.5162	6.1696	2.1794	4.4385	2.3169	3.2578	5.0069	5.5058	1.3723	0.0000	0.0000	0.0000	0.3868	0.0000	1.1984	0.3709	0.2040	2.6435
19	-0.8792	-0.7536	45.5279	34.0000	37.6140	1.2004	4.3238	2.3897	4.4171	3.3261	3.7470	5.5293	5.7923	2.9861	0.0001	0.0000	0.0000	0.3913	0.0000	1.2405	0.3786	0.2299	1.8030
20	-0.7536	-0.6280	47.2767	42.0000	38.2125	0.9997	5.6287	2.4358	4.8010	4.2652	2.8435	6.4219	5.5799	1.9947	0.0002	0.0000	0.0000	0.3668	0.0000	1.1393	0.3431	0.0237	3.5648
21	-0.6280	-0.5024	45.8516	34.0000	36.1419	1.9338	5.0891	2.6868	3.9371	2.3035	2.1763	4.5615	4.4986	1.1277	0.0005	0.0000	0.0000	0.3737	0.0000	1.1420	0.3593	0.6515	1.5689
22	-0.5024	-0.3768	47.9329	44.0000	39.6152	1.3436	4.9023	2.0717	4.9376	1.7604	1.9921	5.2420	5.3243	0.7974	0.0000	0.0000	0.0000	0.3965	0.0000	1.1416	0.3768	0.1776	1.3081
23	-0.3768	-0.2512	47.9796	52.0000	38.3650	1.2049	6.0487	2.3611	4.3452	3.3441	2.3025	5.4830	4.9175	1.3937	0.0004	0.0000	0.0000	0.3890	0.0000	1.1532	0.3801	0.1594	2.7549
24	-0.2512	-0.1256	46.1845	30.0000	37.5884	1.3470	4.9035	2.3456	4.5253	4.2434	4.0707	6.2036	6.0868	2.7046	0.0004	0.0000	0.0000	0.3813	0.0000	1.1702	0.3697	0.4404	3.0889
25	-0.1256	0.0000	48.8017	45.0000	38.7000	2.9450	4.7674	2.3893	4.9968	2.6544	3.9056	5.6581	6.3421	1.8990	0.0000	0.0000	0.0000	0.3674	0.0000	1.1417	0.3565	0.3988	3.1521
26	0.0000	0.1256	51.2004	41.0000	41.2638	1.9350	5.7069	2.2948	5.3216	2.8134	2.8490	6.0195	6.0362	2.1303	0.0000	0.0000	0.0000	0.3751	0.0000	1.1753	0.3597	0.3911	2.0109
27	0.1256	0.2512	48.6507	33.0000	38.8386	1.8214	5.4718	2.5189	4.3716	1.9022	1.8805	4.7675	4.7589	0.4041	0.0000	0.0000	0.0000	0.4156	0.0000	1.2054	0.3958	0.0297	1.3189
28	0.2512	0.3768	47.2365	36.0000	38.7776	1.5055	4.4818	2.4716	4.6300	2.5048	2.3805	5.2641	5.2061	0.5879	0.0000	0.0000	0.0000	0.4240	0.0000	1.2603	0.4136	0.0988	1.9973
29	0.3768	0.5024	49.5977	48.0000	39.2630	2.1033	5.7549	2.4764	4.6650	2.6692	2.8823	5.3746	5.4836	2.3415	0.0007	0.0000	0.0000	0.3899	0.0000	1.1746	0.3688	0.4584	1.4333
30	0.5024	0.6280	49.2425	46.0000	40.0506	1.6814	5.2089	2.3016	4.8329	3.1416	2.6283	5.7642	5.5013	1.6434	0.0000	0.0000	0.0000	0.3484	0.0000	1.1154	0.3403	0.2057	2.3778
31	0.6280	0.7536	47.0291	34.0000	38.3652	1.7589	4.7510	2.1539	3.8307	2.2053	2.1977	4.4201	4.4163	0.2961	0.0001	0.0000	0.0000	0.3695	0.0000	1.1496	0.3575	0.1982	1.8083
32	0.7536	0.8792	49.9273	32.0000	40.4055	1.8644	5.3821	2.2752	4.6891	2.4812	2.2647	5.3051	5.2073	0.5114	0.0006	0.0000	0.0000	0.3520	0.0000	1.1245	0.3474	0.6128	2.0668
33	0.8792	1.0048	46.8914	39.0000	38.1516	1.8368	4.4278	2.4752	4.7756	1.8990	2.9660	5.1393	5.6217	1.1257	0.0000	0.0000	0.0000	0.3452	0.0000	1.1099	0.3331	0.2430	2.6995
34	1.0048	1.1304	43.7765	52.0000	34.8903	2.0997	4.6799	2.1065	5.1612	4.4743	2.5447	6.8306	5.7544	3.3409	0.0005	0.0000	0.0000	0.3777	0.0000	1.1670	0.3675	0.3109	2.6687
35	1.1304	1.2560	43.7611	50.0000	34.9057	1.6459	4.7834	2.4261	3.7521	2.5344	2.1942	4.5278	4.3466	0.9219	0.0004	0.0000	0.0000	0.3771	0.0000	1.1614	0.3717	0.1267	2.1759
36	1.2560	1.3816	46.5060	35.0000	37.9510	2.2478	4.0273	2.2799	4.9712	3.0597	2.9444	5.8374	5.7778	0.6021	0.0004	0.0000	0.0000	0.4208	0.0000	1.2290	0.4016	0.1259	2.7379
