Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-2.8260	0.7321	0.0000	0.0005	0.5247	0.0579	0.1490	25.1033	4.7537	6.4087	25.5495	25.9085	4.6929	0.4589	4.2024	1.0852	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2	-2.8260	-2.5120	0.8417	1.0000	0.0017	0.6342	0.1936	0.0122	22.0249	18.3910	14.0199	28.6936	26.1085	17.3467	0.4424	2.2749	1.0460	0.0000	0.0000	0.0000	0.0000	2.7942	5.5547
3	-2.5120	-2.1980	0.4658	1.0000	0.0001	0.3404	0.1381	-0.0128	28.9238	5.6235	5.5128	29.4654	29.4444	1.1102	0.4605	5.3121	1.4005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
4	-2.1980	-1.8840	0.7359	0.0000	0.0000	0.6207	0.0594	0.0558	23.2299	8.4669	7.8576	24.7248	24.5229	7.9115	0.4296	2.8563	0.8683	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
5	-1.8840	-1.5700	0.2862	0.0000	0.0008	0.2775	-0.0160	0.0239	45.5328	8.4220	3.8793	46.3051	45.6978	7.4753	0.4436	3.7473	0.9002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
6	-1.5700	-1.2560	0.6155	0.0000	0.0000	0.5582	0.0598	-0.0025	28.8417	10.4980	14.7482	30.6929	32.3938	14.2280	0.4362	3.7288	0.9896	0.0000	0.0000	0.0000	0.0000	0.0000	0.0296
7	-1.2560	-0.9420	0.3531	0.0000	0.0026	0.2061	0.1002	0.0440	42.6384	24.1305	14.1312	48.9930	44.9191	13.5147	0.4627	3.9385	1.1481	0.0000	0.0000	0.0000	0.0000	14.1856	14.1856
8	-0.9420	-0.6280	0.7986	1.0000	0.0019	0.7615	0.0280	0.0071	24.0352	8.7635	5.7589	25.5830	24.7155	8.2328	0.4380	2.8319	0.8991	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
9	-0.6280	-0.3140	0.4610	1.0000	0.0004	0.3777	0.0238	0.0592	27.4910	9.5798	5.9145	29.1123	28.1200	8.7707	0.4386	3.6974	0.9926	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
10	-0.3140	0.0000	0.7465	1.0000	0.0120	0.4013	0.1988	0.1344	24.1835	4.0734	4.7112	24.5241	24.6381	3.1447	0.4432	3.3389	0.9807	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
11	0.0000	0.3140	0.3214	0.0000	0.0031	0.1916	0.0885	0.0383	56.5474	16.5723	23.0848	58.9257	61.0779	22.3159	0.4234	3.4172	0.9133	0.0000	0.0000	0.0000	0.0000	3.3329	3.3329
12	0.3140	0.6280	0.4311	0.0000	0.0007	0.2842	0.0988	0.0475	35.1265	18.3720	2.9086	39.6409	35.2467	1.9385	0.4188	2.0162	0.6794	0.0000	0.0000	0.0000	0.0000	12.8489	12.8489
13	0.6280	0.9420	0.7904	2.0000	0.0012	0.7034	0.0644	0.0215	24.8668	4.8917	4.0190	25.3433	25.1894	2.9793	0.3931	3.7624	0.8615	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
14	0.9420	1.2560	0.4985	0.0000	0.0007	0.3863	0.0747	0.0367	27.9518	14.5768	11.2918	31.5244	30.1465	14.3722	0.4207	2.2665	0.7802	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
15	1.2560	1.5700	0.5490	0.0000	0.0002	0.5176	0.0002	0.0310	27.0230	4.5853	3.9534	27.4092	27.3106	3.6188	0.4342	2.6175	0.9429	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
16	1.5700	1.8840	0.5384	0.0000	0.0016	0.4929	0.0137	0.0302	26.3517	11.2737	8.2997	28.6619	27.6278	10.9717	0.4301	2.3808	0.9301	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
17	1.8840	2.1980	0.4297	1.0000	0.0877	0.3032	0.0001	0.0386	43.5354	8.2306	8.4559	44.3066	44.3490	8.0151	0.4629	2.4587	1.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.4881
18	2.1980	2.5120	0.8083	3.0000	0.0563	0.7041	0.0428	0.0051	21.6835	3.5390	3.0979	21.9704	21.9037	1.7111	0.4284	2.9166	0.9520	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
19	2.5120	2.8260	0.6029	1.0000	0.0016	0.5766	0.0172	0.0075	26.3828	4.9279	6.3277	26.8390	27.1310	5.1643	0.4477	3.4307	1.1829	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
20	2.8260	3.1400	0.9548	1.0000	0.0012	0.8453	0.0247	0.0836	20.3335	6.8559	7.2494	21.4582	21.5872	6.0625	0.4316	3.8517	0.8821	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
