Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
9	40.0000	45.0000	1.2298	6.0000	0.0815	0.5487	0.5434	0.0562	16.3722	5.8529	3.0220	17.3869	16.6487	5.0124	0.4305	2.8623	0.8685	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
10	45.0000	50.0000	1.8356	6.0000	0.1176	0.9908	0.6950	0.0322	16.1536	7.9980	4.2396	18.0252	16.7007	7.2229	0.4296	3.3235	0.7531	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
11	50.0000	55.0000	1.8677	4.0000	0.0034	0.8123	1.0538	-0.0018	17.5960	2.6920	5.1175	17.8008	18.3251	4.5452	0.4089	2.2385	0.5936	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
12	55.0000	60.0000	1.7757	2.0000	0.0441	0.8333	0.9428	-0.0444	17.5972	4.0076	3.8857	18.0478	18.0211	1.0764	0.4400	3.7536	0.7871	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
13	60.0000	65.0000	1.5805	0.0000	0.0161	0.4289	1.0009	0.1346	17.8433	6.7999	2.9953	19.0950	18.0929	6.1046	0.4146	2.8992	0.6282	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
14	65.0000	70.0000	2.5781	2.0000	0.3692	0.7289	1.2560	0.2239	14.8267	4.8996	4.8153	15.6153	15.5891	3.3064	0.4437	3.4096	1.1192	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
15	70.0000	75.0000	1.8379	2.0000	0.0021	1.0185	0.6601	0.1573	15.7368	3.1044	2.7635	16.0401	15.9776	1.8509	0.4148	2.3479	0.7257	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
16	75.0000	80.0000	1.8213	4.0000	0.2151	0.5593	0.8406	0.2062	17.8846	4.1312	2.9718	18.3556	18.1298	3.5040	0.4467	1.8386	1.0998	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
17	80.0000	85.0000	1.5634	0.0000	0.0176	0.8255	0.6919	0.0285	15.9673	7.4581	6.2146	17.6233	17.1341	6.3411	0.4281	2.3215	0.7991	0.0000	0.0000	0.0000	0.0000	0.0000	3.0338
18	85.0000	90.0000	2.8668	0.0000	0.0122	1.2267	1.5171	0.1107	14.5482	8.5314	6.2065	16.8652	15.8167	8.0630	0.4312	2.6496	0.7526	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
