Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-2.5000	-2.2500	0.3380	2.0000	0.0938	0.0442	0.1898	0.0101	42.3801	6.5409	6.3937	42.8819	42.8597	6.4079	0.0246	0.0000	0.0000	0.8472	0.0000	0.7217	0.5964	0.0000	0.3566
2	-2.2500	-2.0000	0.7835	0.0000	0.0519	0.1296	0.4952	0.1067	25.0873	2.6088	4.9029	25.2225	25.5619	4.8236	0.0247	0.0000	0.0000	0.6332	0.0000	0.4671	0.3882	0.0000	0.0000
3	-2.0000	-1.7500	1.0171	0.0000	0.1208	0.0583	0.7585	0.0795	23.4573	2.8018	2.6353	23.6241	23.6049	2.7315	0.0212	0.0000	0.0000	0.0830	0.0000	0.6061	0.1189	0.0000	0.0000
4	-1.7500	-1.5000	1.1107	1.0000	0.1689	0.0180	0.7369	0.1869	30.1554	2.2126	1.2479	30.2365	30.1812	1.8285	0.0077	0.0000	0.0000	0.3055	0.0000	1.1578	0.3438	0.0000	0.0000
5	-1.5000	-1.2500	1.5850	3.0000	0.2140	0.0941	1.0570	0.2198	22.9318	6.0536	4.7375	23.7173	23.4160	5.8805	0.0007	0.0000	0.0000	0.3207	0.0000	1.0258	0.3132	0.0242	0.9015
6	-1.2500	-1.0000	1.7337	0.0000	0.0302	0.2614	1.3304	0.1117	24.2229	1.1809	4.6201	24.2517	24.6596	4.5281	0.0064	0.0000	0.0000	0.3381	0.0000	0.7893	0.3232	0.0000	0.0000
7	-1.0000	-0.7500	1.7677	1.0000	0.1018	0.3237	1.1079	0.2344	18.0637	2.6802	1.4898	18.2614	18.1250	2.5786	0.0090	0.0000	0.0000	0.2593	0.0000	0.6252	0.2761	0.0010	0.0148
8	-0.7500	-0.5000	1.4327	3.0000	0.0535	0.1280	1.0601	0.1912	19.2637	0.7940	1.8726	19.2801	19.3545	1.7134	0.0043	0.0000	0.0000	0.3223	0.0000	0.6169	0.2939	0.0088	0.0088
9	-0.5000	-0.2500	1.8782	0.0000	0.2945	0.0885	1.2773	0.2179	18.0616	9.8017	4.1167	20.5498	18.5248	9.7826	0.0053	0.0000	0.0000	0.2174	0.0000	0.5241	0.2280	0.0000	0.0000
10	-0.2500	0.0000	1.4036	0.0000	0.2069	0.1466	0.7980	0.2520	19.2313	1.2413	3.6300	19.2713	19.5709	3.4827	0.0261	0.0000	0.0000	0.4031	0.0000	0.8537	0.3945	0.0000	0.0379
11	0.0000	0.2500	1.3772	0.0000	0.0131	0.2977	0.7732	0.2932	20.9633	3.7337	5.6564	21.2932	21.7130	5.6107	0.0005	0.0000	0.0000	0.2660	0.0000	0.6092	0.2707	0.0000	0.0179
12	0.2500	0.5000	2.2221	0.0000	0.2266	0.1213	1.6297	0.2444	19.2089	1.6702	0.9862	19.2814	19.2342	1.4186	0.0084	0.0000	0.0000	0.3665	0.0000	0.7277	0.3360	0.0000	0.0359
13	0.5000	0.7500	1.2736	1.0000	0.0369	0.1241	1.0150	0.0977	19.9743	4.3093	2.7624	20.4339	20.1644	4.2566	0.0038	0.0000	0.0000	0.2498	0.0000	0.5686	0.2560	0.0000	0.0000
14	0.7500	1.0000	1.6607	1.0000	0.0167	0.1892	1.3196	0.1352	26.3010	0.9918	0.9741	26.3197	26.3190	0.1888	0.0002	0.0000	0.0000	0.4196	0.0000	0.7725	0.4187	0.0000	0.0000
15	1.0000	1.2500	2.0144	1.0000	0.1443	0.2656	1.2898	0.3146	20.7438	0.9652	2.8313	20.7663	20.9362	2.6617	0.0147	0.0000	0.0000	0.3691	0.0000	0.8142	0.3636	0.0000	0.0000
16	1.2500	1.5000	2.0882	2.0000	0.0870	0.4811	1.2500	0.2702	19.5398	1.3495	3.4207	19.5863	19.8369	3.2148	0.0118	0.0000	0.0000	0.3753	0.0000	1.0332	0.3979	0.0000	0.0060
17	1.5000	1.7500	2.0539	0.0000	0.2253	0.2168	1.6193	-0.0075	18.6212	1.7557	3.8497	18.7038	19.0150	3.6575	0.0009	0.0000	0.0000	0.1914	0.0000	0.8225	0.2229	0.5830	0.5830
18	1.7500	2.0000	2.7046	1.0000	0.1845	0.7183	1.8011	0.0007	31.7066	0.6416	2.7292	31.7131	31.8239	2.6527	0.0003	0.0000	0.0000	0.1711	0.0000	0.5892	0.1878	0.0000	0.0000
19	2.0000	2.2500	1.0761	2.0000	0.0267	0.1224	0.7530	0.1740	20.8526	5.2105	5.9152	21.4937	21.6754	5.8416	0.0002	0.0000	0.0000	0.4596	0.0000	0.7262	0.3561	0.0000	0.0000
20	2.2500	2.5000	0.5055	1.0000	0.0350	0.0000	0.4175	0.0530	29.1409	1.0858	2.9364	29.1612	29.2885	2.7283	0.0000	0.0000	0.0000	0.7638	0.0000	0.6219	0.4569	0.0000	0.0000
