Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	0.0000	1.0000	33.7941	29.0000	5.4963	24.9516	1.4062	1.9400	3.5538	5.7473	5.6635	6.7573	6.6861	0.7720	0.0000	0.0000	0.0000	0.7196	0.0000	1.8764	0.6679	0.3387	5.2904
2	1.0000	2.0000	90.8902	72.0000	10.6239	71.6225	4.1919	4.4520	2.1593	3.3054	2.4671	3.9482	3.2786	0.1227	0.0000	0.0000	0.0000	0.5152	0.0000	1.3964	0.4819	0.2109	2.9023
3	2.0000	3.0000	42.1870	34.0000	1.7446	35.5276	3.8623	1.0526	3.2849	3.0552	2.7315	4.4860	4.2722	0.6781	0.0000	0.0000	0.0000	0.4239	0.0000	1.3330	0.4071	0.0190	2.5984
4	3.0000	4.0000	20.2703	14.0000	0.7678	16.3668	2.5300	0.6057	4.8118	3.1350	6.4729	5.7430	8.0655	2.0569	0.0000	0.0000	0.0000	0.4889	0.0000	1.4121	0.4666	0.5981	5.9363
5	4.0000	5.0000	8.5880	7.0000	0.2388	7.0286	1.2338	0.0868	7.6543	5.5631	2.9457	9.4624	8.2016	0.1936	0.0000	0.0000	0.0000	0.3189	0.0000	1.3823	0.3228	1.8651	5.3660
6	5.0000	6.0000	2.6626	3.0000	0.0564	2.0536	0.5885	-0.0359	13.8829	10.7409	7.6884	17.5529	15.8697	2.7041	0.0000	0.0000	0.0000	0.2567	0.0000	1.1266	0.2724	4.4845	10.4562
7	6.0000	7.0000	0.9774	0.0000	0.0121	0.7938	0.1036	0.0679	20.0127	8.9769	23.8576	21.9339	31.1399	8.7686	0.0000	0.0000	0.0000	0.4723	0.0000	1.2084	0.4331	1.1699	22.6661
8	7.0000	8.0000	0.3827	0.0000	0.0037	0.2491	0.1223	0.0076	42.4882	10.3897	16.6496	43.7400	45.6339	10.3718	0.0000	0.0000	0.0000	0.1832	0.0000	1.0394	0.2964	0.3609	12.9784
9	8.0000	9.0000	0.0222	0.0000	0.0004	0.0381	0.0000	-0.0163	186.4904	207.6443	11.2021	279.0964	186.8266	10.7770	0.0000	0.0000	0.0000	0.6115	0.0000	2.9902	0.1421	0.0017	207.6230
10	9.0000	10.0000	0.0002	0.0000	0.0002	0.0000	0.0000	0.0000	79.7898	69.5328	2.7171	105.8359	79.8361	4.0377	0.0000	0.0000	0.0000	0.2761	0.0000	0.6913	0.2511	0.0334	69.4111
12	11.0000	12.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	95.1368	14.0410	28.6057	96.1673	99.3443	28.0394	0.0000	0.0000	0.0000	1.9479	0.0000	4.9541	2.0104	0.0000	0.0000
13	12.0000	13.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	57.2721	47.9067	115.2393	110.8831	57.2688	0.0000	0.0000	0.0000	0.1273	0.0000	0.5746	0.1703	0.0000	0.0000
