Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	0.9242	3.0000	0.8760	0.0000	0.0000	0.0482	24.3753	8.0769	11.1295	25.6786	26.7959	2.7551	0.9602	7.4697	1.3960	0.0000	0.0000	0.0000	0.0000	4.8134	6.1879
2	-3.0144	-2.8888	0.9589	6.0000	0.9174	0.0065	0.0000	0.0350	25.8095	8.4133	7.2036	27.1462	26.7959	1.5455	0.9511	7.2943	1.1812	0.0000	0.0000	0.0000	0.0000	0.0000	3.5901
3	-2.8888	-2.7632	1.5006	5.0000	1.4710	0.0000	0.0001	0.0295	36.0715	14.1141	12.7695	38.7345	38.2651	8.9320	0.9724	10.7915	1.4220	0.0000	0.0000	0.0000	0.0000	0.0000	0.0366
4	-2.7632	-2.6376	1.2198	3.0000	1.1434	0.0443	0.0000	0.0321	36.9363	13.7002	13.1718	39.3953	39.2147	10.0231	0.9630	8.7204	1.1550	0.0000	0.0000	0.0000	0.0000	0.0000	6.4668
5	-2.6376	-2.5120	2.0070	1.0000	1.9340	0.0087	0.0000	0.0643	39.8910	12.1428	9.1676	41.6982	40.9309	5.0375	0.9713	7.7849	1.3660	0.0000	0.0000	0.0000	0.0000	0.0000	8.8272
6	-2.5120	-2.3864	1.7779	4.0000	1.7618	0.0000	0.0000	0.0161	55.2522	12.1373	14.7331	56.5696	57.1828	9.8388	0.9755	11.5170	1.4944	0.0000	0.0000	0.0000	0.0000	0.0000	0.0463
7	-2.3864	-2.2608	1.2158	1.0000	1.0695	0.0564	0.0286	0.0613	23.6521	4.7871	14.2818	24.1317	27.6296	0.3176	0.9252	4.5449	1.1298	0.0000	0.0000	0.0000	0.0000	0.0000	13.4943
8	-2.2608	-2.1352	1.4971	2.0000	1.4281	0.0000	0.0256	0.0434	21.1527	7.2129	7.2134	22.3486	22.3488	2.0566	0.9364	6.7902	1.3098	0.0000	0.0000	0.0000	0.0000	1.1459	1.4189
9	-2.1352	-2.0096	1.4296	4.0000	1.3863	0.0000	0.0000	0.0433	22.4780	12.4066	11.6027	25.6746	25.2959	8.6594	0.9678	7.8529	1.3672	0.0000	0.0000	0.0000	0.0000	5.3409	7.0786
10	-2.0096	-1.8840	0.9211	3.0000	0.8892	0.0000	0.0000	0.0318	23.4974	8.5540	7.3335	25.0060	24.6152	4.5830	0.9762	7.0445	1.2347	0.0000	0.0000	0.0000	0.0000	0.0063	0.2554
