Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	0.0000	100.0000	1.9045	3.0000	1.8187	0.0000	0.0000	0.0859	37.1818	10.9104	13.1071	38.7495	39.4244	7.1824	0.9975	7.9106	1.5560	0.0000	0.0000	0.0000	0.0000	0.9482	9.2761
2	100.0000	200.0000	14.6103	30.0000	13.9134	0.0603	0.0895	0.5472	13.4046	10.4272	9.9686	16.9826	16.7050	6.4550	0.9514	7.8528	1.2641	0.0000	0.0000	0.0000	0.0000	0.9456	2.0438
3	200.0000	300.0000	19.1495	33.0000	18.3365	0.0475	0.1298	0.6356	6.9857	8.8351	9.3288	11.2632	11.6545	2.7155	0.9502	7.7199	1.3627	0.0000	0.0000	0.0000	0.0000	0.2608	4.7512
4	300.0000	400.0000	14.9860	25.0000	14.2269	0.1336	0.1434	0.4822	9.1551	7.9965	8.0573	12.1556	12.1957	1.3501	0.9484	7.7195	1.3353	0.0000	0.0000	0.0000	0.0000	1.0510	2.1168
5	400.0000	500.0000	8.3203	15.0000	8.0140	0.0472	0.0000	0.2591	8.7231	14.2047	12.6169	16.6693	15.3388	1.1082	0.9393	6.4851	1.3257	0.0000	0.0000	0.0000	0.0000	1.2997	12.4765
6	500.0000	600.0000	2.9322	5.0000	2.6899	0.1127	0.0405	0.0892	11.8937	7.6683	11.2578	14.1514	16.3768	2.1664	0.9232	6.7808	1.1901	0.0000	0.0000	0.0000	0.0000	0.9805	8.7918
7	600.0000	700.0000	1.2880	4.0000	1.2213	0.0224	0.0000	0.0442	14.7229	23.5296	8.4855	27.7562	16.9931	5.8282	0.9204	5.6625	1.1414	0.0000	0.0000	0.0000	0.0000	5.9853	21.4274
8	700.0000	800.0000	0.6225	1.0000	0.5937	0.0000	0.0000	0.0287	13.9360	7.9309	14.1282	16.0347	19.8449	1.5895	0.9543	7.3846	1.4091	0.0000	0.0000	0.0000	0.0000	1.8402	11.9919
9	800.0000	900.0000	0.2106	1.0000	0.2012	0.0087	0.0000	0.0006	16.4195	11.8159	9.4919	20.2291	18.9657	2.5297	0.9355	6.8928	1.3032	0.0000	0.0000	0.0000	0.0000	1.7148	9.4541
10	900.0000	1000.0000	0.1271	0.0000	0.1215	0.0000	0.0000	0.0056	16.4545	29.5753	15.9501	33.8445	22.9163	5.0710	0.9039	5.1668	1.1227	0.0000	0.0000	0.0000	0.0000	1.4042	28.6358
11	1000.0000	1100.0000	0.0556	0.0000	0.0556	0.0000	0.0000	0.0000	10.5690	10.7966	7.1998	15.1086	12.7883	3.2555	0.9007	6.3576	1.1371	0.0000	0.0000	0.0000	0.0000	0.6292	8.3013
12	1100.0000	1200.0000	0.0359	0.0000	0.0301	0.0000	0.0000	0.0058	14.3955	14.9795	12.0186	20.7754	18.7531	12.7972	0.9436	6.3395	1.4198	0.0000	0.0000	0.0000	0.0000	4.1860	7.0798
13	1200.0000	1300.0000	0.0168	0.0000	0.0167	0.0000	0.0001	0.0000	12.1239	35.3263	16.8708	37.3489	20.7753	1.3744	0.9313	7.7978	1.2468	0.0000	0.0000	0.0000	0.0000	4.3886	34.4100
14	1300.0000	1400.0000	0.0089	0.0000	0.0089	0.0000	0.0000	0.0000	13.9284	14.7383	9.2027	20.2785	16.6940	1.3286	0.9083	6.0372	1.0601	0.0000	0.0000	0.0000	0.0000	2.2184	13.2167
15	1400.0000	1500.0000	0.0066	0.0000	0.0066	0.0000	0.0000	0.0000	12.1475	10.8741	16.8211	16.3036	20.7488	1.0016	0.9141	6.2778	1.1122	0.0000	0.0000	0.0000	0.0000	3.6660	15.2022
16	1500.0000	1600.0000	0.0032	0.0000	0.0032	0.0000	0.0000	0.0000	8.2946	16.6431	10.1668	18.5955	13.1211	1.6863	0.9244	5.8626	1.1044	0.0000	0.0000	0.0000	0.0000	6.3126	14.0661
17	1600.0000	1700.0000	0.0023	0.0000	0.0023	0.0000	0.0000	0.0000	9.8799	7.8131	14.2570	12.5959	17.3457	0.6668	0.9257	5.8998	1.1817	0.0000	0.0000	0.0000	0.0000	4.8518	12.1351
18	1700.0000	1800.0000	0.0016	0.0000	0.0016	0.0000	0.0000	0.0000	12.5146	21.3853	13.4676	24.7780	18.3846	13.2860	0.9177	7.7934	1.2693	0.0000	0.0000	0.0000	0.0000	4.9165	14.7521
19	1800.0000	1900.0000	0.0010	0.0000	0.0010	0.0000	0.0000	0.0000	16.9644	14.8989	19.8768	22.5781	26.1320	6.8348	0.9201	7.3438	1.2559	0.0000	0.0000	0.0000	0.0000	8.3894	15.8795
20	1900.0000	2000.0000	0.0012	0.0000	0.0012	0.0000	0.0000	0.0000	12.8726	30.2979	12.4204	32.9191	17.8877	6.5964	0.9116	5.5780	1.0663	0.0000	0.0000	0.0000	0.0000	12.7583	26.0499
