Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
3	40.0000	60.0000	4.6241	8.0000	4.4274	0.0537	0.0581	0.0848	22.8552	6.2019	31.6060	23.6817	39.0038	2.2385	0.9770	5.9661	1.3837	0.0000	0.0000	0.0000	0.0000	4.3416	30.6313
4	60.0000	80.0000	3.0118	8.0000	2.7918	0.0000	0.1454	0.0747	21.8369	47.2832	9.7145	52.0822	23.9003	6.6842	0.9788	8.0251	1.5915	0.0000	0.0000	0.0000	0.0000	5.0819	45.7963
5	80.0000	100.0000	2.4843	7.0000	2.2703	0.0096	0.0649	0.1395	17.5223	18.2167	10.4013	25.2761	20.3769	5.3341	0.9664	9.0470	1.3916	0.0000	0.0000	0.0000	0.0000	1.3652	14.8565
6	100.0000	120.0000	3.0333	5.0000	2.8715	0.0462	0.0000	0.1156	37.1079	8.4260	9.9831	38.0525	38.4273	2.9259	0.9867	8.1465	1.6657	0.0000	0.0000	0.0000	0.0000	0.5097	5.0564
7	120.0000	140.0000	1.2679	2.0000	1.2244	0.0000	0.0000	0.0435	23.6553	29.3523	10.3241	37.6979	25.8101	6.6445	0.9699	7.4463	1.5694	0.0000	0.0000	0.0000	0.0000	3.6197	27.5419
8	140.0000	160.0000	1.5169	5.0000	1.3412	0.0000	0.0877	0.0880	20.6565	20.0794	28.8876	28.8075	35.5132	4.4263	0.9846	6.9116	1.5613	0.0000	0.0000	0.0000	0.0000	5.2694	27.7152
9	160.0000	180.0000	0.9888	3.0000	0.9626	0.0028	0.0000	0.0235	26.7648	8.0927	31.5212	27.9615	41.3514	4.4506	0.9401	6.9655	1.1108	0.0000	0.0000	0.0000	0.0000	16.4131	25.6333
10	180.0000	200.0000	1.0354	1.0000	0.9231	0.0000	0.0453	0.0671	25.2208	14.0917	12.3429	28.8906	28.0791	5.6661	0.9603	8.5968	1.4944	0.0000	0.0000	0.0000	0.0000	1.5451	10.7463
11	200.0000	220.0000	0.4983	0.0000	0.4864	0.0000	0.0000	0.0119	37.9818	89.6781	51.0468	97.3898	63.6269	3.2748	0.9537	9.2460	1.2943	0.0000	0.0000	0.0000	0.0000	13.9166	88.0920
12	220.0000	240.0000	0.8764	1.0000	0.8073	0.0000	0.0000	0.0690	27.1349	16.6601	36.1753	31.8412	45.2212	9.2520	0.9463	4.9013	1.3072	0.0000	0.0000	0.0000	0.0000	1.2682	34.5860
