Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	0.0000	50.0000	530.8995	728.0000	511.6129	1.9147	1.1788	16.1932	1.8224	7.7460	9.2356	7.9575	9.4137	0.3860	0.9001	5.7667	1.0338	0.0000	0.0000	0.0000	0.0000	0.3640	7.2205
2	50.0000	100.0000	425.5758	613.0000	403.4654	4.1393	1.1868	16.7844	1.8489	8.1602	7.5084	8.3671	7.7327	0.3388	0.9046	5.9826	1.0505	0.0000	0.0000	0.0000	0.0000	0.6693	5.3629
3	100.0000	150.0000	201.8078	309.0000	188.2834	3.7034	0.7218	9.0991	2.1674	6.2605	6.3060	6.6251	6.6681	0.8747	0.8979	5.8744	1.0330	0.0000	0.0000	0.0000	0.0000	0.6464	2.1033
4	150.0000	200.0000	94.2845	112.0000	85.6672	2.8636	0.7619	4.9917	3.0369	8.0118	6.5148	8.5681	7.1879	0.6323	0.9026	5.9181	1.0539	0.0000	0.0000	0.0000	0.0000	0.4863	5.1983
5	200.0000	250.0000	46.1101	60.0000	41.3670	2.2338	0.1878	2.3215	3.9944	7.4805	6.3592	8.4802	7.5097	1.0094	0.8963	5.5950	1.0245	0.0000	0.0000	0.0000	0.0000	1.6254	4.4895
6	250.0000	300.0000	20.6824	32.0000	18.3068	1.0749	0.2380	1.0627	4.3370	6.9327	6.6971	8.1776	7.9788	0.5422	0.8944	6.0449	1.0439	0.0000	0.0000	0.0000	0.0000	0.6586	3.0183
7	300.0000	350.0000	10.1713	17.0000	8.6593	0.6989	0.0701	0.7429	5.5214	9.9774	7.7361	11.4033	9.5044	2.8566	0.8871	5.4966	0.9845	0.0000	0.0000	0.0000	0.0000	1.4982	7.7213
8	350.0000	400.0000	6.3337	12.0000	5.2630	0.5694	0.0921	0.4093	6.0826	8.9325	7.2311	10.8068	9.4491	2.4184	0.8851	5.8774	1.0168	0.0000	0.0000	0.0000	0.0000	2.5442	6.1720
9	400.0000	450.0000	3.3592	2.0000	2.5315	0.5535	0.0402	0.2340	7.5411	6.9382	7.0599	10.2472	10.3301	2.3201	0.8768	5.7160	0.9732	0.0000	0.0000	0.0000	0.0000	2.8925	3.6134
10	450.0000	500.0000	1.9634	3.0000	1.5163	0.2048	0.0603	0.1820	9.2890	11.8703	12.7145	15.0728	15.7462	1.2705	0.8820	6.2435	1.0145	0.0000	0.0000	0.0000	0.0000	3.0944	10.6340
11	500.0000	550.0000	1.0280	0.0000	0.8824	0.0670	0.0000	0.0785	12.6500	12.0907	6.4882	17.4988	14.2169	4.0684	0.8879	5.2440	0.9664	0.0000	0.0000	0.0000	0.0000	3.9736	9.1990
12	550.0000	600.0000	0.7388	0.0000	0.4996	0.1374	0.0000	0.1018	14.0802	16.6521	12.2045	21.8070	18.6333	0.3377	0.8593	5.2109	0.8307	0.0000	0.0000	0.0000	0.0000	5.4175	14.8070
13	600.0000	650.0000	0.4347	1.0000	0.2275	0.1214	0.0009	0.0849	25.1282	6.2400	19.2390	25.8914	31.6475	5.5334	0.8416	4.7921	0.7389	0.0000	0.0000	0.0000	0.0000	5.3669	16.9653
14	650.0000	700.0000	0.2692	0.0000	0.1832	0.0450	0.0000	0.0409	13.9773	48.9569	17.3385	50.9131	22.2708	3.9129	0.8532	5.4535	0.8192	0.0000	0.0000	0.0000	0.0000	4.1464	48.4749
15	700.0000	750.0000	0.1173	0.0000	0.0859	0.0182	0.0000	0.0132	23.0156	21.3537	17.5482	31.3958	28.9423	16.7619	0.8583	4.9707	0.7503	0.0000	0.0000	0.0000	0.0000	6.4875	10.6194
16	750.0000	800.0000	0.1151	0.0000	0.0747	0.0105	0.0000	0.0299	22.4083	8.0984	15.9861	23.8268	27.5261	5.8771	0.8555	5.1206	0.8474	0.0000	0.0000	0.0000	0.0000	9.3851	10.9453
17	800.0000	850.0000	0.0603	0.0000	0.0540	0.0000	0.0000	0.0064	15.3133	105.1876	4.9986	106.2964	16.1085	3.1926	0.8568	4.2358	0.7290	0.0000	0.0000	0.0000	0.0000	81.6127	66.1392
18	850.0000	900.0000	0.1213	0.0000	0.0417	0.0479	0.0000	0.0318	42.8837	7.6597	58.6886	43.5624	72.6868	2.3938	0.8772	5.4375	0.6441	0.0000	0.0000	0.0000	0.0000	38.9310	43.5161
19	900.0000	950.0000	0.1043	0.0000	0.0241	0.0490	0.0000	0.0311	55.6679	15.2256	26.3466	57.7125	61.5878	6.9879	0.8145	4.3228	0.4514	0.0000	0.0000	0.0000	0.0000	2.0471	25.0492
20	950.0000	1000.0000	0.1210	0.0000	0.0776	0.0000	0.0003	0.0432	12.7893	49.2858	19.8012	50.9181	23.5723	11.5046	0.8529	5.3231	0.8643	0.0000	0.0000	0.0000	0.0000	2.4170	47.5925
