Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	0.4149	0.0000	0.2652	0.0233	0.0027	0.1237	30.1066	26.2280	8.1549	39.9289	31.1915	6.7957	0.9358	6.6985	1.3902	0.0000	0.0000	0.0000	0.0000	24.3731	1.4246
2	-3.0144	-2.8888	0.8814	1.0000	0.7950	0.0000	0.0217	0.0648	32.3789	9.8811	15.8109	33.8530	36.0330	2.9359	0.9438	8.1211	1.1406	0.0000	0.0000	0.0000	0.0000	13.7061	4.5687
3	-2.8888	-2.7632	1.1852	0.0000	0.9996	0.0000	0.0625	0.1231	24.3146	8.7933	14.7248	25.8558	28.4257	6.4778	0.9507	6.8327	1.0937	0.0000	0.0000	0.0000	0.0000	5.0531	10.1817
4	-2.7632	-2.6376	0.2703	0.0000	0.1477	0.0000	0.0434	0.0792	31.6841	88.2171	19.4752	93.7345	37.1910	18.7705	0.9284	5.0822	1.1870	0.0000	0.0000	0.0000	0.0000	3.7742	86.3551
5	-2.6376	-2.5120	0.5519	3.0000	0.4126	0.0000	0.0753	0.0640	30.5054	9.5081	7.3610	31.9528	31.3809	4.0855	0.9345	5.2620	1.2264	0.0000	0.0000	0.0000	0.0000	0.4839	6.6066
6	-2.5120	-2.3864	0.8399	0.0000	0.7468	0.0244	0.0001	0.0686	27.8152	8.1287	33.1854	28.9786	43.3007	4.2386	0.9151	7.4691	1.1621	0.0000	0.0000	0.0000	0.0000	14.9043	28.4148
7	-2.3864	-2.2608	0.7186	0.0000	0.4595	0.0208	0.0706	0.1678	28.2521	45.4654	8.6606	53.5284	29.5498	4.0501	0.8796	5.3309	0.9643	0.0000	0.0000	0.0000	0.0000	12.1569	43.4613
8	-2.2608	-2.1352	1.0579	2.0000	0.8520	0.0000	0.1158	0.0901	42.9289	12.3202	47.9046	44.6618	64.3253	10.5956	0.9051	4.2020	0.8308	0.0000	0.0000	0.0000	0.0000	1.0564	46.6355
9	-2.1352	-2.0096	0.9688	0.0000	0.8824	0.0000	0.0000	0.0864	57.5064	17.6892	10.7310	60.1655	58.4990	16.2340	0.8393	4.8063	0.9508	0.0000	0.0000	0.0000	0.0000	1.5196	4.7274
10	-2.0096	-1.8840	0.9107	0.0000	0.5137	0.0305	0.1397	0.2269	25.4803	19.7564	10.9111	32.2422	27.7182	2.4189	0.8955	5.5214	1.0695	0.0000	0.0000	0.0000	0.0000	14.1888	12.2764
11	-1.8840	-1.7584	1.2948	2.0000	1.1670	0.0000	0.0863	0.0414	44.1569	14.8507	44.9592	46.5873	63.0172	13.8766	0.8947	5.1201	0.9837	0.0000	0.0000	0.0000	0.0000	24.8336	35.0183
12	-1.7584	-1.6328	0.2985	3.0000	0.2045	0.0000	0.0000	0.0940	41.2070	187.8763	4.9237	192.3422	41.5002	1.8532	0.8666	4.4866	1.0516	0.0000	0.0000	0.0000	0.0000	107.0516	154.3226
13	-1.6328	-1.5072	0.5548	0.0000	0.3844	0.0000	0.1056	0.0647	26.8530	30.9102	5.0345	40.9454	27.3209	1.4867	0.8873	4.6922	1.0319	0.0000	0.0000	0.0000	0.0000	10.2726	28.7025
14	-1.5072	-1.3816	0.7292	3.0000	0.5065	0.0480	0.1182	0.0565	28.8416	18.8850	24.7977	34.4744	38.0363	7.9412	0.9314	7.8200	1.1960	0.0000	0.0000	0.0000	0.0000	10.9226	20.8210
15	-1.3816	-1.2560	0.5514	2.0000	0.2659	0.0491	0.1288	0.1076	26.2091	11.7237	15.1418	28.7117	30.2687	7.9622	0.9709	6.6636	1.2250	0.0000	0.0000	0.0000	0.0000	10.6572	6.0967
16	-1.2560	-1.1304	0.2952	2.0000	0.1174	0.0000	0.0000	0.1777	26.3461	20.3816	33.7985	33.3095	42.8538	2.3746	0.8710	4.6551	0.9036	0.0000	0.0000	0.0000	0.0000	4.5118	33.0755
17	-1.1304	-1.0048	0.4398	2.0000	0.3850	0.0000	0.0002	0.0546	38.9143	6.9817	23.6159	39.5356	45.5196	3.7999	0.8854	5.7165	1.0238	0.0000	0.0000	0.0000	0.0000	2.6654	22.5995
18	-1.0048	-0.8792	0.8920	1.0000	0.6704	0.0000	0.0936	0.1281	28.6427	7.0169	22.9744	29.4897	36.7183	6.5522	0.9234	5.8655	0.9142	0.0000	0.0000	0.0000	0.0000	1.8497	21.1612
19	-0.8792	-0.7536	0.9639	1.0000	0.6243	0.0000	0.1848	0.1548	29.4095	11.3494	8.4276	31.5235	30.5932	6.5634	0.9383	5.4504	1.1821	0.0000	0.0000	0.0000	0.0000	1.4359	7.2816
20	-0.7536	-0.6280	0.5710	0.0000	0.3829	0.0000	0.0662	0.1218	29.0632	19.5974	28.9421	35.0532	41.0160	1.6462	0.9315	5.7526	1.0134	0.0000	0.0000	0.0000	0.0000	4.5209	28.3306
21	-0.6280	-0.5024	0.9459	2.0000	0.7989	0.0000	0.0777	0.0693	29.1816	36.0054	28.2150	46.3460	40.5913	35.5376	0.9171	5.5636	1.2941	0.0000	0.0000	0.0000	0.0000	5.8583	16.7808
