Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	4.3545	6.0000	3.8925	0.0117	0.3672	0.0830	15.6498	8.9958	7.6282	18.0510	17.4099	1.0303	0.9150	6.0511	1.1480	0.0000	0.0000	0.0000	0.0000	1.2419	6.4907
2	-3.0144	-2.8888	4.5006	7.0000	4.2279	0.0000	0.0000	0.2726	14.6695	9.1855	7.9197	17.3080	16.6708	3.3701	0.9523	7.1157	1.3335	0.0000	0.0000	0.0000	0.0000	0.0266	4.4382
3	-2.8888	-2.7632	3.1695	6.0000	2.8902	0.0569	0.0548	0.1676	14.8569	10.5252	8.1344	18.2074	16.9380	5.0396	0.9380	5.7152	1.3345	0.0000	0.0000	0.0000	0.0000	0.5780	8.2205
4	-2.7632	-2.6376	4.2507	6.0000	3.8679	0.1019	0.1130	0.1678	12.2891	7.2623	9.8530	14.2746	15.7513	2.8862	0.9658	6.9289	1.4243	0.0000	0.0000	0.0000	0.0000	3.3437	5.4906
5	-2.6376	-2.5120	4.3833	8.0000	4.2064	0.0563	0.0096	0.1110	12.2114	8.2453	9.4070	14.7344	15.4146	4.2004	0.9167	6.1358	1.1735	0.0000	0.0000	0.0000	0.0000	1.5295	5.9064
6	-2.5120	-2.3864	3.0891	4.0000	2.8627	0.0266	0.0629	0.1369	14.2486	6.7932	7.5620	15.7851	16.1309	0.2758	0.9489	6.1409	1.2217	0.0000	0.0000	0.0000	0.0000	1.1927	4.2144
7	-2.3864	-2.2608	4.1058	8.0000	3.7211	0.0336	0.2161	0.1350	12.8068	8.4252	8.1029	15.3296	15.1549	3.0171	0.9510	6.7867	1.2868	0.0000	0.0000	0.0000	0.0000	0.2447	4.3140
8	-2.2608	-2.1352	4.1752	5.0000	3.8752	0.0000	0.1716	0.1283	14.1512	13.2811	6.7167	19.4073	15.6643	2.1485	0.9215	5.9014	1.1746	0.0000	0.0000	0.0000	0.0000	8.4805	8.1672
9	-2.1352	-2.0096	4.0254	6.0000	3.8811	0.0029	0.0131	0.1284	13.0230	9.0193	7.0180	15.8413	14.7936	2.4172	0.9051	6.4421	1.1698	0.0000	0.0000	0.0000	0.0000	0.1062	6.0088
10	-2.0096	-1.8840	3.0947	7.0000	2.7208	0.0000	0.1887	0.1852	13.6779	5.5285	6.3907	14.7530	15.0973	1.1267	0.9220	5.0784	1.2376	0.0000	0.0000	0.0000	0.0000	2.6526	2.6726
11	-1.8840	-1.7584	5.6559	5.0000	5.2625	0.1216	0.1164	0.1553	12.4865	8.4733	9.1723	15.0901	15.4934	5.6047	0.9590	6.5684	1.2349	0.0000	0.0000	0.0000	0.0000	1.2832	3.0513
12	-1.7584	-1.6328	3.8496	10.0000	3.5065	0.1433	0.0515	0.1483	19.2608	32.1997	7.0594	37.5207	20.5138	8.3014	0.9256	5.8080	1.2502	0.0000	0.0000	0.0000	0.0000	0.0788	30.5245
13	-1.6328	-1.5072	4.9351	6.0000	4.7121	0.0271	0.0479	0.1480	18.9802	7.7227	8.0120	20.4911	20.6019	2.7932	0.9081	5.7316	0.9445	0.0000	0.0000	0.0000	0.0000	2.1344	4.6067
14	-1.5072	-1.3816	4.2862	7.0000	3.9992	0.0139	0.1175	0.1556	12.1503	6.6892	10.1433	13.8699	15.8277	4.6845	0.9059	5.8185	0.9888	0.0000	0.0000	0.0000	0.0000	4.8732	4.9107
15	-1.3816	-1.2560	5.2627	7.0000	5.0086	0.0431	0.1096	0.1015	21.3471	11.1253	16.6442	24.0722	27.0690	7.6429	0.9587	7.9578	1.0542	0.0000	0.0000	0.0000	0.0000	1.8151	13.1462
16	-1.2560	-1.1304	4.2520	9.0000	3.9915	0.0000	0.1168	0.1437	13.5538	12.4452	11.5560	18.4008	17.8114	6.4236	0.9330	6.4941	1.3540	0.0000	0.0000	0.0000	0.0000	0.0655	8.2912
17	-1.1304	-1.0048	2.9156	8.0000	2.7779	0.0484	0.0017	0.0876	14.1836	45.0223	7.7134	47.2037	16.1453	2.5799	0.9257	6.6620	1.1051	0.0000	0.0000	0.0000	0.0000	2.8891	44.3613
18	-1.0048	-0.8792	4.5837	12.0000	4.2759	0.0404	0.1334	0.1341	12.3901	9.6561	9.4318	15.7084	15.5716	4.3547	0.9272	6.8669	1.2274	0.0000	0.0000	0.0000	0.0000	0.0401	4.9754
19	-0.8792	-0.7536	4.4856	5.0000	4.1060	0.1217	0.0770	0.1809	18.6288	13.9704	8.1242	23.2853	20.3233	5.6866	0.9177	6.2039	1.0589	0.0000	0.0000	0.0000	0.0000	0.0000	11.0628
