Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
2	-2.4000	-2.3000	295.8799	423.0000	264.7057	21.5387	1.0388	8.5967	2.6267	10.3059	7.6534	10.6353	8.0916	0.7648	0.0000	0.0000	0.0000	0.1701	0.0000	0.5132	0.2309	0.6303	10.2412
3	-2.3000	-2.2000	325.6549	438.0000	293.7065	21.8283	0.7413	9.3788	2.5244	8.1181	9.8682	8.5015	10.1860	0.7320	0.0000	0.0000	0.0000	0.1842	0.0000	0.5280	0.2394	0.5532	9.8335
4	-2.2000	-2.1000	348.4748	475.0000	313.0333	24.9365	1.0161	9.4889	2.4161	8.2010	8.0213	8.5495	8.3773	1.3492	0.0000	0.0000	0.0000	0.1942	0.0000	0.5403	0.2429	0.4038	8.0982
5	-2.1000	-2.0000	361.6376	501.0000	326.9902	23.6399	0.7842	10.2233	2.2382	6.9606	8.4299	7.3116	8.7219	0.3117	0.0000	0.0000	0.0000	0.1961	0.0000	0.5536	0.2460	0.5278	8.3891
6	-2.0000	-1.9000	411.5185	520.0000	372.5854	26.2424	0.5533	12.1373	2.3075	4.2573	5.5850	4.8425	6.0429	1.2624	0.0000	0.0000	0.0000	0.2008	0.0000	0.5669	0.2523	0.3787	5.5188
7	-1.9000	-1.8000	415.3439	579.0000	375.2438	25.6544	0.7609	13.6848	1.9674	5.3356	3.8074	5.6868	4.2857	0.2933	0.0000	0.0000	0.0000	0.2072	0.0000	0.5913	0.2611	0.2380	5.2816
8	-1.8000	-1.7000	481.6763	531.0000	439.7919	25.5932	1.3167	14.9745	2.0062	4.3066	4.2989	4.7509	4.7439	1.2145	0.0000	0.0000	0.0000	0.2157	0.0000	0.6040	0.2635	0.1615	4.2140
9	-1.7000	-1.6000	478.0480	544.0000	435.0937	26.6319	1.0352	15.2871	1.7942	3.8676	4.3483	4.2635	4.7039	0.4984	0.0000	0.0000	0.0000	0.2220	0.0000	0.6174	0.2674	0.1890	4.2573
10	-1.6000	-1.5000	518.8788	588.0000	473.7863	27.4680	1.4788	16.1456	1.8300	5.0887	4.0347	5.4077	4.4303	0.6952	0.0000	0.0000	0.0000	0.2281	0.0000	0.6305	0.2752	0.6048	4.9948
11	-1.5000	-1.4000	534.0556	586.0000	491.8174	23.9180	1.3164	17.0037	1.8133	3.2891	4.2296	3.7558	4.6019	0.5830	0.0000	0.0000	0.0000	0.2324	0.0000	0.6493	0.2771	0.6743	4.0782
12	-1.4000	-1.3000	533.0443	651.0000	489.3706	24.9014	1.0784	17.6939	1.7545	6.8085	6.5045	7.0310	6.7369	0.3491	0.0000	0.0000	0.0000	0.2283	0.0000	0.6477	0.2760	0.4108	6.7515
13	-1.3000	-1.2000	520.2871	631.0000	478.6044	23.4251	0.8354	17.4222	1.6732	6.6147	6.5167	6.8230	6.7281	0.6494	0.0000	0.0000	0.0000	0.2372	0.0000	0.6724	0.2839	0.2527	6.5520
14	-1.2000	-1.1000	563.4275	635.0000	518.2951	24.8329	1.3427	18.9568	1.6128	6.1483	4.8852	6.3563	5.1446	0.3450	0.0000	0.0000	0.0000	0.2514	0.0000	0.6787	0.2885	0.3127	6.0904
15	-1.1000	-1.0000	592.9016	651.0000	546.3945	25.2582	1.0471	20.2018	1.6695	6.1060	6.0541	6.3301	6.2800	0.9335	0.0000	0.0000	0.0000	0.2466	0.0000	0.7072	0.2921	0.3071	5.9751
16	-1.0000	-0.9000	566.1387	667.0000	522.6263	22.8668	0.7862	19.8594	1.4817	7.5055	5.6001	7.6503	5.7928	0.1596	0.0000	0.0000	0.0000	0.2394	0.0000	0.7123	0.2875	0.1593	7.4588
17	-0.9000	-0.8000	602.1722	689.0000	557.7646	23.0453	1.5522	19.8101	1.5107	5.9588	5.6172	6.1473	5.8168	0.2199	0.0000	0.0000	0.0000	0.2502	0.0000	0.7210	0.2967	0.1032	5.9022
18	-0.8000	-0.7000	580.5831	626.0000	539.1876	19.5051	1.2411	20.6494	1.3958	5.8115	5.5788	5.9768	5.7508	0.7223	0.0000	0.0000	0.0000	0.2557	0.0000	0.7580	0.2981	0.1997	5.6994
