Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	497.7385	577.0000	456.1313	22.6672	1.2090	17.7310	1.8117	5.9982	5.7211	6.2658	6.0011	1.5293	0.0000	0.0000	0.0000	0.2368	0.0000	0.6741	0.2809	0.0854	5.7489
2	-3.0144	-2.8888	497.4298	575.0000	456.6530	22.4114	1.0461	17.3194	1.6064	5.4518	7.0370	5.6835	7.2181	0.3673	0.0000	0.0000	0.0000	0.2394	0.0000	0.6908	0.2894	0.4322	6.9787
3	-2.8888	-2.7632	520.2132	550.0000	480.2585	22.4539	0.5098	16.9910	1.8241	6.3157	6.1670	6.5738	6.4311	1.2052	0.0000	0.0000	0.0000	0.2362	0.0000	0.6730	0.2794	0.2344	6.1477
4	-2.7632	-2.6376	510.3117	596.0000	471.2123	20.9488	0.7580	17.3927	1.6974	6.4862	6.5337	6.7046	6.7506	0.0690	0.0000	0.0000	0.0000	0.2187	0.0000	0.6678	0.2713	0.1849	6.4877
5	-2.6376	-2.5120	477.3393	548.0000	438.4293	21.4298	1.1330	16.3472	1.7472	6.3450	5.9158	6.5811	6.1684	0.5728	0.0000	0.0000	0.0000	0.2469	0.0000	0.6852	0.2869	0.3568	6.2879
6	-2.5120	-2.3864	490.7404	569.0000	451.7462	21.9455	0.7332	16.3154	1.7043	6.4786	6.0386	6.6991	6.2745	0.5098	0.0000	0.0000	0.0000	0.2408	0.0000	0.6875	0.2871	0.1545	6.4090
7	-2.3864	-2.2608	500.2174	554.0000	461.0355	20.9331	1.1329	17.1159	1.7070	6.0945	5.8322	6.3290	6.0769	0.3535	0.0000	0.0000	0.0000	0.2409	0.0000	0.6900	0.2847	0.1947	6.0305
8	-2.2608	-2.1352	489.6432	603.0000	449.0845	22.8441	1.0613	16.6533	1.6396	7.1675	7.9764	7.3526	8.1431	0.0951	0.0000	0.0000	0.0000	0.2361	0.0000	0.6820	0.2852	0.5327	7.9348
9	-2.1352	-2.0096	496.3554	559.0000	455.6218	22.5057	1.1943	17.0336	1.6790	5.6818	4.8923	5.9246	5.1724	0.0728	0.0000	0.0000	0.0000	0.2407	0.0000	0.6820	0.2834	0.5552	5.6010
10	-2.0096	-1.8840	493.6457	584.0000	453.8441	22.2713	0.7754	16.7548	1.6999	6.0153	5.2781	6.2508	5.5450	0.6978	0.0000	0.0000	0.0000	0.2502	0.0000	0.6872	0.2866	0.0157	5.9228
