Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
2	50.0000	100.0000	5052.9920	6227.0000	4445.0627	500.6620	15.0818	92.1855	0.5771	8.0847	7.8059	8.1053	7.8272	0.0692	0.0000	0.0000	0.0000	0.1746	0.0000	0.3663	0.2394	0.3376	8.0652
3	100.0000	150.0000	6716.2578	8115.0000	6161.1318	355.7823	15.3131	184.0306	0.5006	6.6027	6.5755	6.6216	6.5946	0.0228	0.0000	0.0000	0.0000	0.1732	0.0000	0.5394	0.2302	0.2035	6.5711
4	150.0000	200.0000	5071.0938	6028.0000	4745.0306	131.8649	9.6712	184.5271	0.5495	5.8834	5.8616	5.9090	5.8873	0.1691	0.0000	0.0000	0.0000	0.1842	0.0000	0.6871	0.2344	0.2225	5.8289
5	200.0000	250.0000	3492.7357	3917.0000	3287.9265	47.4387	5.5143	151.8562	0.6112	4.9901	5.2168	5.0274	5.2525	0.6158	0.0000	0.0000	0.0000	0.3020	0.0000	0.9039	0.3219	0.1025	5.0821
6	250.0000	300.0000	2109.2448	2208.0000	1987.1093	18.3302	1.8032	102.0022	0.7357	4.8911	4.8007	4.9461	4.8567	0.2818	0.0000	0.0000	0.0000	0.2821	0.0000	0.8593	0.3094	0.1867	4.7882
7	300.0000	350.0000	1142.0624	1208.0000	1076.2042	6.3078	0.8434	58.7070	0.8452	3.3417	3.5509	3.4469	3.6501	0.1499	0.0000	0.0000	0.0000	0.2725	0.0000	0.8285	0.3027	0.1140	3.4291
8	350.0000	400.0000	589.0245	617.0000	554.4307	2.5909	0.5520	31.4510	1.0813	2.2684	2.4627	2.5129	2.6896	0.4867	0.0000	0.0000	0.0000	0.2563	0.0000	0.8035	0.2938	0.1578	2.2384
9	400.0000	450.0000	286.6398	287.0000	268.5021	1.3401	0.2192	16.5783	1.4823	2.2355	2.5762	2.6823	2.9721	0.7222	0.0000	0.0000	0.0000	0.2450	0.0000	0.7771	0.2868	0.1519	2.4182
10	450.0000	500.0000	146.8119	129.0000	136.9314	0.6962	0.0989	9.0855	2.0299	5.8857	5.9229	6.2259	6.2611	0.6834	0.0000	0.0000	0.0000	2.6050	0.0000	4.4942	2.4122	0.1492	1.4961
11	500.0000	550.0000	77.5066	70.0000	72.4808	0.3049	0.0145	4.7063	2.7078	5.8577	5.9094	6.4533	6.5002	0.3359	0.0000	0.0000	0.0000	2.5887	0.0000	4.4839	2.4042	0.2344	1.5288
12	550.0000	600.0000	38.5622	27.0000	36.1119	0.1431	0.0000	2.3072	3.5444	6.0297	5.9026	6.9943	6.8850	1.3368	0.0000	0.0000	0.0000	2.6105	0.0000	4.4675	2.4060	0.1026	1.4133
13	600.0000	650.0000	20.6380	16.0000	19.3912	0.0360	0.0000	1.2108	4.6614	6.1016	5.9713	7.6784	7.5753	1.3852	0.0000	0.0000	0.0000	2.5526	0.0000	4.3896	2.3884	0.2279	1.9548
14	650.0000	700.0000	11.2653	12.0000	10.4625	0.0000	0.0001	0.8027	5.3600	5.4944	5.4827	7.6758	7.6675	0.3494	0.0000	0.0000	0.0000	2.4527	0.0000	4.3243	2.2975	0.0978	0.4582
15	700.0000	750.0000	6.1633	3.0000	5.5245	0.1005	0.0000	0.5383	6.2682	5.6618	5.8534	8.4467	8.5763	0.4019	0.0000	0.0000	0.0000	2.5790	0.0000	4.3863	2.3953	0.0441	1.6211
16	750.0000	800.0000	2.5275	2.0000	2.3805	0.0000	0.0000	0.1470	6.8707	6.2884	5.8692	9.3140	9.0363	1.5284	0.0000	0.0000	0.0000	2.6389	0.0000	4.5247	2.4601	0.3320	1.9263
17	800.0000	850.0000	1.7052	0.0000	1.6478	0.0000	0.0000	0.0574	7.9725	6.2678	7.3463	10.1413	10.8410	4.5417	0.0000	0.0000	0.0000	2.5101	0.0000	4.3066	2.3108	0.2870	1.7960
18	850.0000	900.0000	0.9218	0.0000	0.8504	0.0078	0.0000	0.0636	10.8671	12.9544	9.2638	16.9089	14.2798	11.6230	0.0000	0.0000	0.0000	2.5988	0.0000	4.4698	2.4449	0.0552	0.7434
19	900.0000	950.0000	0.3257	0.0000	0.3187	0.0000	0.0000	0.0070	14.6136	7.1491	5.7057	16.2686	15.6880	4.5521	0.0000	0.0000	0.0000	2.5526	0.0000	4.2553	2.3771	0.0293	0.3376
20	950.0000	1000.0000	0.4265	0.0000	0.3878	0.0000	0.0000	0.0387	26.3432	6.1736	6.6568	27.0569	27.1712	2.5504	0.0000	0.0000	0.0000	2.9500	0.0000	4.6602	2.7331	0.0612	0.4712
