Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-2.8260	3.1837	3.0000	0.3375	0.3706	2.1670	0.3087	17.3196	10.2870	9.3643	20.1443	19.6891	10.2555	0.0135	0.0000	0.0000	0.2752	0.0000	0.7053	0.2690	0.0000	0.0000
2	-2.8260	-2.5120	2.4074	3.0000	0.1154	0.2573	1.9393	0.0953	17.2493	9.0874	7.0419	19.4966	18.6313	9.0410	0.0022	0.0000	0.0000	0.3683	0.0000	0.7675	0.3429	0.0000	0.0000
3	-2.5120	-2.1980	3.2931	7.0000	0.0555	0.6216	2.2910	0.3250	12.6885	0.8082	0.8277	12.7142	12.7155	0.2749	0.0032	0.0000	0.0000	0.2605	0.0000	0.6864	0.2654	0.0000	0.0038
4	-2.1980	-1.8840	3.2811	4.0000	0.0593	0.6007	2.2672	0.3539	14.2493	1.1989	0.8532	14.2996	14.2748	0.8423	0.0044	0.0000	0.0000	0.2913	0.0000	0.7502	0.2832	0.0000	0.0000
5	-1.8840	-1.5700	2.3709	0.0000	0.1271	0.3015	1.6420	0.3003	15.4410	1.8210	3.0735	15.5480	15.7439	2.8497	0.0003	0.0000	0.0000	0.4539	0.0000	0.9639	0.4363	0.0000	0.0000
6	-1.5700	-1.2560	3.0936	2.0000	0.2108	0.3716	2.2902	0.2210	13.9966	0.8345	1.1286	14.0214	14.0420	0.7598	0.0032	0.0000	0.0000	0.2984	0.0000	0.7210	0.2959	0.0000	0.0085
7	-1.2560	-0.9420	2.6621	3.0000	0.1309	0.6161	1.6701	0.2450	16.9956	4.9247	4.2892	17.6947	17.5285	4.1343	0.0108	0.0000	0.0000	0.4157	0.0000	0.9827	0.4074	0.0144	2.9992
8	-0.9420	-0.6280	3.2753	0.0000	0.2783	0.4826	2.3828	0.1316	16.6148	0.8528	1.8466	16.6367	16.7171	1.6384	0.0112	0.0000	0.0000	0.3054	0.0000	0.7298	0.3156	0.0039	0.0407
9	-0.6280	-0.3140	1.9655	4.0000	0.1059	0.3550	1.3867	0.1179	14.9037	4.7627	4.0487	15.6462	15.4439	4.7148	0.0142	0.0000	0.0000	0.2339	0.0000	0.5804	0.2478	0.0000	0.0000
10	-0.3140	0.0000	2.6462	4.0000	0.2575	0.2120	1.9829	0.1938	15.1972	4.2382	0.7458	15.7771	15.2155	4.1740	0.0008	0.0000	0.0000	0.2495	0.0000	0.6435	0.2518	0.0000	0.0000
11	0.0000	0.3140	3.3074	3.0000	0.1750	0.6655	2.2974	0.1695	15.3502	1.9569	1.3899	15.4744	15.4130	1.7488	0.0005	0.0000	0.0000	0.2767	0.0000	0.7822	0.2875	0.0000	0.0000
12	0.3140	0.6280	4.0326	2.0000	0.3762	1.0035	2.4395	0.2133	22.4380	0.4859	2.0407	22.4433	22.5307	1.9821	0.0042	0.0000	0.0000	0.1429	0.0000	0.4360	0.1597	0.0000	0.0000
13	0.6280	0.9420	3.7679	2.0000	0.1479	0.5194	2.9176	0.1831	15.9601	2.4959	4.7274	16.1541	16.6455	4.6973	0.0000	0.0000	0.0000	0.1704	0.0000	0.4762	0.1657	0.0000	0.0141
14	0.9420	1.2560	3.0686	3.0000	0.1671	0.3022	2.4638	0.1354	15.3174	1.0241	2.2599	15.3516	15.4832	2.0145	0.0066	0.0000	0.0000	0.3947	0.0000	0.8684	0.3725	0.0000	0.0000
15	1.2560	1.5700	2.3965	4.0000	0.2485	0.3960	1.2191	0.5329	15.0946	0.9225	1.4223	15.1228	15.1615	1.0821	0.0002	0.0000	0.0000	0.3944	0.0000	0.7607	0.3419	0.0007	0.0333
16	1.5700	1.8840	2.9482	3.0000	0.3511	0.2007	2.2493	0.1471	16.3634	2.5148	5.0638	16.5555	17.1290	4.9246	0.0051	0.0000	0.0000	0.4372	0.0000	1.0012	0.4432	0.0000	0.0000
17	1.8840	2.1980	3.8489	3.0000	0.1895	0.3010	3.1475	0.2110	15.3624	0.9304	1.3984	15.3905	15.4259	1.1066	0.0006	0.0000	0.0000	0.3376	0.0000	0.7145	0.3251	0.0175	0.3680
18	2.1980	2.5120	3.1407	2.0000	0.1586	0.4492	2.3492	0.1838	17.2227	0.9350	1.6819	17.2481	17.3047	1.3980	0.0162	0.0000	0.0000	0.3580	0.0000	0.7986	0.3287	0.0000	0.0005
19	2.5120	2.8260	2.6284	0.0000	0.3336	0.1910	1.8363	0.2674	17.7733	5.7171	7.5137	18.6702	19.2963	7.4413	0.0057	0.0000	0.0000	0.4407	0.0000	0.8514	0.4051	0.0000	0.0000
20	2.8260	3.1400	3.1343	2.0000	0.1222	0.5902	2.0610	0.3609	13.4553	3.9506	4.7003	14.0233	14.2526	4.4990	0.0047	0.0000	0.0000	0.4810	0.0000	1.0516	0.4717	0.3821	0.3821
