Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-5.0000	-4.5000	0.2065	0.0000	0.0000	0.1719	0.0000	0.0345	37.3175	2.5275	2.6898	37.4030	37.4144	0.9204	0.4258	2.3671	0.7767	0.0000	0.0000	0.0000	0.0000	0.0000	0.0235
2	-4.5000	-4.0000	0.9803	1.0000	0.0002	0.7692	0.0945	0.1165	22.6067	9.1356	8.0080	24.3828	23.9831	8.5721	0.4283	3.0246	0.8038	0.0000	0.0000	0.0000	0.0000	0.0000	4.9151
3	-4.0000	-3.5000	2.8588	4.0000	0.0361	2.3615	0.2328	0.2284	12.9398	3.1574	3.3982	13.3195	13.3786	1.2466	0.4213	3.0217	0.8131	0.0000	0.0000	0.0000	0.0000	0.1568	0.0000
4	-3.5000	-3.0000	5.2127	3.0000	0.0597	4.3058	0.3999	0.4472	8.8809	4.3852	4.6529	9.9046	10.0260	3.5137	0.4202	2.5985	0.7811	0.0000	0.0000	0.0000	0.0000	0.6572	1.3272
5	-3.0000	-2.5000	8.6804	7.0000	0.0991	7.5889	0.6355	0.3568	7.4290	2.7582	3.5493	7.9245	8.2334	0.7267	0.4207	2.5956	0.8186	0.0000	0.0000	0.0000	0.0000	0.2979	2.0968
6	-2.5000	-2.0000	10.4627	8.0000	0.0213	9.4982	0.4589	0.4843	6.4619	5.8554	4.6530	8.7202	7.9628	5.1797	0.4176	2.3950	0.7626	0.0000	0.0000	0.0000	0.0000	0.4787	0.8577
7	-2.0000	-1.5000	11.5867	10.0000	0.0037	10.4897	0.8687	0.2246	6.1888	2.7860	2.6939	6.7869	6.7496	0.8628	0.4146	2.3374	0.7670	0.0000	0.0000	0.0000	0.0000	0.3244	0.8296
8	-1.5000	-1.0000	13.2322	8.0000	0.0198	11.5904	1.1641	0.4579	5.8840	3.0138	3.0884	6.6109	6.6453	1.8503	0.4124	2.2522	0.7187	0.0000	0.0000	0.0000	0.0000	0.4218	0.6795
9	-1.0000	-0.5000	9.0455	14.0000	0.0288	8.0749	0.6032	0.3386	7.3267	2.4425	3.8457	7.7231	8.2746	3.0371	0.4126	2.1072	0.6919	0.0000	0.0000	0.0000	0.0000	0.3694	0.5829
10	-0.5000	0.0000	8.4447	7.0000	0.0120	7.2288	0.8083	0.3957	7.3214	3.4145	2.7375	8.0785	7.8164	2.4135	0.4117	2.2566	0.6517	0.0000	0.0000	0.0000	0.0000	0.5182	0.6208
11	0.0000	0.5000	8.3860	6.0000	0.0102	7.3840	0.8172	0.1746	7.6341	2.9102	2.9469	8.1700	8.1831	1.6065	0.4100	2.3549	0.6241	0.0000	0.0000	0.0000	0.0000	0.0000	0.5813
12	0.5000	1.0000	9.4832	8.0000	0.0133	8.3299	0.8511	0.2889	6.9350	4.5805	4.9664	8.3111	8.5299	4.3776	0.4101	2.1892	0.7351	0.0000	0.0000	0.0000	0.0000	0.0000	0.8363
13	1.0000	1.5000	11.3388	9.0000	0.0128	10.0229	0.9825	0.3207	6.3431	3.2798	2.5329	7.1409	6.8301	1.6811	0.4065	2.3312	0.6471	0.0000	0.0000	0.0000	0.0000	0.2279	1.3642
14	1.5000	2.0000	12.3384	7.0000	0.0938	10.7376	1.0057	0.5012	6.2351	2.8114	2.7870	6.8397	6.8296	0.6020	0.4161	2.4839	0.7041	0.0000	0.0000	0.0000	0.0000	0.4534	0.9024
15	2.0000	2.5000	12.2322	9.0000	0.0468	10.5275	1.0938	0.5641	6.0077	4.2169	3.4324	7.3400	6.9191	3.1906	0.4146	2.6229	0.7146	0.0000	0.0000	0.0000	0.0000	0.1976	1.0067
16	2.5000	3.0000	8.3579	4.0000	0.0096	7.3925	0.5846	0.3711	7.4189	3.2071	4.0397	8.0824	8.4474	2.7450	0.4148	2.6756	0.7115	0.0000	0.0000	0.0000	0.0000	0.0000	0.9731
17	3.0000	3.5000	4.9616	4.0000	0.0026	4.3972	0.2663	0.2954	9.1170	2.7958	2.6896	9.5360	9.5054	0.4967	0.4212	2.5114	0.8453	0.0000	0.0000	0.0000	0.0000	0.4303	0.4303
18	3.5000	4.0000	2.5596	1.0000	0.0132	1.9680	0.2631	0.3153	12.2234	3.3874	4.1649	12.6841	12.9135	1.8824	0.4147	3.0836	0.7386	0.0000	0.0000	0.0000	0.0000	0.0000	1.8912
19	4.0000	4.5000	0.8950	1.0000	0.0001	0.7127	0.0379	0.1442	19.5513	3.2983	4.3387	19.8276	20.0269	2.9590	0.4422	2.9556	1.0663	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
20	4.5000	5.0000	0.5175	0.0000	0.0045	0.2683	0.1871	0.0576	30.6814	4.1509	4.5626	30.9609	31.0188	2.0399	0.4405	3.9533	0.9130	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
