Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
11	50.0000	55.0000	2.1667	3.0000	0.0134	1.4632	0.6149	0.0752	14.1956	4.6125	4.6374	14.9261	14.9338	0.2864	0.4213	2.7175	0.8285	0.0000	0.0000	0.0000	0.0000	2.5745	3.4819
12	55.0000	60.0000	4.7560	7.0000	0.0378	3.3249	0.8544	0.5388	10.0876	7.3688	10.0364	12.4923	14.2299	9.6118	0.4216	2.5280	0.7230	0.0000	0.0000	0.0000	0.0000	0.7026	0.8708
13	60.0000	65.0000	4.9949	4.0000	0.0209	3.6619	0.9449	0.3672	9.7836	2.9870	2.8053	10.2294	10.1778	0.4839	0.4193	2.6523	0.6959	0.0000	0.0000	0.0000	0.0000	0.0153	0.9965
14	65.0000	70.0000	5.4425	2.0000	0.0096	4.4240	0.8525	0.1563	9.3415	3.2778	3.2747	9.8999	9.8989	1.3055	0.4343	2.8087	0.8581	0.0000	0.0000	0.0000	0.0000	0.0000	0.9167
15	70.0000	75.0000	5.6917	5.0000	0.0277	4.4551	0.9471	0.2618	8.7250	3.1804	3.0300	9.2866	9.2362	0.8321	0.4125	2.7736	0.7382	0.0000	0.0000	0.0000	0.0000	0.7014	0.8792
16	75.0000	80.0000	6.2436	3.0000	0.0072	5.2175	0.6773	0.3415	8.2437	3.0156	4.9384	8.7780	9.6097	1.7835	0.4165	2.7981	0.7337	0.0000	0.0000	0.0000	0.0000	0.1387	3.5562
17	80.0000	85.0000	6.5464	4.0000	0.0054	5.3395	0.8888	0.3128	8.0963	3.4541	3.5096	8.8023	8.8242	2.0941	0.4198	2.6337	0.7493	0.0000	0.0000	0.0000	0.0000	0.3593	1.5250
18	85.0000	90.0000	4.9478	2.0000	0.0096	3.9989	0.7588	0.1805	9.7945	3.2839	2.8636	10.3303	10.2045	0.9587	0.4190	2.6390	0.8135	0.0000	0.0000	0.0000	0.0000	1.4359	0.6315
19	90.0000	95.0000	5.3699	1.0000	0.0029	4.7665	0.3455	0.2550	8.8257	4.7140	2.9862	10.0057	9.3172	3.2207	0.4160	2.7987	0.7655	0.0000	0.0000	0.0000	0.0000	0.0000	1.8048
20	95.0000	100.0000	5.8766	4.0000	0.0031	4.8619	0.7469	0.2647	8.7641	3.2363	3.3791	9.3425	9.3929	1.7411	0.4150	2.4633	0.7613	0.0000	0.0000	0.0000	0.0000	0.9831	1.6393
21	100.0000	105.0000	4.5827	7.0000	0.0086	4.0459	0.2590	0.2693	9.8761	2.7322	3.1603	10.2470	10.3694	1.9647	0.4187	2.2688	0.8762	0.0000	0.0000	0.0000	0.0000	0.0000	0.7140
22	105.0000	110.0000	3.9595	4.0000	0.0609	3.1503	0.4634	0.2849	10.2457	3.2423	2.5896	10.7465	10.5679	0.8715	0.4240	2.4247	0.7729	0.0000	0.0000	0.0000	0.0000	0.6527	1.6342
23	110.0000	115.0000	4.3286	3.0000	0.0380	3.9338	0.2521	0.1047	10.3263	3.3664	3.7541	10.8612	10.9876	1.3383	0.4231	2.9602	0.7907	0.0000	0.0000	0.0000	0.0000	0.0000	1.6538
24	115.0000	120.0000	4.5177	7.0000	0.0019	3.9904	0.3221	0.2033	9.8023	3.9884	4.5588	10.5827	10.8106	3.5510	0.4151	2.2249	0.7635	0.0000	0.0000	0.0000	0.0000	0.0000	1.5709
25	120.0000	125.0000	4.2714	2.0000	0.0013	4.0369	0.1457	0.0875	9.9972	3.7709	2.9858	10.6847	10.4336	1.4806	0.4145	2.4566	0.7184	0.0000	0.0000	0.0000	0.0000	1.3098	2.4044
26	125.0000	130.0000	3.8669	2.0000	0.0007	3.4587	0.1704	0.2371	10.3739	2.6232	2.9934	10.7004	10.7972	1.0938	0.4140	2.4846	0.7245	0.0000	0.0000	0.0000	0.0000	0.6687	0.6687
27	130.0000	135.0000	3.0929	2.0000	0.0044	2.9167	0.0967	0.0750	12.2787	2.9401	2.8361	12.6258	12.6020	0.9718	0.4079	2.6684	0.6429	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
28	135.0000	140.0000	3.5293	1.0000	0.0012	3.1677	0.1752	0.1852	11.2613	6.1169	4.3516	12.8153	12.0728	5.5456	0.4153	2.4282	0.7715	0.0000	0.0000	0.0000	0.0000	0.0000	1.3124
29	140.0000	145.0000	3.1616	6.0000	0.0014	2.8871	0.2302	0.0429	11.7916	4.8422	5.4467	12.7471	12.9888	5.0432	0.4088	1.9143	0.6330	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
30	145.0000	150.0000	2.8662	2.0000	0.0911	2.5781	0.0334	0.1636	13.3986	2.9105	4.0324	13.7110	13.9922	2.9847	0.4208	2.5622	0.7806	0.0000	0.0000	0.0000	0.0000	0.7449	0.7513
31	150.0000	155.0000	2.9549	4.0000	0.0003	2.9028	0.0570	-0.0052	12.4206	6.1417	2.7180	13.8561	12.7145	5.7840	0.4107	1.8947	0.7123	0.0000	0.0000	0.0000	0.0000	0.0000	0.6183
32	155.0000	160.0000	2.4774	3.0000	0.0023	2.2203	0.1545	0.1004	13.8065	9.6375	8.8240	16.8375	16.3854	9.3827	0.4141	1.7525	0.7442	0.0000	0.0000	0.0000	0.0000	0.7250	2.2463
33	160.0000	165.0000	2.8113	1.0000	0.0002	2.3707	0.2513	0.1891	12.9561	2.8699	3.3317	13.2701	13.3776	2.4230	0.4130	2.1484	0.6658	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
34	165.0000	170.0000	2.7306	1.0000	0.0007	2.6489	0.0278	0.0532	11.9951	4.7539	3.1467	12.9028	12.4010	4.0398	0.4119	2.3608	0.7323	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
35	170.0000	175.0000	2.2784	1.0000	0.0011	2.1509	0.1137	0.0128	14.0582	2.7688	2.5227	14.3283	14.2828	1.1412	0.4069	2.4061	0.6396	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
36	175.0000	180.0000	1.9517	1.0000	0.0010	1.8349	0.0727	0.0431	15.8021	3.6548	4.8506	16.2193	16.5299	3.9956	0.4195	2.5948	0.8089	0.0000	0.0000	0.0000	0.0000	0.2954	0.2954
37	180.0000	185.0000	2.3090	0.0000	0.0001	2.1870	0.0715	0.0505	14.8634	2.4550	4.8876	15.0648	15.6464	4.3483	0.4124	2.0794	0.6980	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
38	185.0000	190.0000	2.3761	0.0000	0.0930	1.9959	0.2093	0.0778	14.1543	2.5451	2.4787	14.3813	14.3697	0.5777	0.4162	2.3444	0.6890	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
39	190.0000	195.0000	1.8625	3.0000	0.0005	1.8374	0.0002	0.0244	14.9300	5.8654	5.2929	16.0408	15.8405	5.2177	0.4043	2.5700	0.6405	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
