Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	0.0000	5.0000	0.0607	221.0000	0.0000	0.0596	0.0000	0.0011	73.6686	8.2720	7.5373	74.1315	74.0532	8.2442	0.1259	0.0000	0.0000	0.2251	0.0000	0.5823	0.2304	0.0000	0.0000
2	5.0000	10.0000	0.2562	0.0000	0.0000	0.2275	0.0000	0.0287	44.4498	9.2811	7.5245	45.4084	45.0822	9.2297	0.0302	0.0000	0.0000	0.2796	0.0000	0.8945	0.2666	0.0000	0.0000
3	10.0000	15.0000	0.4294	0.0000	0.0003	0.3076	0.0531	0.0685	30.3716	22.7931	14.6111	37.9732	33.7034	22.7422	0.0592	0.0000	0.0000	0.2721	0.0000	0.7262	0.2952	0.0396	1.2755
4	15.0000	20.0000	1.2729	0.0000	0.0077	1.1146	0.0925	0.0582	16.1740	49.1652	31.6082	51.7573	35.5060	49.1523	0.0482	0.0000	0.0000	0.3806	0.0000	0.9909	0.3754	0.0000	0.6523
5	20.0000	25.0000	9.8434	0.0000	0.2415	7.9093	1.5208	0.1718	7.0692	41.9581	29.3214	42.5494	30.1615	41.9429	0.0298	0.0000	0.0000	0.4128	0.0000	0.9600	0.4140	0.0004	0.4657
6	25.0000	30.0000	26.6340	0.0000	0.5236	20.6241	4.5573	0.9290	4.5090	20.7983	19.9531	21.2814	20.4563	20.7681	0.0313	0.0000	0.0000	0.4176	0.0000	0.9419	0.3942	0.0000	0.7704
7	30.0000	35.0000	37.5497	0.0000	0.4997	29.2835	6.3493	1.4171	3.7742	9.5260	9.8667	10.2464	10.5639	9.7948	0.0417	0.0000	0.0000	0.4249	0.0000	0.9567	0.4122	0.0550	0.4116
8	35.0000	40.0000	44.1415	0.0000	0.8617	34.6811	7.3645	1.2342	3.2814	11.5093	8.1147	11.9679	8.7530	11.4235	0.0309	0.0000	0.0000	0.3699	0.0000	0.8489	0.3600	0.2871	0.9750
9	40.0000	45.0000	52.2682	0.0000	0.6499	39.8526	9.8806	1.8851	3.0411	13.6631	12.4095	13.9975	12.7767	13.5858	0.0299	0.0000	0.0000	0.3439	0.0000	0.8193	0.3367	0.0476	1.0964
10	45.0000	50.0000	61.2902	0.0000	1.5036	48.6812	8.8543	2.2511	3.1334	1.0195	6.1797	3.2951	6.9287	6.1084	0.0353	0.0000	0.0000	0.3218	0.0000	0.7636	0.3171	0.1438	0.5009
11	50.0000	55.0000	43.8029	0.0000	0.6305	35.0710	6.5065	1.5949	3.5151	21.0657	28.5033	21.3569	28.7192	28.4860	0.0241	0.0000	0.0000	0.3660	0.0000	0.8435	0.3585	0.1049	0.3712
12	55.0000	60.0000	17.6966	0.0000	0.1316	14.0533	3.0308	0.4809	4.4139	54.9497	44.9764	55.1267	45.1925	54.9361	0.0360	0.0000	0.0000	0.3986	0.0000	0.9093	0.3864	0.0541	0.8863
13	60.0000	65.0000	5.0263	0.0000	0.0410	3.9476	0.9280	0.1096	5.4996	96.8291	57.2521	96.9852	57.5156	96.8225	0.0303	0.0000	0.0000	0.4061	0.0000	0.9289	0.4039	0.2095	0.2171
14	65.0000	70.0000	0.8849	0.0000	0.0044	0.6814	0.1439	0.0552	7.5251	140.1478	63.3430	140.3497	63.7885	140.1399	0.0472	0.0000	0.0000	0.4081	0.0000	0.9611	0.3911	0.4686	0.8640
15	70.0000	75.0000	0.1755	0.0000	0.0008	0.1374	0.0339	0.0035	12.1334	177.1150	67.4527	177.5301	68.5352	177.1016	0.0125	0.0000	0.0000	0.3476	0.0000	0.8301	0.3358	1.3837	1.3837
16	75.0000	80.0000	0.0384	12.0000	0.0002	0.0336	0.0025	0.0021	19.7867	199.3481	71.4045	200.3277	74.0953	199.3461	0.0304	0.0000	0.0000	0.2836	0.0000	0.8015	0.3047	0.0000	0.0000
