Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	496.8448	607.0000	456.2228	23.1449	0.6342	16.8429	1.6808	7.4516	6.0578	7.6388	6.2866	0.3204	0.0000	0.0000	0.0000	0.2448	0.0000	0.6769	0.2862	0.4819	7.3886
2	-3.0144	-2.8888	496.0861	560.0000	457.1103	20.6830	1.0162	17.2766	1.6851	6.3345	5.8865	6.5548	6.1229	0.2462	0.0000	0.0000	0.0000	0.2362	0.0000	0.6880	0.2823	0.2397	6.2769
3	-2.8888	-2.7632	488.4820	574.0000	450.5250	20.4506	1.0310	16.4754	1.6338	5.7505	4.8552	5.9781	5.1227	0.2999	0.0000	0.0000	0.0000	0.2485	0.0000	0.6971	0.2926	0.5284	5.6676
4	-2.7632	-2.6376	507.0477	572.0000	468.2321	20.5242	1.0637	17.2278	1.7706	4.6556	5.6898	4.9810	5.9589	1.4405	0.0000	0.0000	0.0000	0.2254	0.0000	0.6962	0.2766	0.1509	5.6244
5	-2.6376	-2.5120	501.9966	608.0000	462.9419	20.6524	1.0261	17.3763	1.7657	5.6801	7.0905	5.9482	7.3070	0.7026	0.0000	0.0000	0.0000	0.2356	0.0000	0.6793	0.2791	0.6668	7.0098
6	-2.5120	-2.3864	499.2701	596.0000	460.6629	20.6246	0.9609	17.0217	1.6919	5.3594	5.0704	5.6201	5.3452	0.5593	0.0000	0.0000	0.0000	0.2370	0.0000	0.6816	0.2842	0.2354	5.2859
7	-2.3864	-2.2608	503.5197	596.0000	463.7758	22.3541	0.8353	16.5545	1.7634	6.3276	6.5497	6.5687	6.7830	0.5900	0.0000	0.0000	0.0000	0.2415	0.0000	0.6804	0.2844	1.1603	6.4714
8	-2.2608	-2.1352	490.7725	586.0000	452.4807	20.3770	0.7637	17.1510	1.7608	5.1587	5.9871	5.4510	6.2406	0.2891	0.0000	0.0000	0.0000	0.2432	0.0000	0.6806	0.2862	0.5894	5.9074
9	-2.1352	-2.0096	496.0383	553.0000	458.1098	20.6813	0.9501	16.2972	1.8191	6.5825	7.0642	6.8292	7.2946	0.1298	0.0000	0.0000	0.0000	0.2361	0.0000	0.6757	0.2786	0.3878	7.0109
10	-2.0096	-1.8840	513.5244	573.0000	473.1058	21.7625	1.4183	17.2378	1.7913	5.8496	5.0605	6.1177	5.3682	0.3275	0.0000	0.0000	0.0000	0.2517	0.0000	0.6800	0.2862	0.7825	5.7698
11	-1.8840	-1.7584	494.9290	578.0000	458.1681	19.8252	0.7219	16.2138	1.7912	5.9355	6.4026	6.1999	6.6484	0.4723	0.0000	0.0000	0.0000	0.2522	0.0000	0.6806	0.2906	0.0253	6.3374
12	-1.7584	-1.6328	479.1932	546.0000	442.4616	19.6431	0.7895	16.2991	1.6985	6.3628	6.0084	6.5856	6.2439	0.4306	0.0000	0.0000	0.0000	0.2442	0.0000	0.6829	0.2880	0.0809	6.3045
13	-1.6328	-1.5072	479.2789	544.0000	440.1287	21.2162	0.9019	17.0322	1.6872	6.0136	6.0333	6.2458	6.2647	0.2596	0.0000	0.0000	0.0000	0.2433	0.0000	0.7025	0.2909	0.3837	5.9626
14	-1.5072	-1.3816	492.9902	568.0000	454.8713	20.2919	0.6700	17.1571	1.7474	5.4411	5.5371	5.7148	5.8063	0.5897	0.0000	0.0000	0.0000	0.2442	0.0000	0.6909	0.2871	0.1927	5.4806
15	-1.3816	-1.2560	498.2548	592.0000	460.0792	19.8810	1.1728	17.1219	1.7401	6.0083	5.1523	6.2552	5.4382	0.4081	0.0000	0.0000	0.0000	0.2384	0.0000	0.6804	0.2829	0.3037	5.9442
16	-1.2560	-1.1304	486.8091	592.0000	448.2384	20.5268	1.0153	17.0285	1.7394	5.0962	6.0643	5.3849	6.3088	0.2671	0.0000	0.0000	0.0000	0.2403	0.0000	0.6726	0.2840	0.3578	6.0041
17	-1.1304	-1.0048	498.6105	540.0000	460.1178	20.8017	1.1899	16.5010	1.7351	6.3864	5.3304	6.6179	5.6057	0.3352	0.0000	0.0000	0.0000	0.2277	0.0000	0.6722	0.2738	0.1542	6.3321
18	-1.0048	-0.8792	498.8518	563.0000	458.9459	22.3669	0.8017	16.7373	1.8033	5.4984	5.7244	5.7866	6.0017	0.2983	0.0000	0.0000	0.0000	0.2398	0.0000	0.6709	0.2797	0.3777	5.6528
19	-0.8792	-0.7536	484.2152	591.0000	443.4849	22.0123	1.4656	17.2524	1.6542	7.9576	7.0984	8.1277	7.2886	0.2196	0.0000	0.0000	0.0000	0.2326	0.0000	0.6806	0.2813	0.3412	7.9124
20	-0.7536	-0.6280	502.4255	595.0000	463.3329	20.9393	0.7691	17.3842	1.6771	6.0339	6.4565	6.2627	6.6708	0.5567	0.0000	0.0000	0.0000	0.2426	0.0000	0.6882	0.2871	0.1954	6.3838
21	-0.6280	-0.5024	509.1460	603.0000	467.4413	23.1379	1.1392	17.4276	1.7368	5.7188	5.9212	5.9767	6.1706	0.7087	0.0000	0.0000	0.0000	0.2371	0.0000	0.6779	0.2833	1.2470	5.7341
22	-0.5024	-0.3768	487.6369	562.0000	448.2661	21.3050	0.8518	17.2140	1.6344	6.9025	7.2572	7.0934	7.4390	0.5816	0.0000	0.0000	0.0000	0.2415	0.0000	0.6699	0.2827	0.3450	7.2075
23	-0.3768	-0.2512	516.1080	566.0000	476.6829	21.5296	1.3906	16.5049	1.7369	5.5626	6.3260	5.8275	6.5602	0.6250	0.0000	0.0000	0.0000	0.2344	0.0000	0.6777	0.2800	0.3445	6.2481
24	-0.2512	-0.1256	516.1752	603.0000	476.0657	22.3903	0.9230	16.7963	1.7745	5.8090	6.4724	6.0740	6.7112	0.4680	0.0000	0.0000	0.0000	0.2393	0.0000	0.6729	0.2823	0.3836	6.4148
25	-0.1256	0.0000	496.8760	532.0000	457.8826	21.0490	1.1236	16.8209	1.6878	6.1691	5.2387	6.3958	5.5038	0.8380	0.0000	0.0000	0.0000	0.2405	0.0000	0.6821	0.2845	0.3339	6.0806
26	0.0000	0.1256	496.6197	590.0000	458.0288	21.2290	0.7392	16.6226	1.6885	5.2731	6.3487	5.5368	6.5694	1.0012	0.0000	0.0000	0.0000	0.2387	0.0000	0.6745	0.2844	0.4321	6.2070
27	0.1256	0.2512	499.7516	586.0000	459.0197	22.7443	0.9631	17.0244	1.6739	5.1586	5.6643	5.4234	5.9065	1.0137	0.0000	0.0000	0.0000	0.2335	0.0000	0.6735	0.2810	0.3895	5.5112
28	0.2512	0.3768	503.4609	632.0000	463.0685	22.4302	0.6594	17.3029	1.6938	6.0608	7.3064	6.2930	7.5001	0.4206	0.0000	0.0000	0.0000	0.2450	0.0000	0.6892	0.2884	0.7225	7.2159
29	0.3768	0.5024	499.5154	592.0000	460.4453	21.0331	0.8921	17.1449	1.7011	6.6445	5.3481	6.8588	5.6121	0.5241	0.0000	0.0000	0.0000	0.2421	0.0000	0.6911	0.2884	0.2577	6.5719
30	0.5024	0.6280	503.1823	619.0000	463.6946	21.7568	0.9309	16.8000	1.6890	6.3426	6.1918	6.5636	6.4180	0.4737	0.0000	0.0000	0.0000	0.2333	0.0000	0.6806	0.2791	0.4851	6.2633
31	0.6280	0.7536	501.3818	600.0000	460.7608	21.7011	1.3277	17.5922	1.8270	6.7312	6.9233	6.9748	7.1603	1.5026	0.0000	0.0000	0.0000	0.2494	0.0000	0.6857	0.2905	1.6281	6.6290
32	0.7536	0.8792	495.0719	559.0000	456.7981	20.5128	1.1959	16.5650	1.7189	6.2342	4.7652	6.4668	5.0658	0.2939	0.0000	0.0000	0.0000	0.2381	0.0000	0.6734	0.2836	0.4675	6.1690
33	0.8792	1.0048	509.6493	586.0000	473.0969	20.5881	0.6972	15.2670	1.7466	6.3406	5.9200	6.5767	6.1723	1.2067	0.0000	0.0000	0.0000	0.2467	0.0000	0.6826	0.2892	0.5662	6.1642
