Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	1.6472	3.0000	0.0093	0.6280	0.5540	0.4559	16.7922	3.5525	10.7550	17.1639	19.9411	1.5120	0.4527	3.3170	0.0000	0.0000	0.0000	0.5798	0.2588	0.2851	10.0843
2	-3.0144	-2.8888	1.5101	6.0000	0.0058	0.6944	0.3671	0.4428	16.4913	5.1058	6.4658	17.2636	17.7135	2.7308	0.4679	3.0572	0.0000	0.0000	0.0000	0.6049	0.2792	2.9331	5.1878
3	-2.8888	-2.7632	1.9990	7.0000	0.0161	0.8437	0.7484	0.3908	15.2488	7.5062	2.9020	16.9961	15.5225	1.2258	0.4529	2.7661	0.0000	0.0000	0.0000	0.4267	0.1802	5.0983	4.5582
4	-2.7632	-2.6376	2.2669	3.0000	0.0309	0.6727	0.9069	0.6564	18.2198	4.8143	8.9296	18.8451	20.2903	2.8767	0.4683	3.4898	0.0000	0.0000	0.0000	0.4327	0.1680	4.3065	6.8833
5	-2.6376	-2.5120	1.3829	1.0000	0.0249	0.6498	0.5084	0.1997	19.5549	4.3725	9.1214	20.0377	21.5776	4.0099	0.4635	2.7148	0.0000	0.0000	0.0000	0.5505	0.2189	1.1248	7.6104
6	-2.5120	-2.3864	1.8247	2.0000	0.0296	0.5007	0.9373	0.3572	16.6825	8.7746	8.4457	18.8494	18.6985	6.3166	0.4686	3.2305	0.0000	0.0000	0.0000	0.3218	0.1329	4.4176	6.4457
7	-2.3864	-2.2608	1.7770	2.0000	0.0385	0.4820	0.7333	0.5232	16.1173	7.6666	8.3544	17.8478	18.1539	7.0707	0.4712	2.8065	0.0000	0.0000	0.0000	0.3364	0.1541	1.1770	3.3493
8	-2.2608	-2.1352	2.4917	4.0000	0.1136	1.0580	0.8534	0.4667	17.2175	3.7680	6.4582	17.6250	18.3889	0.3209	0.4818	2.5584	0.0000	0.0000	0.0000	0.3669	0.1965	0.4917	5.8951
9	-2.1352	-2.0096	2.0155	1.0000	0.1473	0.7044	0.7764	0.3873	17.2040	5.6262	8.1761	18.1006	19.0480	4.9744	0.4812	2.5295	0.0000	0.0000	0.0000	0.4080	0.1234	2.4197	6.5348
10	-2.0096	-1.8840	2.1636	2.0000	0.1627	1.1467	0.4401	0.4141	14.3075	6.8424	5.6808	15.8595	15.3941	1.9161	0.4623	3.1735	0.0000	0.0000	0.0000	0.4090	0.1769	1.9437	6.0279
