Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
3	40.0000	60.0000	21.9930	34.0000	0.8706	9.6463	5.7431	5.7329	6.6380	3.4808	5.9582	7.4953	8.9198	0.5313	0.4679	3.0936	0.0000	0.0000	0.0000	0.4365	0.1792	1.0336	4.9131
4	60.0000	80.0000	17.4967	25.0000	1.4794	6.3307	5.7634	3.9232	9.0582	6.7991	15.1144	11.3260	17.6209	4.4936	0.4666	3.5742	0.0000	0.0000	0.0000	0.4748	0.2145	0.5594	14.3076
5	80.0000	100.0000	15.0451	25.0000	0.9082	6.4233	4.7373	2.9763	8.7340	3.6995	3.3316	9.4852	9.3479	1.1160	0.4695	3.1982	0.0000	0.0000	0.0000	0.3373	0.1219	1.3651	0.2135
6	100.0000	120.0000	10.7033	14.0000	0.3781	3.2161	4.4754	2.6336	7.4438	10.3967	7.2715	12.7867	10.4060	1.0644	0.4556	2.8990	0.0000	0.0000	0.0000	0.4665	0.2110	1.1358	9.9563
7	120.0000	140.0000	7.6898	12.0000	0.2622	2.5970	2.8102	2.0204	8.0441	5.7996	3.6652	9.9168	8.8398	2.0806	0.4643	2.9418	0.0000	0.0000	0.0000	0.4419	0.2003	2.8960	3.7695
8	140.0000	160.0000	5.7216	10.0000	0.3128	1.4889	2.2809	1.6390	9.2550	10.2260	12.7523	13.7922	15.7568	2.7645	0.4588	2.9510	0.0000	0.0000	0.0000	0.4877	0.1883	1.4280	11.9895
9	160.0000	180.0000	3.6017	7.0000	0.1282	1.0682	1.4512	0.9541	11.5533	15.1139	5.1319	19.0239	12.6418	3.0049	0.4635	2.6735	0.0000	0.0000	0.0000	0.4280	0.1720	2.3581	14.5516
10	180.0000	200.0000	2.5833	6.0000	0.0546	0.6506	1.0888	0.7894	13.3362	3.3305	14.7195	13.7458	19.8625	1.5713	0.4604	2.7956	0.0000	0.0000	0.0000	0.4752	0.1747	0.5829	14.3580
11	200.0000	220.0000	1.8535	4.0000	0.0383	0.4178	0.8759	0.5215	15.8254	3.9012	12.0201	16.2991	19.8727	2.6763	0.4533	2.5709	0.0000	0.0000	0.0000	0.5743	0.2565	2.2437	11.3959
12	220.0000	240.0000	1.5365	0.0000	0.0277	0.4586	0.5587	0.4914	16.8730	20.9209	10.5272	26.8772	19.8877	8.6076	0.4485	3.6317	0.0000	0.0000	0.0000	0.4087	0.1515	2.9236	18.4788
