Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	0.0000	50.0000	183.3451	166.0000	0.0607	177.0121	1.7284	4.5439	1.5716	3.4497	3.3772	3.7908	3.7250	0.6250	0.4370	2.5620	0.0000	0.0000	0.0000	0.4660	0.1747	0.2592	2.1359
2	50.0000	100.0000	388.4432	338.0000	0.4379	374.5023	3.9576	9.5453	1.1025	3.7563	4.2181	3.9147	4.3598	0.4540	0.4339	2.5863	0.0000	0.0000	0.0000	0.4611	0.1713	0.1914	3.2633
3	100.0000	150.0000	425.9415	410.0000	0.8154	405.7774	5.7857	13.5630	1.0145	5.6844	5.5011	5.7742	5.5939	0.3008	0.4319	2.5075	0.0000	0.0000	0.0000	0.4581	0.1698	0.3080	5.0507
4	150.0000	200.0000	316.2759	302.0000	0.7919	295.8120	4.8763	14.7958	1.1694	5.6570	5.7322	5.7766	5.8503	0.9209	0.4300	2.5276	0.0000	0.0000	0.0000	0.4688	0.1758	0.2425	5.0184
5	200.0000	250.0000	220.2939	198.0000	0.5438	202.2281	4.8198	12.7022	1.3837	6.8865	6.4761	7.0241	6.6223	0.2882	0.4261	2.4035	0.0000	0.0000	0.0000	0.4802	0.1843	0.5561	6.3882
6	250.0000	300.0000	146.7691	145.0000	0.5496	133.8967	3.0768	9.2460	1.6745	7.5207	5.9657	7.7049	6.1962	0.0805	0.4247	2.3836	0.0000	0.0000	0.0000	0.4964	0.1932	0.3896	7.0897
7	300.0000	350.0000	98.7212	113.0000	0.3750	87.9441	3.0472	7.3549	2.0545	5.0324	6.5999	5.4357	6.9123	0.3486	0.4230	2.4926	0.0000	0.0000	0.0000	0.5380	0.2151	0.5076	6.0375
8	350.0000	400.0000	65.0636	58.0000	0.2515	58.1568	1.4588	5.1964	2.4789	7.7225	6.1680	8.1106	6.6475	0.9629	0.4256	2.3350	0.0000	0.0000	0.0000	0.5949	0.2503	0.3083	7.2523
9	400.0000	450.0000	45.1360	46.0000	0.2753	39.5711	0.9975	4.2922	2.9481	8.5754	7.9789	9.0679	8.5061	0.3173	0.4202	2.2656	0.0000	0.0000	0.0000	0.6094	0.2540	0.9590	8.1775
10	450.0000	500.0000	29.8669	32.0000	0.0797	26.0118	0.4559	3.3194	3.5159	6.9024	6.3346	7.7462	7.2450	0.1834	0.4214	2.3066	0.0000	0.0000	0.0000	0.7001	0.3065	1.5835	6.2475
11	500.0000	550.0000	21.6476	16.0000	0.0445	18.7572	0.3906	2.4554	4.1592	7.6670	6.9766	8.7225	8.1223	0.1058	0.4201	2.3638	0.0000	0.0000	0.0000	0.7170	0.3068	1.8343	7.2380
12	550.0000	600.0000	14.8017	11.0000	0.0430	12.9476	0.2393	1.5718	4.9331	2.9803	10.2120	5.7635	11.3411	0.5323	0.4163	2.1993	0.0000	0.0000	0.0000	0.8659	0.4120	1.5665	9.8606
13	600.0000	650.0000	11.1138	13.0000	0.0349	9.1676	0.3906	1.5207	5.7801	11.5118	4.7741	12.8814	7.4968	1.6647	0.4251	2.1903	0.0000	0.0000	0.0000	0.9202	0.4049	1.9082	11.0686
14	650.0000	700.0000	8.6544	9.0000	0.0183	7.3237	0.1470	1.1654	6.5393	7.3413	7.2322	9.8315	9.7503	0.5931	0.4165	2.3704	0.0000	0.0000	0.0000	1.0208	0.4608	0.2968	6.8381
15	700.0000	750.0000	5.5732	1.0000	0.0207	4.8568	0.0681	0.6276	7.9667	8.2792	8.7586	11.4897	11.8398	0.3727	0.4184	2.0393	0.0000	0.0000	0.0000	1.0252	0.5050	2.8929	8.4223
16	750.0000	800.0000	4.6199	4.0000	0.0151	3.9945	0.0847	0.5255	8.8789	3.8422	8.4214	9.6746	12.2375	4.1726	0.4216	2.5583	0.0000	0.0000	0.0000	0.9672	0.4400	1.1814	6.6530
17	800.0000	850.0000	3.6047	1.0000	0.0108	3.1287	0.1034	0.3618	9.2603	6.4479	13.5718	11.2840	16.4300	3.5273	0.4094	1.9982	0.0000	0.0000	0.0000	1.2649	0.6505	3.1617	12.6501
18	850.0000	900.0000	2.5768	0.0000	0.0087	2.0548	0.0732	0.4402	11.3217	17.9748	3.6061	21.2432	11.8821	1.7360	0.4272	2.9023	0.0000	0.0000	0.0000	1.0631	0.5044	5.0963	16.9449
19	900.0000	950.0000	2.1893	1.0000	0.0078	1.9101	0.0761	0.1953	12.3681	19.8914	23.5674	23.4231	26.6157	2.2532	0.4290	2.3032	0.0000	0.0000	0.0000	1.1114	0.5118	6.0966	22.4987
20	950.0000	1000.0000	6.6760	3.0000	0.0349	5.4947	0.1024	1.0440	6.9845	9.3718	7.6778	11.6882	10.3794	0.8226	0.4065	2.2871	0.0000	0.0000	0.0000	1.3776	0.6702	0.7147	8.9451
