Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	0.0000	50.0000	145.2261	0.0000	26.9336	112.5515	0.9435	4.7975	1.6454	3.4063	2.7768	3.7829	3.2277	0.1294	0.0000	0.0000	0.0000	0.4087	0.0000	1.0825	0.4194	0.2774	3.1637
2	50.0000	100.0000	316.4003	0.0000	63.0056	239.6575	1.6309	12.1063	1.1005	4.1028	4.3307	4.2478	4.4683	0.3538	0.0000	0.0000	0.0000	0.4084	0.0000	1.0825	0.4201	0.5186	4.1180
3	100.0000	150.0000	348.3981	0.0000	77.5556	252.7937	1.8810	16.1678	1.0376	5.1405	5.8816	5.2441	5.9725	0.4326	0.0000	0.0000	0.0000	0.4379	0.0000	1.1312	0.4463	0.3180	5.7195
4	150.0000	200.0000	270.5888	0.0000	67.3803	186.6822	1.1606	15.3657	1.1468	5.5519	5.3225	5.6691	5.4447	0.1032	0.0000	0.0000	0.0000	0.4508	0.0000	1.1593	0.4603	0.3791	5.3768
5	200.0000	250.0000	194.5074	0.0000	54.3268	125.9984	1.4962	12.6860	1.3356	6.3740	6.0111	6.5124	6.1576	0.2330	0.0000	0.0000	0.0000	0.4746	0.0000	1.1823	0.4785	0.3215	6.2143
6	250.0000	300.0000	135.7254	0.0000	37.9499	85.8215	1.0022	10.9517	1.5581	5.7866	6.0768	5.9927	6.2734	0.3472	0.0000	0.0000	0.0000	0.5200	0.0000	1.2721	0.5246	0.6574	5.8884
7	300.0000	350.0000	93.5240	0.0000	27.4773	57.4869	0.6075	7.9524	1.7935	6.3597	5.5352	6.6078	5.8185	0.2258	0.0000	0.0000	0.0000	0.6047	0.0000	1.4062	0.6013	0.5700	6.1392
8	350.0000	400.0000	63.6783	0.0000	19.0429	38.2312	0.3215	6.0828	2.0999	6.5678	9.0689	6.8953	9.3089	0.7295	0.0000	0.0000	0.0000	0.7388	0.0000	1.6179	0.7197	0.3973	8.8274
9	400.0000	450.0000	41.7256	0.0000	13.0901	24.4968	0.3436	3.7952	2.5461	7.2923	6.6193	7.7240	7.0921	0.1784	0.0000	0.0000	0.0000	0.8648	0.0000	1.8342	0.8345	0.2430	6.9525
10	450.0000	500.0000	30.0709	0.0000	9.6429	17.2986	0.3012	2.8282	2.9077	8.2941	5.4759	8.7891	6.2000	1.2163	0.0000	0.0000	0.0000	0.9987	0.0000	2.0336	0.9605	1.9787	7.5725
11	500.0000	550.0000	21.1704	0.0000	7.1030	11.4927	0.1653	2.4095	3.3235	8.5586	8.8756	9.1813	9.4774	1.2346	0.0000	0.0000	0.0000	1.1088	0.0000	2.2304	1.0595	0.5009	8.3775
12	550.0000	600.0000	15.1331	0.0000	4.9690	8.6541	0.2147	1.2953	3.9644	6.7220	5.8240	7.8039	7.0452	0.6561	0.0000	0.0000	0.0000	1.2246	0.0000	2.3890	1.1589	0.9236	5.9545
13	600.0000	650.0000	11.0457	0.0000	3.6118	6.4097	0.1304	0.8938	4.7008	10.1037	8.5184	11.1437	9.7294	1.2247	0.0000	0.0000	0.0000	1.2690	0.0000	2.4984	1.1990	1.4702	9.4410
14	650.0000	700.0000	8.0606	0.0000	2.6152	4.6681	0.0268	0.7504	5.5775	5.4164	4.4256	7.7747	7.1201	1.4584	0.0000	0.0000	0.0000	1.3726	0.0000	2.6267	1.3016	2.9225	4.0905
15	700.0000	750.0000	6.6081	0.0000	1.9638	3.9743	0.0654	0.6045	6.0477	13.7312	17.9040	15.0041	18.8979	1.3081	0.0000	0.0000	0.0000	1.4126	0.0000	2.6815	1.3110	0.4687	17.5473
16	750.0000	800.0000	4.5042	0.0000	1.4438	2.6320	0.1336	0.2948	7.0607	5.3233	5.9710	8.8426	9.2469	0.4187	0.0000	0.0000	0.0000	1.4786	0.0000	2.8176	1.3738	4.7528	4.0404
17	800.0000	850.0000	3.3617	0.0000	1.1038	1.9628	0.0322	0.2628	8.5263	11.5507	8.5007	14.3567	12.0399	3.2330	0.0000	0.0000	0.0000	1.7818	0.0000	3.2455	1.6261	5.0290	9.0179
18	850.0000	900.0000	2.6232	0.0000	0.8292	1.4507	0.0214	0.3219	8.5730	6.3468	9.9574	10.6667	13.1396	1.4361	0.0000	0.0000	0.0000	1.8222	0.0000	3.2767	1.6616	2.8858	8.6161
19	900.0000	950.0000	2.1720	0.0000	0.6089	1.1706	0.0370	0.3554	9.8810	9.5297	15.0039	13.7277	17.9653	1.6023	0.0000	0.0000	0.0000	1.7976	0.0000	3.2195	1.6381	4.4077	14.3715
20	950.0000	1000.0000	6.2764	0.0000	2.0666	3.4451	0.1440	0.6207	5.6718	14.4101	8.6519	15.4861	10.3453	0.5981	0.0000	0.0000	0.0000	2.0306	0.0000	3.7454	1.8815	0.9204	13.6294
