Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
9	800.0000	900.0000	143.8907	127.0000	2.0817	101.3820	37.6468	2.7801	9.7783	0.8816	1.6661	9.8179	9.9192	1.4935	0.0317	0.0000	0.0000	0.2309	0.0000	0.5816	0.2316	0.1441	0.5754
10	900.0000	1000.0000	82.7984	78.0000	5.0765	56.5571	18.6314	2.5335	7.8501	1.3004	1.6620	7.9571	8.0241	1.4623	0.0268	0.0000	0.0000	0.2205	0.0000	0.6226	0.2278	0.0636	0.3673
11	1000.0000	1100.0000	55.2306	48.0000	1.8892	33.2498	18.5743	1.5172	16.4929	1.2083	0.9636	16.5371	16.5210	0.6093	0.0221	0.0000	0.0000	0.3277	0.0000	0.8303	0.3226	0.0718	0.4330
12	1100.0000	1200.0000	36.5836	29.0000	0.4070	19.2753	15.7916	1.1096	23.8125	5.3757	4.4206	24.4117	24.2193	5.1822	0.0198	0.0000	0.0000	0.4497	0.0000	1.0751	0.4491	0.0585	0.6925
13	1200.0000	1300.0000	25.2803	20.0000	0.0000	12.7165	11.5671	0.9967	28.0844	9.8355	6.8351	29.7569	28.9042	9.7676	0.0167	0.0000	0.0000	0.4121	0.0000	0.9870	0.3944	0.0000	0.3911
14	1300.0000	1400.0000	27.2098	10.0000	0.3428	8.9376	17.0746	0.8547	40.4941	5.3431	6.4910	40.8451	41.0110	3.6809	0.0099	0.0000	0.0000	2.7925	0.0000	3.9456	2.2759	0.0000	0.1970
15	1400.0000	1500.0000	5.7654	8.0000	0.0000	4.2957	0.8104	0.6594	9.9452	3.3817	2.1308	10.5045	10.1709	2.4259	0.0131	0.0000	0.0000	0.9183	0.0000	1.7332	0.8105	0.0000	1.0228
16	1500.0000	1600.0000	22.0015	5.0000	0.0000	2.8001	18.9108	0.2906	59.3598	12.2757	10.3199	60.6158	60.2502	11.9246	0.0013	0.0000	0.0000	1.3738	0.0000	2.3381	1.0681	0.0000	0.0007
17	1600.0000	1700.0000	2.3447	3.0000	0.0000	2.1140	0.1995	0.0313	13.7522	4.3536	3.5819	14.4249	14.2111	1.5962	0.0154	0.0000	0.0000	1.6407	0.0000	2.7663	1.4649	0.0000	1.9787
18	1700.0000	1800.0000	1.3086	2.0000	0.0000	1.2195	0.0461	0.0429	22.8020	2.8591	2.1031	22.9805	22.8987	1.9633	0.0028	0.0000	0.0000	1.0310	0.0000	1.5968	0.8410	0.0000	0.0000
19	1800.0000	1900.0000	0.9237	0.0000	0.0000	0.6459	0.1518	0.1261	23.7036	3.5030	5.0364	23.9610	24.2327	4.0496	0.0283	0.0000	0.0000	1.3391	0.0000	2.3344	1.3123	0.0000	0.0000
20	1900.0000	2000.0000	0.8402	1.0000	0.0000	0.5249	0.1770	0.1382	26.4308	8.1244	3.2008	27.6513	26.6239	2.1002	0.0010	0.0000	0.0000	1.0078	0.0000	1.9973	0.9109	0.0000	7.6726
21	2000.0000	2100.0000	0.7538	0.0000	0.0000	0.5833	0.0262	0.1443	26.2042	13.8537	13.0565	29.6409	29.2768	13.2114	0.0586	0.0000	0.0000	2.0689	0.0000	3.1432	1.7945	0.0000	0.0000
22	2100.0000	2200.0000	0.4361	1.0000	0.0000	0.3011	-0.0408	0.1759	40.2921	13.5953	10.1192	42.5240	41.5434	12.9068	0.0318	0.0000	0.0000	2.1591	0.0000	3.2008	1.8276	0.0000	0.0000
23	2200.0000	2300.0000	0.0901	1.0000	0.0000	0.1272	0.0000	-0.0371	92.7034	17.8825	20.2856	94.4124	94.8970	20.0470	0.0576	0.0000	0.0000	1.6623	0.0000	2.3521	1.1522	0.0000	0.0000
24	2300.0000	2400.0000	0.0484	1.0000	0.0000	0.0421	-0.0198	0.0261	80.3868	140.5067	79.7056	161.8770	113.2035	140.4550	0.1496	0.0000	0.0000	1.6972	0.0000	3.0280	1.5669	0.0000	0.0000
25	2400.0000	2500.0000	0.0311	0.0000	0.0000	0.0233	0.0000	0.0078	75.2536	14.0127	9.5831	76.5471	75.8613	13.1084	0.0033	0.0000	0.0000	2.6656	0.0000	3.6810	1.9678	0.0000	0.0000
26	2500.0000	2600.0000	0.0636	0.0000	0.0000	0.0448	0.0419	-0.0232	92.5403	32.2376	25.5273	97.9948	95.9966	32.2339	0.0008	0.0000	0.0000	0.0153	0.0000	0.4787	0.0814	0.0000	0.0000
27	2600.0000	2700.0000	0.0982	0.0000	0.0000	0.0892	0.0000	0.0090	54.8779	12.6098	11.3689	56.3080	56.0432	12.0191	0.0001	0.0000	0.0000	1.7051	0.0000	3.0287	1.5713	0.0000	0.0000
28	2700.0000	2800.0000	0.0108	0.0000	0.0000	0.0092	0.0000	0.0015	85.8217	12.5432	12.3536	86.7335	86.7062	11.2032	0.4347	0.0000	0.0000	2.0720	0.0000	4.7739	2.1324	0.0000	0.0000
29	2800.0000	2900.0000	0.1003	0.0000	0.0000	0.0990	0.0000	0.0013	60.9301	4.6134	11.3517	61.1045	61.9785	10.5299	0.0000	0.0000	0.0000	1.3590	0.0000	3.8151	1.2573	0.0000	0.0000
30	2900.0000	3000.0000	0.0690	0.0000	0.0000	0.0277	0.0000	0.0412	63.5531	18.1739	10.9216	66.1006	64.4847	17.0868	0.0006	0.0000	0.0000	1.3723	0.0000	5.9730	0.8789	0.0000	0.0000
31	3000.0000	3100.0000	0.0491	0.0000	0.0000	0.0485	0.0000	0.0005	98.9540	12.1147	8.2521	99.6928	99.2975	12.0507	0.0005	0.0000	0.0000	0.1872	0.0000	1.2015	0.2604	0.0000	0.0000
32	3100.0000	3200.0000	0.0007	0.0000	0.0000	0.0000	0.0000	0.0007	39.2686	4.7294	7.5485	39.5524	39.9875	5.8832	0.1039	0.0000	0.0000	2.2080	0.0000	3.6224	2.0880	0.0000	0.0000
33	3200.0000	3300.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0003	62.1161	7.6066	11.8255	62.5801	63.2317	9.0544	0.1616	0.0000	0.0000	3.8740	0.0000	5.4870	3.5664	0.0000	0.0000
34	3300.0000	3400.0000	0.0005	0.0000	0.0000	0.0000	0.0000	0.0005	50.3114	3.1771	11.4267	50.4116	51.5927	10.9762	0.0000	0.0000	0.0000	1.3716	0.0000	2.5681	1.2718	0.0000	0.0000
35	3400.0000	3500.0000	0.0018	0.0000	0.0000	0.0000	0.0000	0.0018	76.4847	9.3034	7.5482	77.0484	76.8562	8.3116	0.0071	0.0000	0.0000	1.8833	0.0000	3.2674	1.8019	0.0000	0.0000
36	3500.0000	3600.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0001	92.4990	18.8239	8.2723	94.3949	92.8681	18.5914	0.0000	0.0000	0.0000	1.2628	0.0000	2.4340	1.0866	0.0000	0.0000
37	3600.0000	3700.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0002	75.2718	11.6448	16.6647	76.1673	77.0945	15.4591	0.0000	0.0000	0.0000	2.9100	0.0000	4.6927	2.8700	0.0000	0.0000
38	3700.0000	3800.0000	0.0397	0.0000	0.0000	0.0395	0.0000	0.0003	99.2662	15.9743	19.4573	100.5433	101.1552	19.2378	0.0000	0.0000	0.0000	1.2460	0.0000	2.4139	1.0556	0.0000	0.0000
39	3800.0000	3900.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0001	100.0000	51.4093	49.2195	112.4407	111.4565	51.1033	0.0000	0.0000	0.0000	2.0361	0.0000	4.7765	2.1017	0.0000	0.0000
40	3900.0000	4000.0000	0.0022	0.0000	0.0000	0.0000	0.0000	0.0022	78.5880	9.4769	12.9208	79.1574	79.6431	11.8240	0.0000	0.0000	0.0000	2.7279	0.0000	3.8098	2.2773	0.0000	0.0000
