Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-5.0000	-4.8000	0.0023	0.0000	0.0000	0.0019	0.0000	0.0003	853.0125	118.8010	78.8168	861.2456	856.6460	118.5253	0.4980	2.6912	7.6117	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
3	-4.6000	-4.4000	0.3374	0.0000	0.0000	0.2123	0.1232	0.0019	37.8564	23.6061	13.8867	44.6134	40.3230	23.4402	0.4240	2.6172	0.8784	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
4	-4.4000	-4.2000	0.2079	0.0000	0.0000	0.0633	0.1422	0.0023	58.3840	8.3123	8.0508	58.9727	58.9364	4.9634	0.5142	6.4049	1.7806	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
5	-4.2000	-4.0000	0.3212	0.0000	0.0000	0.1708	0.1715	-0.0210	52.5348	14.3958	11.1143	54.4715	53.6976	14.1685	0.4220	2.3859	0.7881	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
6	-4.0000	-3.8000	0.4954	0.0000	0.4529	0.0496	0.0420	-0.0492	93.4104	9.5795	7.9800	93.9003	93.7507	9.5392	0.4008	0.3692	0.6874	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
7	-3.8000	-3.6000	1.2873	0.0000	0.0000	0.8965	0.2173	0.1736	20.7461	4.4240	4.2537	21.2126	21.1777	2.3298	0.4386	3.6332	0.8670	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
8	-3.6000	-3.4000	2.1701	0.0000	1.0284	0.7302	0.2951	0.1165	49.0598	6.8983	5.6236	49.5424	49.3810	5.6270	0.4514	3.7069	1.4068	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
9	-3.4000	-3.2000	2.2862	0.0000	0.0000	2.0408	0.2341	0.0113	14.8587	3.8053	4.5717	15.3382	15.5461	3.0418	0.4523	3.2171	1.0460	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
10	-3.2000	-3.0000	4.2194	0.0000	1.2844	2.2012	0.5218	0.2120	31.7449	6.5865	6.0426	32.4210	32.3149	5.6742	0.4266	3.1965	0.8868	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
11	-3.0000	-2.8000	3.8781	0.0000	0.0000	3.0189	0.6329	0.2263	11.2875	3.4331	3.4604	11.7981	11.8060	1.6223	0.4313	2.8854	0.9116	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
12	-2.8000	-2.6000	5.0876	0.0000	0.2405	3.9572	0.8450	0.0449	10.3050	3.6932	2.8400	10.9468	10.6892	0.7742	0.4314	2.6193	0.9028	0.0000	0.0000	0.0000	0.0000	0.0000	2.2756
13	-2.6000	-2.4000	6.5626	0.0000	1.2838	4.5123	0.6704	0.0962	18.5208	15.1570	10.9040	23.9323	21.4923	14.7876	0.4518	2.8795	1.0705	0.0000	0.0000	0.0000	0.0000	0.0000	1.1910
14	-2.4000	-2.2000	6.9739	0.0000	0.0000	5.8827	0.7323	0.3589	8.1251	2.8739	2.9224	8.6184	8.6346	0.5433	0.4418	2.6278	1.0699	0.0000	0.0000	0.0000	0.0000	0.0000	0.1196
15	-2.2000	-2.0000	10.3755	0.0000	1.1978	6.9896	1.2577	0.9304	13.2763	2.8056	2.5419	13.5695	13.5175	1.2133	0.4402	2.0249	0.9821	0.0000	0.0000	0.0000	0.0000	0.0000	1.0681
16	-2.0000	-1.8000	9.7966	0.0000	0.0000	8.2578	1.0330	0.5059	13.9776	4.9379	5.0441	14.8242	14.8599	4.0848	0.4094	2.8045	0.8298	0.0000	0.0000	0.0000	0.0000	0.0000	0.3313
17	-1.8000	-1.6000	7.7472	0.0000	0.0000	6.6902	0.6958	0.3611	8.1164	2.5321	2.5687	8.5022	8.5131	0.1925	0.4059	2.3682	0.6875	0.0000	0.0000	0.0000	0.0000	0.0000	0.5616
18	-1.6000	-1.4000	7.9152	0.0000	0.0000	6.4723	0.9567	0.4862	8.0849	3.3331	2.9083	8.7450	8.5921	2.4636	0.4038	2.0768	0.6051	0.0000	0.0000	0.0000	0.0000	0.0000	0.8056
19	-1.4000	-1.2000	8.7660	0.0000	0.6358	6.7866	1.1191	0.2244	9.9862	2.6080	2.2635	10.3211	10.2395	1.3244	0.3969	1.9381	0.5801	0.0000	0.0000	0.0000	0.0000	0.6308	0.6319
20	-1.2000	-1.0000	12.9431	0.0000	0.0000	7.8660	4.2833	0.7938	24.9032	3.5218	3.6407	25.1510	25.1679	2.9159	0.4001	1.9103	0.6027	0.0000	0.0000	0.0000	0.0000	0.5939	0.4766
21	-1.0000	-0.8000	9.6249	0.0000	1.7848	6.5909	0.8886	0.3606	15.7176	2.5784	2.6344	15.9277	15.9368	1.2788	0.3987	2.1908	0.5308	0.0000	0.0000	0.0000	0.0000	0.1815	0.9473
22	-0.8000	-0.6000	9.6900	0.0000	1.9503	6.4516	0.8233	0.4648	16.6523	4.2907	4.4285	17.1963	17.2311	3.8105	0.3999	2.1656	0.4917	0.0000	0.0000	0.0000	0.0000	0.0000	1.2970
