Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	4.6324	0.0000	0.3143	4.2287	0.0000	0.0894	12.3573	4.0862	3.8713	13.0153	12.9495	3.6144	0.0000	0.0000	0.0000	0.3554	0.0000	1.2982	0.3577	1.4270	2.8317
2	-3.0144	-2.8888	5.8961	0.0000	1.8276	3.7600	0.0000	0.3085	23.9137	4.3975	4.5935	24.3146	24.3509	3.1730	0.0000	0.0000	0.0000	1.3917	0.0000	2.7191	1.3611	0.3330	0.5943
3	-2.8888	-2.7632	5.1431	0.0000	1.3637	3.6299	0.0000	0.1496	27.7506	5.3720	6.5307	28.2658	28.5087	6.2113	0.0000	0.0000	0.0000	0.8803	0.0000	1.4675	0.6343	0.3272	0.8816
4	-2.7632	-2.6376	6.3905	0.0000	2.6083	3.7000	0.0000	0.0822	25.9390	1.9234	1.9887	26.0102	26.0151	1.2771	0.0000	0.0000	0.0000	0.2728	0.0000	1.3070	0.2723	0.0000	1.1919
5	-2.6376	-2.5120	3.6637	0.0000	0.0000	3.6366	0.0000	0.0271	11.1114	1.8772	1.5903	11.2689	11.2247	1.2276	0.0000	0.0000	0.0000	0.4562	0.0000	1.2708	0.4407	0.0000	0.0000
6	-2.5120	-2.3864	6.1620	0.0000	1.1676	4.7062	0.0000	0.2882	20.5329	3.7718	6.6436	20.8765	21.5810	6.4848	0.0000	0.0000	0.0000	0.3513	0.0000	1.2300	0.3442	0.0000	0.5891
7	-2.3864	-2.2608	4.3134	0.0000	0.0000	4.1014	0.0000	0.2120	9.9598	2.7732	2.2054	10.3387	10.2011	2.1258	0.0000	0.0000	0.0000	0.3942	0.0000	1.2698	0.3782	0.0000	1.1230
8	-2.2608	-2.1352	4.7673	0.0000	0.0000	4.7067	0.0000	0.0606	9.8666	5.1584	4.2315	11.1337	10.7357	4.9934	0.0000	0.0000	0.0000	0.3713	0.0000	1.1807	0.3529	0.1373	0.3236
9	-2.1352	-2.0096	3.2112	0.0000	0.0000	3.2440	0.0000	-0.0328	12.5577	1.7094	3.2596	12.6736	12.9739	3.0761	0.0000	0.0000	0.0000	0.3022	0.0000	0.9944	0.3001	0.2307	1.1234
10	-2.0096	-1.8840	3.9488	0.0000	0.0000	3.6016	0.0000	0.3472	10.7194	4.6845	4.7103	11.6983	11.7087	4.5144	0.0000	0.0000	0.0000	0.2913	0.0000	1.2894	0.2851	1.4066	0.3884
