Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	225.8586	280.0000	216.1463	5.6874	0.0608	3.9640	6.1738	7.4967	9.0209	9.7116	10.9312	0.7305	0.8436	4.8777	0.7778	0.0000	0.0000	0.0000	0.0000	0.7183	7.5118
2	-3.0144	-2.8888	213.0688	295.0000	200.6554	6.2628	0.1790	5.9717	6.3308	7.2541	7.3369	9.6282	9.6907	2.9728	0.8527	4.2822	0.7472	0.0000	0.0000	0.0000	0.0000	0.8925	5.1257
3	-2.8888	-2.7632	238.4197	233.0000	226.7172	5.7839	0.1373	5.7814	6.2343	6.0023	6.3313	8.6541	8.8855	1.1092	0.8453	4.9122	0.7141	0.0000	0.0000	0.0000	0.0000	0.4364	3.9316
4	-2.7632	-2.6376	234.9854	259.0000	224.7619	5.3723	0.1295	4.7216	6.2409	9.4760	6.1506	11.3465	8.7623	2.5531	0.8531	4.7990	0.7565	0.0000	0.0000	0.0000	0.0000	1.5551	7.5185
5	-2.6376	-2.5120	181.8209	258.0000	171.3191	5.7543	0.0668	4.6807	7.1264	8.8163	8.1023	11.3363	10.7904	0.5660	0.8570	4.7236	0.7738	0.0000	0.0000	0.0000	0.0000	1.3052	7.3317
6	-2.5120	-2.3864	202.1245	254.0000	189.9038	5.8223	0.1037	6.2947	6.7579	6.5840	5.6484	9.4349	8.8076	1.3855	0.8540	4.9013	0.7480	0.0000	0.0000	0.0000	0.0000	1.2315	3.9442
7	-2.3864	-2.2608	224.9875	256.0000	214.7871	5.6698	0.2550	4.2756	6.5040	8.0800	6.5646	10.3725	9.2410	0.2934	0.8569	5.3446	0.7838	0.0000	0.0000	0.0000	0.0000	1.3714	5.9274
8	-2.2608	-2.1352	200.7720	248.0000	189.8805	5.9686	0.1335	4.7893	6.6327	6.8665	9.2269	9.5468	11.3635	2.3428	0.8523	4.4357	0.7973	0.0000	0.0000	0.0000	0.0000	1.6455	7.5423
9	-2.1352	-2.0096	226.5101	237.0000	216.0126	5.5680	0.0769	4.8526	6.3067	6.6469	9.8034	9.1627	11.6568	0.2054	0.8409	5.0526	0.7485	0.0000	0.0000	0.0000	0.0000	1.5001	8.2834
10	-2.0096	-1.8840	190.1696	265.0000	178.6213	6.1867	0.0980	5.2636	6.7773	6.7633	7.3958	9.5747	10.0314	2.4462	0.8355	4.3044	0.6771	0.0000	0.0000	0.0000	0.0000	0.7995	5.4521
11	-1.8840	-1.7584	203.3424	248.0000	192.1284	5.5163	0.0779	5.6198	6.7028	5.1953	7.4181	8.4805	9.9978	1.1580	0.8406	4.6955	0.7237	0.0000	0.0000	0.0000	0.0000	1.2223	5.4960
12	-1.7584	-1.6328	207.7622	303.0000	195.4034	6.6180	0.1834	5.5573	6.6082	9.4379	7.4820	11.5214	9.9824	2.5227	0.8484	4.6227	0.7048	0.0000	0.0000	0.0000	0.0000	0.7402	7.7185
13	-1.6328	-1.5072	217.7190	236.0000	206.0848	6.2655	0.3128	5.0560	6.4582	6.9376	6.6339	9.4784	9.2584	2.9936	0.8415	4.5335	0.7093	0.0000	0.0000	0.0000	0.0000	0.2617	4.4118
14	-1.5072	-1.3816	189.5868	210.0000	178.9241	6.1395	-0.0681	4.5914	6.8064	11.1014	7.7297	13.0219	10.2993	4.2733	0.8477	4.8289	0.7988	0.0000	0.0000	0.0000	0.0000	1.2472	8.8741
15	-1.3816	-1.2560	221.4791	249.0000	210.1250	5.8601	0.0142	5.4798	6.4444	7.4648	7.6966	9.8617	10.0383	2.1761	0.8434	4.9755	0.7749	0.0000	0.0000	0.0000	0.0000	0.2140	5.7670
16	-1.2560	-1.1304	229.7601	269.0000	218.5447	5.4406	0.1329	5.6419	6.4303	6.4198	9.0538	9.0864	11.1050	1.0637	0.8327	4.4584	0.6784	0.0000	0.0000	0.0000	0.0000	0.7410	7.7647
17	-1.1304	-1.0048	212.3123	253.0000	202.3683	5.3709	0.1768	4.3963	6.5103	6.7687	7.2732	9.3915	9.7613	2.5767	0.8411	4.8483	0.7853	0.0000	0.0000	0.0000	0.0000	0.5457	4.7624
18	-1.0048	-0.8792	229.1645	262.0000	217.6034	6.1273	0.1158	5.3180	6.3584	6.9420	7.1132	9.4138	9.5408	1.6677	0.8395	4.8347	0.7624	0.0000	0.0000	0.0000	0.0000	0.8206	4.9257
19	-0.8792	-0.7536	188.3938	272.0000	176.9079	5.9726	0.1666	5.3467	6.8542	7.6470	6.7447	10.2692	9.6162	3.2378	0.8416	4.7271	0.7755	0.0000	0.0000	0.0000	0.0000	1.7493	5.2445
20	-0.7536	-0.6280	212.1678	263.0000	201.3911	5.7098	0.0238	5.0431	6.5649	9.6914	6.6278	11.7056	9.3288	2.7125	0.8371	4.5806	0.7009	0.0000	0.0000	0.0000	0.0000	2.6857	7.5616
21	-0.6280	-0.5024	197.0332	228.0000	185.4178	6.8193	0.0565	4.7396	6.5776	10.3763	5.9477	12.2854	8.8679	1.3997	0.8429	4.4775	0.7959	0.0000	0.0000	0.0000	0.0000	1.7527	9.1037
22	-0.5024	-0.3768	220.0988	257.0000	209.0810	5.6068	0.3897	5.0213	6.5097	10.2233	8.1614	12.1199	10.4396	4.5374	0.8445	4.8278	0.7668	0.0000	0.0000	0.0000	0.0000	0.3265	7.6950
23	-0.3768	-0.2512	212.2708	255.0000	199.8525	6.2749	0.1430	6.0004	6.5204	6.5208	8.1902	9.2215	10.4688	1.4305	0.8424	4.4860	0.7001	0.0000	0.0000	0.0000	0.0000	0.6018	6.7289
24	-0.2512	-0.1256	215.9893	261.0000	200.9809	6.2199	3.9385	4.8499	6.5874	8.4116	8.8439	10.6841	11.0276	3.2871	0.8497	4.8282	0.7995	0.0000	0.0000	0.0000	0.0000	0.3616	6.6265
25	-0.1256	0.0000	227.7755	267.0000	216.8957	5.3656	0.0245	5.4897	6.2639	6.5933	8.2134	9.0944	10.3293	1.5484	0.8417	5.0700	0.7788	0.0000	0.0000	0.0000	0.0000	0.2920	6.2822
26	0.0000	0.1256	197.7609	246.0000	185.5052	6.1966	0.0716	5.9875	6.8240	7.5288	7.1086	10.1611	9.8538	2.2642	0.8522	4.3780	0.7422	0.0000	0.0000	0.0000	0.0000	0.2103	5.5778
27	0.1256	0.2512	211.2634	249.0000	200.1578	6.2479	0.0488	4.8088	6.6357	6.9742	6.5595	9.6267	9.3306	3.6196	0.8470	4.6333	0.7477	0.0000	0.0000	0.0000	0.0000	0.3349	4.5608
28	0.2512	0.3768	226.7295	265.0000	215.4651	5.6729	0.0642	5.5273	6.3383	6.9443	9.3318	9.4020	11.2808	2.0471	0.8426	4.5738	0.7404	0.0000	0.0000	0.0000	0.0000	0.2061	7.8559
29	0.3768	0.5024	216.9873	284.0000	205.6752	6.0565	0.0000	5.2557	6.5041	9.7271	6.8861	11.7013	9.4721	2.6239	0.8473	4.6956	0.6771	0.0000	0.0000	0.0000	0.0000	0.5893	8.2170
30	0.5024	0.6280	217.6399	280.0000	206.8003	6.2858	0.0652	4.4886	6.4963	6.2025	8.0920	8.9819	10.3770	1.3453	0.8416	4.4598	0.6963	0.0000	0.0000	0.0000	0.0000	0.1449	6.5997
31	0.6280	0.7536	223.3522	281.0000	212.1977	5.9024	0.1781	5.0739	6.5198	7.9910	8.8851	10.3132	11.0205	4.6130	0.8314	4.6323	0.6678	0.0000	0.0000	0.0000	0.0000	1.4568	6.6505
32	0.7536	0.8792	223.3272	280.0000	209.1548	6.4049	0.1058	7.6617	6.4121	7.3758	6.7555	9.7733	9.3140	1.2177	0.8472	5.2925	0.8253	0.0000	0.0000	0.0000	0.0000	0.1892	4.9958
33	0.8792	1.0048	216.1565	280.0000	205.2204	5.8493	0.0518	5.0351	6.4588	5.9753	5.2346	8.7989	8.3137	1.3159	0.8388	4.7231	0.7143	0.0000	0.0000	0.0000	0.0000	1.2384	3.0632
