Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
9	800.0000	900.0000	259.3760	0.0000	49.3892	202.7168	1.9077	5.3623	2.7764	6.6431	5.2312	7.2000	5.9224	0.2593	0.8446	4.9401	0.7781	0.0000	0.0000	0.0000	0.0000	0.6734	4.2293
10	900.0000	1000.0000	216.0967	0.0000	52.2760	156.4609	2.0711	5.2886	3.6227	7.2008	6.9792	8.0608	7.8634	0.4704	0.8476	4.9965	0.7676	0.0000	0.0000	0.0000	0.0000	1.2534	5.0576
11	1000.0000	1100.0000	149.2345	0.0000	31.1929	112.0492	1.8732	4.1191	3.7976	8.0063	7.8006	8.8613	8.6758	2.4644	0.8477	4.9366	0.7684	0.0000	0.0000	0.0000	0.0000	1.3804	5.6822
12	1100.0000	1200.0000	111.5421	0.0000	20.8568	80.0691	6.7811	3.8351	6.7161	8.8373	6.3922	11.0998	9.2718	1.8686	0.8601	5.2833	0.8065	0.0000	0.0000	0.0000	0.0000	0.9717	6.7908
13	1200.0000	1300.0000	78.6149	0.0000	18.0458	57.4720	0.8830	2.2140	5.6576	7.1627	8.5233	9.1276	10.2300	1.6351	0.8497	5.1282	0.8148	0.0000	0.0000	0.0000	0.0000	3.0094	5.8823
14	1300.0000	1400.0000	61.5138	0.0000	19.6560	38.8972	0.5402	2.4204	8.0978	8.2714	7.4848	11.5754	11.0271	0.3278	0.8430	5.2147	0.7725	0.0000	0.0000	0.0000	0.0000	4.0001	5.3824
15	1400.0000	1500.0000	43.1692	0.0000	11.4487	28.7737	0.9134	2.0335	7.8180	9.4055	7.1669	12.2305	10.6059	5.4334	0.8602	5.0051	0.8613	0.0000	0.0000	0.0000	0.0000	1.3026	5.5418
16	1500.0000	1600.0000	32.3031	0.0000	10.9159	19.0843	0.7329	1.5700	10.3620	7.8988	10.7353	13.0293	14.9204	2.0472	0.8632	5.0597	0.8046	0.0000	0.0000	0.0000	0.0000	1.2895	9.2662
17	1600.0000	1700.0000	24.0336	0.0000	7.3000	15.0724	0.5896	1.0715	12.7431	11.0701	7.8016	16.8800	14.9416	4.5754	0.8434	4.9715	0.7170	0.0000	0.0000	0.0000	0.0000	1.5886	8.6989
18	1700.0000	1800.0000	14.0274	0.0000	2.4428	10.4375	0.2982	0.8490	11.0711	17.9705	17.1790	21.1071	20.4374	0.1289	0.8642	5.2153	0.9404	0.0000	0.0000	0.0000	0.0000	9.6123	16.3611
19	1800.0000	1900.0000	13.2526	0.0000	5.3598	7.0132	0.3108	0.5688	18.3441	23.9602	15.1975	30.1761	23.8216	22.1082	0.8472	5.2349	0.8596	0.0000	0.0000	0.0000	0.0000	0.1206	7.5127
20	1900.0000	2000.0000	9.0778	0.0000	1.9169	6.5616	0.1655	0.4337	13.2409	10.7847	10.0853	17.0772	16.6444	4.1739	0.8601	4.8689	0.8021	0.0000	0.0000	0.0000	0.0000	1.1458	8.7172
21	2000.0000	2100.0000	8.1783	0.0000	3.1828	4.5630	0.1466	0.2859	21.5318	6.1795	22.6476	22.4010	31.2495	2.5223	0.8736	5.9782	0.8715	0.0000	0.0000	0.0000	0.0000	1.4319	21.6697
