Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	30.8069	0.0000	5.6954	23.8303	0.2894	0.9918	8.5018	3.8460	5.6127	9.3313	10.1874	1.1823	0.0000	0.0000	0.0000	0.3905	0.0000	1.0769	0.4090	0.4606	5.3316
2	-3.0144	-2.8888	32.7155	0.0000	6.1256	24.9229	0.3431	1.3239	7.2043	4.7290	8.0701	8.6177	10.8180	1.8368	0.0000	0.0000	0.0000	0.6189	0.0000	1.4183	0.6131	3.2997	6.9377
3	-2.8888	-2.7632	38.7213	0.0000	10.3505	26.6154	0.3567	1.3987	9.7190	5.7386	8.0430	11.2867	12.6154	3.4768	0.0000	0.0000	0.0000	0.4227	0.0000	1.4222	0.4273	0.5630	7.4871
4	-2.7632	-2.6376	29.0286	0.0000	3.6853	24.2724	0.1367	0.9342	7.0051	4.6163	7.1907	8.3894	10.0388	2.8431	0.0000	0.0000	0.0000	0.4233	0.0000	1.1424	0.4437	0.8680	6.5794
5	-2.6376	-2.5120	31.2107	0.0000	7.7212	22.5043	0.2899	0.6953	10.3756	6.1421	7.2724	12.0573	12.6705	5.7133	0.0000	0.0000	0.0000	0.4275	0.0000	1.2375	0.4631	3.1183	3.5054
6	-2.5120	-2.3864	33.6206	0.0000	7.7901	24.7171	0.1118	1.0016	8.3415	4.1891	6.8027	9.3342	10.7637	0.1128	0.0000	0.0000	0.0000	0.3814	0.0000	1.1785	0.3992	0.3072	6.6770
7	-2.3864	-2.2608	31.4366	0.0000	8.0682	22.3157	0.3547	0.6980	8.9708	5.9267	4.1561	10.7518	9.8868	0.1922	0.0000	0.0000	0.0000	0.6029	0.0000	1.3504	0.5893	0.6208	5.6934
8	-2.2608	-2.1352	28.3974	0.0000	6.0922	21.5652	0.1038	0.6362	9.0919	8.1261	6.6285	12.1941	11.2517	2.1493	0.0000	0.0000	0.0000	0.4132	0.0000	1.1006	0.4487	2.8904	7.1747
9	-2.1352	-2.0096	39.7833	0.0000	15.8533	22.6145	0.5165	0.7989	11.2320	8.0807	4.2495	13.8367	12.0090	3.7706	0.0000	0.0000	0.0000	0.8306	0.0000	1.7893	0.8451	2.8334	6.2005
10	-2.0096	-1.8840	31.8143	0.0000	6.9188	23.9322	0.1563	0.8069	8.7873	5.4623	4.0631	10.3467	9.6812	2.4092	0.0000	0.0000	0.0000	0.4764	0.0000	1.1928	0.4867	0.7672	4.9842
11	-1.8840	-1.7584	31.4369	0.0000	4.9282	25.4209	0.3116	0.7763	7.5984	3.7333	7.7350	8.4660	10.8428	0.4644	0.0000	0.0000	0.0000	0.6363	0.0000	1.4675	0.6160	0.9977	7.5310
12	-1.7584	-1.6328	31.4530	0.0000	7.4818	22.8558	0.1646	0.9508	9.5940	8.5221	6.2515	12.8325	11.4511	7.3602	0.0000	0.0000	0.0000	0.5298	0.0000	1.0739	0.4620	0.6041	6.0895
13	-1.6328	-1.5072	33.5590	0.0000	7.3048	25.0274	0.2103	1.0164	8.3925	6.4832	6.0918	10.6050	10.3704	3.2427	0.0000	0.0000	0.0000	0.6382	0.0000	1.5770	0.6011	0.2973	5.3161
14	-1.5072	-1.3816	31.2473	0.0000	8.4628	21.8266	0.2997	0.6582	9.3934	3.5490	6.0711	10.0415	11.1846	1.3668	0.0000	0.0000	0.0000	0.3209	0.0000	0.9296	0.3514	0.4646	5.8045
15	-1.3816	-1.2560	32.3846	0.0000	6.4992	24.8816	0.3552	0.6487	7.5689	3.0205	4.1449	8.1494	8.6295	0.6489	0.0000	0.0000	0.0000	0.4577	0.0000	1.1275	0.4677	0.2378	3.9163
16	-1.2560	-1.1304	30.1564	0.0000	4.4510	24.7483	0.0706	0.8865	6.9603	5.6054	2.7825	8.9368	7.4959	0.5465	0.0000	0.0000	0.0000	0.4662	0.0000	1.1679	0.4758	0.2261	5.4142
17	-1.1304	-1.0048	27.4151	0.0000	3.3069	23.1701	0.2367	0.7016	7.2375	4.4820	3.0977	8.5129	7.8725	1.4930	0.0000	0.0000	0.0000	0.4219	0.0000	1.1113	0.4458	0.6768	4.0279
18	-1.0048	-0.8792	29.7207	0.0000	4.0372	25.0699	0.1210	0.4925	7.0279	4.6479	6.1497	8.4258	9.3386	1.4043	0.0000	0.0000	0.0000	0.3629	0.0000	1.0345	0.3863	1.5359	5.6699
