Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
2	-2.4000	-2.3000	9.1939	12.0000	7.4969	0.2647	0.9714	0.4609	10.1331	4.9713	3.2009	11.2869	10.6267	2.5015	0.0027	0.0000	0.0000	0.3703	0.0000	1.2610	0.3057	0.0146	4.0787
3	-2.3000	-2.2000	12.4319	40.0000	10.1698	0.3353	1.1838	0.7430	11.6422	3.1512	4.9307	12.0611	12.6432	3.4734	0.0000	0.0000	0.0000	0.3340	0.0000	1.2330	0.2769	0.8844	3.1266
4	-2.2000	-2.1000	19.9295	36.0000	17.8915	0.4262	0.4881	1.1237	8.3042	3.7401	3.8446	9.1076	9.1510	3.1347	0.0000	0.0000	0.0000	0.3705	0.0000	1.3670	0.2975	0.1571	1.9742
5	-2.1000	-2.0000	19.8834	43.0000	16.6955	0.4952	1.8193	0.8733	7.3748	2.9012	3.0815	7.9249	7.9927	0.9998	0.0000	0.0000	0.0000	0.3637	0.0000	1.4463	0.3230	0.8592	2.4320
6	-2.0000	-1.9000	25.1209	45.0000	20.7863	0.6900	2.4665	1.1781	7.1893	3.8726	2.9879	8.1659	7.7854	1.8148	0.0000	0.0000	0.0000	0.4324	0.0000	1.3918	0.3547	0.3941	3.0817
7	-1.9000	-1.8000	27.9162	38.0000	21.6504	0.9718	3.0750	2.2190	5.2942	5.7823	3.9276	7.8398	6.5920	0.7067	0.0005	0.0000	0.0000	0.4318	0.0000	1.4664	0.3722	0.1602	5.5473
8	-1.8000	-1.7000	31.0100	51.0000	23.3268	1.3048	3.7012	2.6772	4.6069	3.0531	3.0912	5.5268	5.5479	1.2787	0.0017	0.0000	0.0000	0.3743	0.0000	1.4713	0.3527	0.3565	2.3315
9	-1.7000	-1.6000	35.5030	68.0000	26.9494	1.2979	4.3296	2.9262	5.2278	3.7278	2.5418	6.4208	5.8130	0.6254	0.0005	0.0000	0.0000	0.4170	0.0000	1.4982	0.3934	0.2010	3.3148
10	-1.6000	-1.5000	40.2835	75.0000	30.5724	1.5403	5.1725	2.9983	4.2875	3.5673	2.5057	5.5774	4.9660	1.0403	0.0003	0.0000	0.0000	0.4519	0.0000	1.5646	0.4452	0.0736	3.0473
11	-1.5000	-1.4000	41.9873	73.0000	32.7227	1.7996	4.2270	3.2379	4.8135	4.3267	2.9909	6.4723	5.6671	1.3742	0.0005	0.0000	0.0000	0.4194	0.0000	1.5322	0.4185	0.2815	3.7488
12	-1.4000	-1.3000	44.9808	71.0000	31.9957	1.9748	7.5464	3.4640	3.6877	2.5472	2.9832	4.4819	4.7432	1.6963	0.0001	0.0000	0.0000	0.4192	0.0000	1.4861	0.4169	0.1077	1.8668
13	-1.3000	-1.2000	51.2778	89.0000	39.2122	2.4320	6.3019	3.3317	4.6943	3.0365	3.6009	5.5908	5.9163	1.1455	0.0000	0.0000	0.0000	0.4243	0.0000	1.4882	0.4214	0.1084	3.0186
14	-1.2000	-1.1000	47.2988	83.0000	33.9595	2.2887	7.2165	3.8341	3.7702	3.3666	2.1721	5.0545	4.3512	1.0332	0.0009	0.0000	0.0000	0.3722	0.0000	1.2057	0.3787	0.0857	3.0074
15	-1.1000	-1.0000	53.8552	106.0000	39.0388	3.8835	6.7006	4.2323	4.2566	2.2669	2.3221	4.8226	4.8488	1.1037	0.0000	0.0000	0.0000	0.3489	0.0000	1.1212	0.3447	0.2250	1.6288
16	-1.0000	-0.9000	54.0222	105.0000	36.7118	3.4366	8.3662	5.5076	3.4243	2.5122	1.7039	4.2470	3.8248	0.6016	0.0003	0.0000	0.0000	0.3402	0.0000	1.1185	0.3430	0.0711	2.1742
17	-0.9000	-0.8000	54.7276	98.0000	37.6427	3.2257	8.8012	5.0580	3.4253	1.8219	1.8893	3.8797	3.9118	0.7634	0.0009	0.0000	0.0000	0.3740	0.0000	0.9931	0.3666	0.0417	1.4038
18	-0.8000	-0.7000	56.5026	85.0000	39.3587	3.0289	9.4179	4.6971	3.5270	2.3998	1.5914	4.2660	3.8694	0.5252	0.0000	0.0000	0.0000	0.3911	0.0000	0.9909	0.3833	0.2088	2.0391
19	-0.7000	-0.6000	60.2833	81.0000	40.1052	3.7051	11.0299	5.4431	3.5383	1.9356	1.3014	4.0331	3.7700	0.3525	0.0002	0.0000	0.0000	0.3341	0.0000	0.8884	0.3317	0.2520	1.6049
20	-0.6000	-0.5000	62.0834	99.0000	40.3193	4.3697	11.9306	5.4639	3.6619	1.5893	2.3367	3.9919	4.3439	0.6368	0.0001	0.0000	0.0000	0.3031	0.0000	0.8312	0.2998	0.3051	2.0230
21	-0.5000	-0.4000	58.9997	101.0000	38.1124	4.1074	11.2493	5.5307	3.2019	2.0437	2.6741	3.7986	4.1717	0.8971	0.0004	0.0000	0.0000	0.2710	0.0000	0.7968	0.2744	0.0958	2.4947
22	-0.4000	-0.3000	63.4860	103.0000	43.6913	3.7752	10.8200	5.1995	3.8846	3.2020	2.8082	5.0341	4.7933	1.8919	0.0002	0.0000	0.0000	0.2911	0.0000	0.7901	0.2850	0.2005	2.4239
23	-0.3000	-0.2000	57.6450	78.0000	40.1564	3.5092	7.9997	5.9797	3.7073	2.5761	2.0212	4.5144	4.2225	1.2647	0.0000	0.0000	0.0000	0.2918	0.0000	0.8053	0.2905	0.1246	2.1147
24	-0.2000	-0.1000	60.4294	112.0000	40.4870	3.8321	10.5159	5.5944	3.6789	1.3940	1.9355	3.9342	4.1570	0.4493	0.0007	0.0000	0.0000	0.2710	0.0000	0.7809	0.2760	0.0604	1.7280
25	-0.1000	0.0000	64.6376	100.0000	40.3914	4.9255	12.4186	6.9021	3.5050	1.8339	1.7151	3.9558	3.9021	0.4572	0.0003	0.0000	0.0000	0.2847	0.0000	0.7922	0.2848	0.0418	1.5377
26	0.0000	0.1000	60.0414	93.0000	41.0638	3.7280	10.2713	4.9783	3.6963	1.9883	2.0640	4.1971	4.2335	1.0403	0.0005	0.0000	0.0000	0.2756	0.0000	0.7695	0.2757	0.0743	1.5968
27	0.1000	0.2000	61.1162	96.0000	40.7273	4.7768	10.9982	4.6139	3.7487	1.8274	3.0808	4.1704	4.8523	0.3509	0.0001	0.0000	0.0000	0.2796	0.0000	0.7812	0.2807	0.1979	2.9266
28	0.2000	0.3000	55.6385	81.0000	35.6663	4.1664	10.0259	5.7799	3.5784	1.8904	1.3874	4.0470	3.8380	0.6893	0.0006	0.0000	0.0000	0.2729	0.0000	0.7754	0.2746	0.1057	1.6668
29	0.3000	0.4000	61.1231	86.0000	40.4901	3.9627	10.4020	6.2683	4.0568	1.6097	1.5946	4.3645	4.3590	0.1801	0.0000	0.0000	0.0000	0.2933	0.0000	0.8161	0.2897	0.1061	1.3249
30	0.4000	0.5000	57.8744	78.0000	37.6141	3.2201	11.0741	5.9660	3.2123	2.5139	1.5704	4.0790	3.5756	0.9566	0.0000	0.0000	0.0000	0.2894	0.0000	0.8189	0.2914	0.2166	2.1367
