Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
2	-2.4000	-2.3000	1.8410	0.0000	0.2767	0.9109	0.5588	0.0945	15.1949	6.9557	7.4563	16.7113	16.9258	2.7571	0.5061	6.7348	1.5434	0.0000	0.0000	0.0000	0.0000	0.0606	0.0615
3	-2.3000	-2.2000	1.9919	0.0000	0.2060	1.0464	0.6391	0.1004	18.8467	7.6810	7.4181	20.3518	20.2541	4.4270	0.5061	6.1064	1.3622	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
4	-2.2000	-2.1000	2.1917	0.0000	0.3069	1.4404	0.3913	0.0530	13.9819	7.2182	6.7316	15.7351	15.5179	3.8492	0.5061	5.8608	1.6372	0.0000	0.0000	0.0000	0.0000	0.0000	0.0084
5	-2.1000	-2.0000	2.1695	0.0000	0.3109	1.4457	0.2952	0.1176	14.9594	7.2065	6.7740	16.6048	16.4217	1.2772	0.5061	6.4830	1.6274	0.0000	0.0000	0.0000	0.0000	0.0003	2.3172
6	-2.0000	-1.9000	3.4164	0.0000	0.2808	1.8231	1.0200	0.2926	13.4925	4.9954	6.0646	14.3875	14.7928	5.4585	0.5061	2.1121	1.5051	0.0000	0.0000	0.0000	0.0000	0.0000	0.0408
7	-1.9000	-1.8000	4.0516	0.0000	0.6327	2.7744	0.5224	0.1220	10.8577	2.7365	3.2231	11.1972	11.3260	1.7979	0.5061	1.9974	1.6463	0.0000	0.0000	0.0000	0.0000	0.0022	0.4472
8	-1.8000	-1.7000	5.5058	0.0000	0.4028	3.7655	1.0570	0.2805	10.1308	4.2910	3.9561	11.0021	10.8759	2.9182	0.5061	2.1943	1.6452	0.0000	0.0000	0.0000	0.0000	0.0090	1.4556
9	-1.7000	-1.6000	6.6303	0.0000	0.9123	4.2365	1.2240	0.2576	13.7032	3.3046	4.5173	14.0961	14.4286	3.6282	0.5061	2.0746	1.5997	0.0000	0.0000	0.0000	0.0000	0.0000	0.3510
10	-1.6000	-1.5000	1.8541	0.0000	0.1490	0.9490	0.6855	0.0705	18.2121	5.6227	5.0617	19.0603	18.9024	2.3063	0.4432	4.1245	1.4445	0.0000	0.0000	0.0000	0.0000	0.0000	3.4811
11	-1.5000	-1.4000	3.8818	0.0000	0.3582	2.5568	0.7953	0.1714	11.1477	4.2520	4.2346	11.9311	11.9249	2.0587	0.3312	3.6145	0.7205	0.0000	0.0000	0.0000	0.0000	0.0000	1.7744
