Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
3	200.0000	300.0000	8.0431	0.0000	0.0000	7.7650	0.0000	0.2781	8.2922	5.4648	3.7149	9.9310	9.0863	5.3893	0.0000	0.0000	0.0000	0.1471	0.0000	0.6161	0.1703	0.5600	0.6233
4	300.0000	400.0000	54.1722	0.0000	5.5459	45.8334	2.2870	0.5058	6.7579	3.3218	1.7400	7.5302	6.9784	3.1641	0.0000	0.0000	0.0000	0.2797	0.0000	0.8143	0.2630	0.0711	0.7396
5	400.0000	500.0000	83.1106	0.0000	4.7284	69.3356	7.7575	1.2892	9.9608	2.8122	3.6393	10.3501	10.6048	3.1369	0.0000	0.0000	0.0000	0.6958	0.0000	1.5350	0.6891	0.0883	0.3185
6	500.0000	600.0000	41.4001	0.0000	3.5237	49.1782	-12.2668	0.9650	29.1802	1.6590	2.1369	29.2273	29.2583	1.4639	0.0000	0.0000	0.0000	0.4555	0.0000	1.2143	0.4266	0.1140	0.9425
7	600.0000	700.0000	28.9223	0.0000	1.5133	26.3605	0.0000	1.0485	5.6772	1.9710	1.6907	6.0096	5.9236	1.0224	0.0000	0.0000	0.0000	0.4840	0.0000	1.5394	0.4528	0.2726	0.1746
8	700.0000	800.0000	14.2137	0.0000	0.9445	12.4077	0.0000	0.8615	7.9329	3.5678	3.3153	8.6983	8.5978	2.5205	0.0000	0.0000	0.0000	0.8554	0.0000	2.2313	0.8040	0.0000	0.1391
9	800.0000	900.0000	8.9512	0.0000	2.2010	6.3508	0.0000	0.3993	18.5022	4.9682	6.0871	19.1576	19.4778	4.8914	0.0000	0.0000	0.0000	1.4108	0.0000	3.0883	1.3327	0.0000	0.6105
10	900.0000	1000.0000	6.9706	0.0000	2.8917	3.7094	0.0000	0.3695	24.9529	4.0152	5.8171	25.2739	25.6220	4.3618	0.0000	0.0000	0.0000	1.5691	0.0000	3.2629	1.3763	0.0007	0.0000
11	1000.0000	1100.0000	2.4974	0.0000	0.0000	2.1369	0.0000	0.3605	12.8788	3.8819	3.8928	13.4511	13.4542	0.7870	0.0000	0.0000	0.0000	1.1764	0.0000	3.5190	1.0576	0.0016	0.0016
12	1100.0000	1200.0000	1.6801	0.0000	0.0000	1.5607	0.0000	0.1193	17.2975	4.6930	4.2581	17.9228	17.8139	2.2210	0.0000	0.0000	0.0000	1.4146	0.0000	3.6957	1.1966	0.0000	0.0000
14	1300.0000	1400.0000	0.5654	0.0000	0.0000	0.4113	0.0000	0.1541	29.0657	6.9719	8.2669	29.8902	30.2185	5.6011	0.0000	0.0000	0.0000	1.7345	0.0000	5.7342	1.5965	0.0000	0.0000
15	1400.0000	1500.0000	0.3731	0.0000	0.0000	0.3139	0.0000	0.0592	33.6757	12.5969	11.6633	35.9546	35.6382	11.1596	0.0000	0.0000	0.0000	2.4293	0.0000	4.8626	2.1445	0.0000	0.0000
16	1500.0000	1600.0000	0.0264	0.0000	0.0000	-0.0488	0.0000	0.0752	430.8229	53.9237	37.8069	434.1844	432.4786	36.7602	0.0000	0.0000	0.0000	18.0365	0.0000	31.0638	16.3149	0.0000	0.0000
17	1600.0000	1700.0000	0.1219	0.0000	0.0000	0.1053	0.0000	0.0166	60.6743	16.7540	11.9469	62.9450	61.8393	14.1088	0.0000	0.0000	0.0000	3.5401	0.0000	7.5675	3.4405	0.0000	0.0000
18	1700.0000	1800.0000	0.0105	0.0000	0.0000	-0.0021	0.0000	0.0126	691.0254	54.1656	50.1515	693.1450	692.8429	12.7513	0.0000	0.0000	0.0000	14.8139	0.0000	49.4633	10.2588	0.0000	0.0000
19	1800.0000	1900.0000	0.0795	0.0000	0.0000	0.0700	0.0000	0.0095	76.1895	10.9811	9.7926	76.9768	76.8163	8.3040	0.0000	0.0000	0.0000	1.5989	0.0000	6.8248	1.5792	0.0000	0.0000
20	1900.0000	2000.0000	0.0880	0.0000	0.0000	0.0696	0.0000	0.0184	50.5505	15.4592	16.4963	52.8615	53.1741	14.2151	0.0000	0.0000	0.0000	3.0903	0.0000	7.5475	2.7174	0.0000	0.0000
