Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	0.0000	50.0000	0.5680	11.0000	0.0000	0.0000	0.0000	0.5680	28.3732	15.0710	5.1606	32.1275	28.8387	14.4992	0.9064	4.0112	0.0000	0.0000	0.0000	0.0000	0.0000	0.8514	3.0907
2	50.0000	100.0000	3.2718	88.0000	0.0473	0.0718	0.0000	3.1527	15.0531	9.0858	13.6918	17.5826	20.3485	4.6602	0.8933	4.2362	0.0000	0.0000	0.0000	0.0000	0.0000	0.3576	12.1509
3	100.0000	150.0000	43.5066	396.0000	12.4757	12.7188	0.2909	18.0211	3.6455	8.7620	7.9658	9.4902	8.7604	1.4223	0.8623	4.4862	0.1283	0.0000	0.0000	0.0000	0.0000	0.5005	7.3222
4	150.0000	200.0000	1060.9183	2347.0000	939.6608	83.7840	3.1517	34.3217	1.1157	8.4533	8.7279	8.5267	8.7989	0.7832	0.8622	4.7896	0.4704	0.0000	0.0000	0.0000	0.0000	0.2677	7.2544
5	200.0000	250.0000	2156.2412	4344.0000	2003.4261	107.8543	5.1727	39.7881	0.7816	8.1118	7.7641	8.1493	7.8033	0.1873	0.8552	4.7022	0.7600	0.0000	0.0000	0.0000	0.0000	0.0785	6.5069
6	250.0000	300.0000	1940.0201	3968.0000	1843.1917	50.3198	3.3291	43.1795	0.7848	7.6999	7.5961	7.7398	7.6365	0.3126	0.8467	4.7945	0.8469	0.0000	0.0000	0.0000	0.0000	0.2291	5.8922
7	300.0000	350.0000	1597.6406	3051.0000	1530.1502	24.4549	1.8369	41.1987	0.8179	7.5994	7.0536	7.6433	7.1008	0.5794	0.8391	4.7186	0.7967	0.0000	0.0000	0.0000	0.0000	0.1271	5.8139
8	350.0000	400.0000	1249.2771	2414.0000	1203.6172	9.0090	1.5791	35.0719	0.8502	6.5587	6.5134	6.6136	6.5687	0.1659	0.8316	4.6983	0.7537	0.0000	0.0000	0.0000	0.0000	0.1008	4.5093
9	400.0000	450.0000	856.6561	1537.0000	825.7757	4.0867	0.5418	26.2520	0.8363	5.2902	5.4152	5.3559	5.4794	0.4955	0.8288	4.6509	0.7384	0.0000	0.0000	0.0000	0.0000	0.0723	2.7288
10	450.0000	500.0000	391.4307	677.0000	378.6450	1.7977	0.1946	10.7934	1.1943	5.0372	4.9301	5.1769	5.0727	0.5761	0.8241	4.4924	0.7102	0.0000	0.0000	0.0000	0.0000	0.1208	1.9746
11	500.0000	550.0000	164.3474	267.0000	157.7750	1.0565	0.2468	5.2690	1.8468	4.8433	4.7676	5.1835	5.1128	0.9247	0.8230	4.2838	0.7094	0.0000	0.0000	0.0000	0.0000	0.3125	1.8522
12	550.0000	600.0000	70.0771	101.0000	67.9866	0.3712	0.0823	1.6370	2.5843	4.8332	4.8456	5.4807	5.4917	1.1654	0.8178	4.2448	0.6728	0.0000	0.0000	0.0000	0.0000	0.1952	1.9554
13	600.0000	650.0000	34.4908	58.0000	32.8187	0.1499	0.1271	1.3952	3.4617	4.6056	4.2709	5.7615	5.4976	0.2550	0.8171	4.0403	0.6615	0.0000	0.0000	0.0000	0.0000	0.2725	1.9124
14	650.0000	700.0000	15.3762	32.0000	14.7284	0.0504	0.0736	0.5238	4.4984	4.5616	4.6993	6.4066	6.5053	1.3879	0.8135	4.1686	0.6187	0.0000	0.0000	0.0000	0.0000	0.2823	1.9884
15	700.0000	750.0000	8.2005	17.0000	7.8009	0.0033	0.0534	0.3429	5.5615	4.3574	4.3375	7.0652	7.0530	1.2006	0.8196	3.9960	0.6825	0.0000	0.0000	0.0000	0.0000	0.2372	1.2566
16	750.0000	800.0000	4.4212	4.0000	4.3326	0.0226	0.0007	0.0652	6.0526	7.1678	5.3431	9.3815	8.0736	5.7603	0.8064	4.0007	0.6042	0.0000	0.0000	0.0000	0.0000	0.0445	1.3976
17	800.0000	850.0000	2.1682	2.0000	2.1188	0.0000	0.0064	0.0430	6.0721	5.1996	5.2596	7.9941	8.0333	2.8095	0.8094	4.3000	0.6261	0.0000	0.0000	0.0000	0.0000	0.1917	1.7989
18	850.0000	900.0000	1.0496	4.0000	1.0310	0.0000	0.0047	0.0138	8.9497	6.8411	5.1691	11.2649	10.3353	5.1890	0.8048	4.2989	0.6028	0.0000	0.0000	0.0000	0.0000	0.0162	0.6186
19	900.0000	950.0000	0.5458	1.0000	0.5324	0.0053	0.0000	0.0081	12.5030	4.5079	6.0763	13.2908	13.9013	0.6367	0.7987	4.3896	0.5862	0.0000	0.0000	0.0000	0.0000	0.0352	4.1384
20	950.0000	1000.0000	0.4545	0.0000	0.4387	0.0000	0.0013	0.0145	10.8343	6.4494	6.9419	12.6086	12.8675	5.1679	0.8057	4.4376	0.6141	0.0000	0.0000	0.0000	0.0000	0.0122	1.2612
