Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	392.8602	739.0000	364.4975	20.1534	1.4062	6.8031	1.7827	6.1718	5.5201	6.4241	5.8008	0.4208	0.0000	0.0000	0.0000	0.2473	0.0000	0.6772	0.2854	1.0626	6.0782
2	-3.0144	-2.8888	368.4425	847.0000	338.8399	21.2368	1.4860	6.8798	1.7229	6.8608	4.5564	7.0738	4.8713	0.1664	0.0000	0.0000	0.0000	0.2418	0.0000	0.6878	0.2864	1.0879	6.7282
3	-2.8888	-2.7632	384.9458	772.0000	354.1291	21.2577	1.7260	7.8329	1.7463	5.8077	6.7626	6.0646	6.9845	0.9304	0.0000	0.0000	0.0000	0.2444	0.0000	0.6913	0.2863	0.6030	6.6796
4	-2.7632	-2.6376	383.0782	871.0000	352.9097	22.5106	1.1408	6.5170	1.7092	5.7074	5.6760	5.9579	5.9278	0.1768	0.0000	0.0000	0.0000	0.2307	0.0000	0.6895	0.2821	0.3033	5.6440
5	-2.6376	-2.5120	385.3412	752.0000	353.6948	21.7179	1.7822	8.1462	1.6941	4.7240	7.4014	5.0186	7.5928	0.3607	0.0000	0.0000	0.0000	0.2248	0.0000	0.6636	0.2737	0.6884	7.3272
6	-2.5120	-2.3864	380.0465	849.0000	350.4846	20.0513	1.3585	8.1520	1.7628	6.3943	4.3561	6.6328	4.6993	0.0810	0.0000	0.0000	0.0000	0.2401	0.0000	0.6913	0.2848	1.4140	6.1859
7	-2.3864	-2.2608	395.0098	816.0000	364.5373	21.4724	1.4983	7.5018	1.7597	5.8981	7.6032	6.1550	7.8042	0.4732	0.0000	0.0000	0.0000	0.2338	0.0000	0.6726	0.2794	0.3532	7.5418
8	-2.2608	-2.1352	389.9022	782.0000	360.7122	20.8358	1.5493	6.8049	1.8509	6.0539	6.2777	6.3305	6.5449	0.5841	0.0000	0.0000	0.0000	0.2434	0.0000	0.6768	0.2827	0.2411	6.1990
9	-2.1352	-2.0096	391.0412	750.0000	361.5685	20.8086	0.9719	7.6921	1.8020	5.4313	7.6181	5.7224	7.8283	0.3113	0.0000	0.0000	0.0000	0.2224	0.0000	0.6624	0.2711	0.9680	7.5193
10	-2.0096	-1.8840	373.9360	767.0000	343.2115	22.1846	1.4834	7.0565	1.7265	7.1386	5.7311	7.3444	5.9855	0.4675	0.0000	0.0000	0.0000	0.2354	0.0000	0.6778	0.2804	0.6902	7.0478
11	-1.8840	-1.7584	379.9738	763.0000	351.1936	20.8811	1.5182	6.3809	1.7658	4.4214	4.6258	4.7610	4.9514	0.4582	0.0000	0.0000	0.0000	0.2506	0.0000	0.6740	0.2893	0.8490	4.4576
12	-1.7584	-1.6328	366.5906	754.0000	337.0020	21.9793	1.2655	6.3438	1.6723	7.0929	6.5493	7.2874	6.7594	0.5383	0.0000	0.0000	0.0000	0.2378	0.0000	0.6872	0.2857	0.7279	6.9937
13	-1.6328	-1.5072	377.4613	789.0000	346.4509	20.8100	1.7013	8.4991	1.7242	4.7860	4.2055	5.0871	4.5452	0.3842	0.0000	0.0000	0.0000	0.2471	0.0000	0.6842	0.2890	0.6122	4.6856
14	-1.5072	-1.3816	383.7752	772.0000	354.9533	19.8652	1.3548	7.6019	1.6536	6.0068	7.5826	6.2303	7.7608	0.3805	0.0000	0.0000	0.0000	0.2494	0.0000	0.6816	0.2910	1.1819	7.4478
15	-1.3816	-1.2560	376.6286	764.0000	347.9216	20.7335	2.0774	5.8960	1.7517	6.4382	4.3328	6.6723	4.6735	0.3902	0.0000	0.0000	0.0000	0.2298	0.0000	0.6686	0.2786	0.5692	6.3559
16	-1.2560	-1.1304	380.3302	756.0000	351.2815	21.2634	1.6021	6.1832	1.7505	5.8017	5.5573	6.0601	5.8265	0.7641	0.0000	0.0000	0.0000	0.2337	0.0000	0.6721	0.2791	0.9149	5.6627
17	-1.1304	-1.0048	380.2123	790.0000	352.2318	20.2912	1.1581	6.5313	1.7475	5.8210	5.7821	6.0776	6.0404	0.2713	0.0000	0.0000	0.0000	0.2394	0.0000	0.6674	0.2797	1.1470	5.7645
18	-1.0048	-0.8792	382.1259	792.0000	352.7155	21.1214	1.0373	7.2517	1.7553	6.3068	5.6194	6.5465	5.8872	0.3420	0.0000	0.0000	0.0000	0.2451	0.0000	0.6737	0.2840	1.5866	6.0535
19	-0.8792	-0.7536	380.5052	780.0000	350.7192	21.2788	1.8918	6.6154	1.7310	7.4320	6.3015	7.6309	6.5349	0.3591	0.0000	0.0000	0.0000	0.2311	0.0000	0.6790	0.2799	0.6507	7.3901
20	-0.7536	-0.6280	393.1104	774.0000	361.3997	22.5353	0.9967	8.1787	1.7697	4.2769	6.5367	4.6286	6.7721	0.4037	0.0000	0.0000	0.0000	0.2360	0.0000	0.6794	0.2809	1.0612	6.4552
21	-0.6280	-0.5024	380.4438	810.0000	348.4288	22.6757	1.7644	7.5748	1.6023	8.0209	6.0060	8.1794	6.2161	1.0001	0.0000	0.0000	0.0000	0.2282	0.0000	0.6691	0.2762	0.7510	7.8864
22	-0.5024	-0.3768	395.0741	799.0000	364.9712	21.9447	1.0969	7.0614	1.7326	3.3703	6.5726	3.7895	6.7971	0.4073	0.0000	0.0000	0.0000	0.2365	0.0000	0.6757	0.2817	0.9070	6.4515
23	-0.3768	-0.2512	380.0834	760.0000	348.4871	21.1985	2.0739	8.3239	1.7191	7.2074	6.3299	7.4096	6.5592	0.4089	0.0000	0.0000	0.0000	0.2379	0.0000	0.6694	0.2830	1.0936	7.0710
24	-0.2512	-0.1256	386.0654	791.0000	355.8079	21.8868	1.5831	6.7875	1.7546	6.3761	6.9408	6.6131	7.1592	0.9548	0.0000	0.0000	0.0000	0.2326	0.0000	0.6674	0.2786	1.9637	6.5594
25	-0.1256	0.0000	389.6931	882.0000	359.5778	21.3708	1.8072	6.9373	1.7286	5.6078	5.8780	5.8681	6.1269	0.7121	0.0000	0.0000	0.0000	0.2341	0.0000	0.6681	0.2786	0.7074	5.8063
26	0.0000	0.1256	384.7420	811.0000	354.7082	22.1920	1.1269	6.7150	1.7002	6.3094	7.7858	6.5344	7.9693	0.6401	0.0000	0.0000	0.0000	0.2366	0.0000	0.6706	0.2817	0.9973	7.6572
27	0.1256	0.2512	394.5256	792.0000	363.0780	22.6028	1.7062	7.1386	1.7244	5.2828	4.0555	5.5571	4.4068	0.7851	0.0000	0.0000	0.0000	0.2426	0.0000	0.6760	0.2855	0.7799	5.1144
28	0.2512	0.3768	389.7039	853.0000	359.3133	22.2084	1.1849	6.9973	1.8147	4.6782	5.8053	5.0178	6.0823	0.5635	0.0000	0.0000	0.0000	0.2560	0.0000	0.6753	0.2940	0.4299	5.7253
29	0.3768	0.5024	384.1522	786.0000	353.6558	21.2081	1.9473	7.3410	1.7235	6.6570	5.5300	6.8765	5.7924	0.2840	0.0000	0.0000	0.0000	0.2363	0.0000	0.6782	0.2828	1.0464	6.5226
30	0.5024	0.6280	385.1567	799.0000	356.3827	20.3515	1.3200	7.1026	1.7030	6.2351	6.8821	6.4635	7.0897	1.1547	0.0000	0.0000	0.0000	0.2391	0.0000	0.6881	0.2846	1.1561	6.6397
31	0.6280	0.7536	391.4461	819.0000	358.5893	23.0048	1.2750	8.5770	1.7665	7.4616	5.5054	7.6678	5.7819	0.8411	0.0000	0.0000	0.0000	0.2361	0.0000	0.6684	0.2826	0.6067	7.3496
32	0.7536	0.8792	385.7344	812.0000	355.2728	21.4486	1.6483	7.3647	1.7166	5.7493	5.5401	6.0001	5.7999	0.4427	0.0000	0.0000	0.0000	0.2266	0.0000	0.6745	0.2750	0.8328	5.6198
33	0.8792	1.0048	382.2587	814.0000	353.0217	21.2103	1.5592	6.4676	1.7464	7.4314	5.4515	7.6338	5.7244	0.5107	0.0000	0.0000	0.0000	0.2397	0.0000	0.6694	0.2804	0.7591	7.3351
34	1.0048	1.1304	379.4890	795.0000	350.2085	22.5274	1.5588	5.1943	1.7395	6.4428	7.3406	6.6735	7.5439	0.4948	0.0000	0.0000	0.0000	0.2350	0.0000	0.6815	0.2806	1.4346	7.1510
