Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
2	-2.4000	-2.3000	18.6080	15.0000	0.0000	16.9661	0.5821	1.0597	5.0110	5.7641	7.1634	7.6377	8.7421	1.7299	0.4653	2.8894	0.0000	0.0000	0.0000	0.3742	0.3039	1.2464	6.1832
3	-2.3000	-2.2000	21.4090	30.0000	0.7926	18.1109	1.2370	1.2686	5.8740	4.7802	6.8723	7.5733	9.0406	3.5899	0.4652	2.7544	0.0000	0.0000	0.0000	0.3498	0.3021	0.1507	5.1285
4	-2.2000	-2.1000	22.5714	22.0000	0.0000	20.4022	1.0716	1.0976	4.9239	7.0202	4.9998	8.5748	7.0173	3.3610	0.4598	3.0259	0.0000	0.0000	0.0000	0.3854	0.3251	0.4681	5.3053
5	-2.1000	-2.0000	27.4431	33.0000	0.0000	24.9204	0.6796	1.8432	4.1301	5.5314	5.0928	6.9032	6.5570	1.0800	0.4619	3.0348	0.0000	0.0000	0.0000	0.4081	0.1302	0.0687	4.4524
6	-2.0000	-1.9000	26.9897	33.0000	0.0000	25.1652	0.6223	1.2021	4.0431	4.4793	5.8248	6.0341	7.0905	2.5034	0.4643	2.2204	0.0000	0.0000	0.0000	0.4316	0.1371	0.9050	4.6359
7	-1.9000	-1.8000	28.5421	33.0000	0.0000	26.1491	0.9270	1.4660	3.9067	4.4708	5.5501	5.9372	6.7872	0.5681	0.4636	2.1937	0.0000	0.0000	0.0000	0.4357	0.1320	0.2231	5.0564
8	-1.8000	-1.7000	23.5749	25.0000	0.0000	28.0605	-6.6752	2.1896	30.4980	13.2259	11.1394	33.2423	32.4686	8.7018	0.4552	2.4433	0.0000	0.0000	0.0000	0.4871	0.1357	0.6903	11.6078
9	-1.7000	-1.6000	31.4031	46.0000	0.0000	30.4071	-0.2827	1.2786	35.0678	6.3611	28.7088	35.6400	45.3204	2.5479	0.4656	2.2906	0.0000	0.0000	0.0000	0.6101	0.1510	0.5454	28.5316
10	-1.6000	-1.5000	21.2743	30.0000	0.0000	19.4258	0.5588	1.2897	4.6202	5.1323	6.1530	6.9056	7.6946	1.8926	0.4237	2.7612	0.0000	0.0000	0.0000	0.4777	0.1229	0.2078	5.1174
11	-1.5000	-1.4000	29.3595	30.0000	0.0000	21.5516	6.8121	0.9958	21.6430	5.3672	4.0307	22.2986	22.0151	3.1793	0.4014	2.2201	0.0000	0.0000	0.0000	0.4613	0.1299	0.2639	3.6538
12	-1.4000	-1.3000	33.3280	33.0000	0.0000	31.6898	0.5479	1.0903	3.6676	4.6709	6.1325	5.9387	7.1455	1.0598	0.4107	2.1033	0.0000	0.0000	0.0000	0.5414	0.1551	0.5827	5.5888
13	-1.3000	-1.2000	32.8008	32.0000	0.0000	31.4384	0.0626	1.2998	3.6906	4.1072	3.8975	5.5217	5.3676	0.9749	0.4095	2.1958	0.0000	0.0000	0.0000	0.5769	0.1777	0.0815	3.2493
